#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_17 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
UBR3	ENSG00000144357	ENSG00000144357:170929914-170930117:source	0.247898532451;-0.247898532451	0.942499127245;0.942499127245	0.672;0.328	0.913;0.087	s|1e1.1o1|1e2.2o2	False	False	True	2	3	1	chr2	+	170930117-170936324;170930117-170937055	170929914-170930117;170936324-170936533;170936534-170937194	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/77_T4_N_T4_17.deltapsi_quantify_deltapsi.html#UBR3
ILKAP	ENSG00000132323	ENSG00000132323:239090706-239090827:source	-0.232141588905;0.232141588905	0.900380499396;0.900380499396	0.695;0.305	0.468;0.532	t|1e1.1o1|1e2.3o3	False	False	True	2	3	1	chr2	-	239090827-239092661;239090827-239092294	239090706-239090827;239092294-239092381;239092661-239092754	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/62_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ILKAP
BRAT1	ENSG00000106009	ENSG00000106009:2584543-2584690:target	0.233610967471;-0.233610967471	0.987638921523;0.987638921523	0.747;0.253	0.975;0.025	s|1e1.4o4|i	False	False	False	1	2	1	chr7	-	2583596-2584543;2584542-2584543	2583224-2583886;2583887-2584542;2584543-2584690	;;	;;	(2583887, 2584542)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/32_T4_N_T4_17.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580932-2581118:target	0.287317169904;-0.287317169904	0.999994711205;0.999994711205	0.695;0.305	0.975;0.025	s|1e1.1o2|i	False	False	False	1	2	1	chr7	-	2580686-2580932;2580931-2580932	2580613-2580686;2580687-2580931;2580932-2581118	;;	;;	(2580687, 2580931)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/32_T4_N_T4_17.deltapsi_quantify_deltapsi.html#BRAT1
NFATC1	ENSG00000131196	ENSG00000131196:77170403-77171501:target	0.213903168078;-0.213903168078	0.755448813607;0.755448813607	0.082;0.918	0.292;0.708	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr18	+	77156351-77170403;77160479-77170403	77155856-77156351;77160322-77160479;77170403-77171501	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/60_T4_N_T4_17.deltapsi_quantify_deltapsi.html#NFATC1
UCK1	ENSG00000130717	ENSG00000130717:134404182-134404425:source	0.209420393546;-0.209420393546	0.876452752434;0.876452752434	0.771;0.229	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr9	-	134404425-134404515;134404425-134404426	134404182-134404425;134404426-134404514;134404515-134404657	;;	;;	(134404426, 134404514)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/59_T4_N_T4_17.deltapsi_quantify_deltapsi.html#UCK1
RBM14	ENSG00000239306	ENSG00000239306:66384053-66384528:source	4.77907468675e-07;6.30197874136e-07;3.25211541898e-05;0.385672902249;6.30199363883e-07;-0.346217946296	9.829501416e-15;9.82952974279e-15;3.46199744388e-12;0.999999961406;9.82952974235e-15;0.99999999628	0.025;0.025;0.025;0.598;0.025;0.363	0.025;0.025;0.025;0.974;0.025;0.025	s|1e1.3o3|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|i	False	False	True	5	6	1	chr11	+	66384528-66384706;66384528-66385967;66384528-66391372;66384528-66391685;66384528-66393932;66384528-66384529	66384053-66384528;66384529-66384599;66384600-66385021;66385967-66386032;66391372-66391439;66391685-66393149;66393932-66394818	;;;;;;	;;;;;;	(66384529, 66384599)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/126_T4_N_T4_17.deltapsi_quantify_deltapsi.html#RBM14
MADD	ENSG00000110514	ENSG00000110514:47295378-47295527:target	1.56212835042e-05;-0.0458225713924;-0.067666847569;-0.0269607398858;0.21170242688;1.29931336694e-08	8.40778182634e-17;3.03291650977e-16;0.043679489606;7.44390232729e-15;0.752095815308;6.02257702591e-18	0.025;0.076;0.354;0.074;0.491;0.025	0.025;0.025;0.244;0.028;0.698;0.025	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1	True	False	True	6	6	0	chr11	+	47290834-47295378;47291195-47295378;47291301-47295378;47291457-47295378;47291797-47295378;47293881-47295378	47290712-47290834;47290927-47291195;47291223-47291457;47291223-47291457;47291699-47291797;47293795-47293881;47295378-47295527	;;;;;;	;;;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/37_T4_N_T4_17.deltapsi_quantify_deltapsi.html#MADD
LEF1	ENSG00000138795	ENSG00000138795:109004369-109004602:target	0.239365140908;-0.0151707876267;-0.16852886226	0.935455191923;4.17685304533e-05;0.286693073707	0.426;0.382;0.189	0.660;0.340;0.025	s|1e0|2e1.1o1|2e2.1o1|3e0|i	True	False	True	2	3	1	chr4	-	109002825-109004512;109000770-109004512;109004368-109004369	109000648-109000770;109002740-109002825;109002826-109004368;109004369-109004602	;;;	;;;	(109002826, 109004368)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/70_T4_N_T4_17.deltapsi_quantify_deltapsi.html#LEF1
LEF1	ENSG00000138795	ENSG00000138795:109000648-109000770:source	-0.00842842255936;0.257351006607;1.61182964752e-13;-0.197829256242	1.21116501531e-05;0.981267730798;6.02256251504e-18;0.851261192434	0.345;0.432;0.025;0.218	0.316;0.683;0.025;0.025	t|1e0|1e1.2o3|1e2.2o3|1e3.1o1|i	False	False	True	3	4	1	chr4	-	109000770-109004512;109000770-109002742;109000770-109001988;109000770-109000771	109000648-109000770;109000771-109001987;109001988-109001998;109002740-109002825;109004369-109004602	;;;;	;;;;	(109000771, 109001987)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/70_T4_N_T4_17.deltapsi_quantify_deltapsi.html#LEF1
LEF1	ENSG00000138795	ENSG00000138795:108999376-108999618:target	4.31067041197e-12;-0.0696850171985;0.283140488971;-0.155791227673	6.02256251967e-18;2.42760270858e-05;0.99978914246;0.0536289693252	0.025;0.175;0.633;0.177	0.025;0.089;0.910;0.025	s|1e0|2e1.1o1|2e2.1o2|2e3.2o2|i	True	False	True	3	4	1	chr4	-	108996633-108999376;108994190-108999376;108991926-108999376;108999375-108999376	108991586-108992051;108993993-108994190;108996531-108996633;108996634-108999375;108999376-108999618	;;;;	;;;;	(108996634, 108999375)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/70_T4_N_T4_17.deltapsi_quantify_deltapsi.html#LEF1
LEF1	ENSG00000138795	ENSG00000138795:109002740-109002825:source	0.431062677352;-0.431062677352	1.0;1.0	0.555;0.445	0.975;0.025	t|1e1.2o3|i	False	False	False	1	2	1	chr4	-	109002825-109004512;109002825-109002826	109002740-109002825;109002826-109004368;109004369-109004602	;;	;;	(109002826, 109004368)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/70_T4_N_T4_17.deltapsi_quantify_deltapsi.html#LEF1
SP140	ENSG00000079263	ENSG00000079263:231109703-231109795:target	-0.279488202592;0.279488202592	0.960529523594;0.960529523594	0.392;0.608	0.119;0.881	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr2	+	231106202-231109703;231108526-231109703	231106119-231106202;231108446-231108526;231109703-231109795	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/16_T4_N_T4_17.deltapsi_quantify_deltapsi.html#SP140
ZFPL1	ENSG00000162300	ENSG00000162300:64852587-64852698:target	6.05102406703e-06;0.283954579835;-0.283039453391	2.42477766348e-12;0.9998630582;0.999926645842	0.025;0.698;0.301	0.025;0.975;0.025	t|1e1.1o4|1e1.2o4|2e0|i	True	True	False	2	2	1	chr11	+	64852254-64852587;64852272-64852587;64852586-64852587	64851991-64852484;64851991-64852484;64852485-64852586;64852587-64852698	;;;	;;;	(64852485, 64852586)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/90_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ZFPL1
ZFPL1	ENSG00000162300	ENSG00000162300:64851991-64852484:source	3.41680979868e-06;0.215427313118;3.41680979868e-06;-0.214027686488	1.03127493424e-12;0.921480238584;1.03127493424e-12;0.914314395832	0.025;0.765;0.025;0.234	0.025;0.975;0.025;0.025	s|1e1.1o2|2e1.1o2|2e2.2o2|3e0|4e0|i	True	True	True	3	3	1	chr11	+	64852254-64852587;64852272-64852587;64852272-64853887;64852484-64852485	64851991-64852484;64852485-64852586;64852587-64852698;64852587-64852698;64853811-64854080	;;;;	;;;;	(64852485, 64852586)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/90_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ZFPL1
PTPN4	ENSG00000088179	ENSG00000088179:120689856-120690125:target	-0.00561120012396;-0.273361708897;0.345156017122;-0.0135783119548	8.28021395484e-09;0.965290981504;0.999712495385;3.64638226832e-13	0.096;0.702;0.138;0.066	0.063;0.435;0.474;0.028	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|3e0	False	True	True	4	5	1	chr2	+	120677817-120690000;120684242-120690000;120687407-120690000;120688480-120690000	120677645-120677817;120684174-120684242;120687352-120687407;120688421-120688480;120689856-120690125	;;;;	;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/19_T4_N_T4_17.deltapsi_quantify_deltapsi.html#PTPN4
ARFGEF1	ENSG00000066777	ENSG00000066777:68116915-68117415:source	-0.0998999759081;0.361655748801;4.65710189319e-07;-0.119939574553;-0.066005304688	0.000941442946005;0.999965071319;4.1536376008e-14;0.0138438812572;3.15199992611e-05	0.131;0.584;0.025;0.152;0.119	0.026;0.936;0.025;0.028;0.028	t|1e2.2o2|2e1.1o1|2e2.1o2|3e1.1o1|4e1.1o1	True	True	True	5	3	1	chr8	-	68117415-68119113;68117054-68123718;68117054-68119330;68117001-68123718;68116958-68123718	68116915-68117415;68119113-68119425;68119113-68119425;68123718-68123850;68123718-68123850;68123718-68123850	;;;;;	;;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/10_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ARFGEF1
ARFGEF1	ENSG00000066777	ENSG00000066777:68179578-68179679:target	0.318222270464;-0.318222270464	0.997112933403;0.997112933403	0.615;0.385	0.925;0.075	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr8	-	68179465-68179578;68178442-68179578	68178241-68178442;68179326-68179465;68179578-68179679	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/10_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ARFGEF1
ARFGEF1	ENSG00000066777	ENSG00000066777:68116915-68117415:target	0.327726388318;-0.327726388318	0.999999999841;0.999999999841	0.655;0.345	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr8	-	68115486-68116915;68116914-68116915	68115318-68115486;68115487-68116914;68116915-68117415	;;	;;	(68115487, 68116914)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/10_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ARFGEF1
ARFGEF1	ENSG00000066777	ENSG00000066777:68115318-68115486:source	0.348670922167;-0.348670922167	0.999999999999;0.999999999999	0.635;0.365	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr8	-	68115486-68116915;68115486-68115487	68115318-68115486;68115487-68116914;68116915-68117415	;;	;;	(68115487, 68116914)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/10_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ARFGEF1
SLC30A9	ENSG00000014824	ENSG00000014824:42020128-42020187:source	-0.220917031025;0.220917031025	0.790530206663;0.790530206663	0.320;0.680	0.103;0.897	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr4	+	42020187-42020406;42020187-42022433	42020128-42020187;42020406-42020522;42022433-42022792	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/4_T4_N_T4_17.deltapsi_quantify_deltapsi.html#SLC30A9
SLC30A9	ENSG00000014824	ENSG00000014824:42022433-42022792:target	0.213700431719;-0.213700431719	0.769437833427;0.769437833427	0.733;0.267	0.942;0.058	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr4	+	42020187-42022433;42020522-42022433	42020128-42020187;42020406-42020522;42022433-42022792	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/4_T4_N_T4_17.deltapsi_quantify_deltapsi.html#SLC30A9
METTL17	ENSG00000165792	ENSG00000165792:21464686-21464870:source	0.218827780133;2.65958602043e-05;-0.224450303451	0.814616593926;6.05226606616e-18;0.860794271338	0.096;0.025;0.890	0.310;0.025;0.671	s|1e1.1o3|1e1.2o3|i	False	True	False	2	2	1	chr14	+	21464870-21464944;21464870-21464971;21464870-21464871	21464686-21464870;21464871-21464943;21464944-21465189;21464944-21465189	;;;	;;;	(21464871, 21464943)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/95_T4_N_T4_17.deltapsi_quantify_deltapsi.html#METTL17
HSF1	ENSG00000185122	ENSG00000185122:145537648-145537717:source	0.37045029243;-0.100077546832;-0.229230796007	0.999999778494;0.00160107313776;0.992133097749	0.601;0.150;0.249	0.962;0.036;0.025	s|1e1.1o2|1e1.2o2|i	False	True	False	2	2	1	chr8	+	145537717-145537788;145537717-145537796;145537717-145537718	145537648-145537717;145537718-145537787;145537788-145538385;145537788-145538385	;;;	;;;	(145537718, 145537787)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/113_T4_N_T4_17.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145535828-145535930:source	-0.226462751656;0.226462751656	0.831247021648;0.831247021648	0.387;0.613	0.166;0.834	s|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr8	+	145535930-145536314;145535930-145537197	145535828-145535930;145536314-145536397;145536727-145537302	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/113_T4_N_T4_17.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145536727-145537302:target	0.263928963556;-0.263928963556	0.959000440552;0.959000440552	0.331;0.669	0.589;0.411	t|1e0|2e1.1o1|2e2.1o1	False	True	True	2	3	0	chr8	+	145535930-145537197;145536397-145537197	145535828-145535930;145536314-145536397;145536727-145537302	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/113_T4_N_T4_17.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145532591-145532700:source	0.341445621924;-0.341445621924	1.0;1.0	0.642;0.358	0.975;0.025	s|1e1.4o5|i	False	False	False	1	2	1	chr8	+	145532700-145533141;145532700-145532701	145532591-145532700;145532701-145532719;145532720-145533280	;;	;;	(145532701, 145532719)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/113_T4_N_T4_17.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145537788-145538385:target	0.22881727783;-0.149873602898;-0.0450903540919	0.912917857841;0.184400016708;1.72982193062e-13	0.740;0.185;0.076	0.962;0.036;0.025	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr8	+	145537717-145537788;145537717-145537796;145537787-145537788	145537648-145537717;145537648-145537717;145537718-145537787;145537788-145538385	;;;	;;;	(145537718, 145537787)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/113_T4_N_T4_17.deltapsi_quantify_deltapsi.html#HSF1
ARAF	ENSG00000078061	ENSG00000078061:47426385-47426530:target	3.38622038363e-10;0.237350519884;-0.238123750196	6.02256289303e-18;0.865867508831;0.869319613309	0.025;0.459;0.541	0.025;0.690;0.308	t|1e1.1o2|1e2.1o1|i	False	False	True	2	3	1	chrX	+	47424749-47426385;47426310-47426385;47426384-47426385	47424651-47425374;47426283-47426310;47426311-47426384;47426385-47426530	;;;	;;;	(47426311, 47426384)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/15_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ARAF
