#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_1 E(PSI)	T4_2 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
CSE1L	ENSG00000124207	ENSG00000124207:47704546-47704643:target	-0.261639105608;0.261639105608	0.971776627356;0.971776627356	0.292;0.708	0.037;0.963	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr20	+	47700699-47704546;47701923-47704546	47700563-47700699;47701820-47701923;47704546-47704643	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
CSE1L	ENSG00000124207	ENSG00000124207:47707474-47707559:source	0.279596245389;-0.279596245389	0.995858972687;0.995858972687	0.656;0.344	0.929;0.071	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr20	+	47707559-47708583;47707559-47710677	47707474-47707559;47708583-47708664;47710677-47710823	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
CSE1L	ENSG00000124207	ENSG00000124207:47700563-47700699:source	0.251094115467;-0.223767918184;-0.0060475585531	0.968797860646;0.901905330035;1.74211541806e-10	0.691;0.248;0.063	0.935;0.030;0.027	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr20	+	47700699-47701820;47700699-47704546;47700699-47705784	47700563-47700699;47701820-47701923;47704546-47704643;47705784-47705934	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
CSE1L	ENSG00000124207	ENSG00000124207:47686742-47686834:source	0.280289482805;-0.010650528663;-0.230107101498	0.987400296895;2.22485346467e-06;0.916860178414	0.667;0.083;0.250	0.940;0.033;0.026	s|1e1.1o1|1e2.1o2|1e2.2o2	False	True	True	3	3	1	chr20	+	47686834-47688823;47686834-47689105;47686834-47689139	47686742-47686834;47688823-47688990;47689105-47689234;47689105-47689234	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
CSE1L	ENSG00000124207	ENSG00000124207:47710677-47710823:target	-0.3657545638;0.3657545638	0.999860840423;0.999860840423	0.463;0.537	0.107;0.893	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr20	+	47707559-47710677;47708664-47710677	47707474-47707559;47708583-47708664;47710677-47710823	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
MADD	ENSG00000110514	ENSG00000110514:47330142-47330250:source	-6.39899048598e-10;0.202978994393;-0.195056676996	3.89824609303e-18;0.837346983748;0.71846437188	0.025;0.726;0.262	0.025;0.924;0.072	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr11	+	47330250-47330531;47330250-47330832;47330250-47331058	47330142-47330250;47330531-47330593;47330832-47330952;47331058-47331163	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/58_T4_1_T4_2.deltapsi_quantify_deltapsi.html#MADD
MADD	ENSG00000110514	ENSG00000110514:47317047-47317316:source	0.168327384459;0.0319400950974;-0.221990390061;-2.78210509886e-05	0.380090828561;6.13695149176e-05;0.893396251112;3.93545832296e-18	0.154;0.132;0.680;0.025	0.319;0.208;0.464;0.025	s|1e1.1o1|2e1.1o1|3e1.1o1|4e1.1o1	True	True	False	4	2	1	chr11	+	47317118-47317448;47317127-47317448;47317130-47317448;47317316-47317448	47317047-47317316;47317448-47317606;47317448-47317606;47317448-47317606;47317448-47317606	;;;;	;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/58_T4_1_T4_2.deltapsi_quantify_deltapsi.html#MADD
MADD	ENSG00000110514	ENSG00000110514:47310942-47311044:source	0.210315814891;-0.210832714239;7.80809642138e-12	0.775295575922;0.778770978154;3.89824430216e-18	0.742;0.257;0.025	0.947;0.052;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr11	+	47311044-47311418;47311044-47312161;47311044-47311045	47310942-47311044;47311045-47311417;47311418-47311620;47312161-47312367	;;;	;;;	(47311045, 47311417)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/58_T4_1_T4_2.deltapsi_quantify_deltapsi.html#MADD
MADD	ENSG00000110514	ENSG00000110514:47331058-47331163:target	-0.000142079213419;-0.1977683235;0.231399106973	4.08828445196e-18;0.72512415415;0.980288969871	0.027;0.261;0.703	0.025;0.069;0.929	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr11	+	47317606-47331058;47330250-47331058;47330952-47331058	47317448-47317606;47330142-47330250;47330832-47330952;47331058-47331163	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/58_T4_1_T4_2.deltapsi_quantify_deltapsi.html#MADD
EIF4A1	ENSG00000161960	ENSG00000161960:7477162-7477626:source	7.72248256628e-16;-0.223010022348;-4.54695440222e-14;0.220563954406	3.89824427948e-18;0.9705836254;3.89824427955e-18;0.96206854524	0.025;0.975;0.025;0.025	0.025;0.758;0.025;0.240	s|1e1.1o3|1e1.2o3|1e1.3o3|i	False	True	False	3	2	1	chr17	+	7477626-7477840;7477626-7477864;7477626-7477866;7477626-7477627	7477162-7477626;7477627-7477839;7477840-7478395;7477840-7478395;7477840-7478395	;;;;	;;;;	(7477627, 7477839)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/134_T4_1_T4_2.deltapsi_quantify_deltapsi.html#EIF4A1
EIF4A1	ENSG00000161960	ENSG00000161960:7478506-7479503:source	-0.236501092377;7.77156117238e-16;6.1756338977e-16;0.233657699626	0.999792248013;3.89824427948e-18;3.89824427948e-18;0.999630719869	0.975;0.025;0.025;0.025	0.744;0.025;0.025;0.253	s|1e0|2e1.1o3|2e1.2o3|2e2.1o1|3e0|4e0|5e0|6e0|7e0|8e0|i	True	True	True	3	3	1	chr17	+	7478576-7479842;7478576-7479848;7478576-7480374;7479503-7479504	7478506-7479503;7479504-7479841;7479842-7480079;7479842-7480079;7480374-7480457	;;;;	;;;;	(7479504, 7479841)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/134_T4_1_T4_2.deltapsi_quantify_deltapsi.html#EIF4A1
EIF4A1	ENSG00000161960	ENSG00000161960:7481145-7481249:target	-0.211869331513;0.211869331513	0.990247564344;0.990247564344	0.975;0.025	0.768;0.232	t|1e1.2o2|i	False	False	False	1	2	1	chr17	+	7481024-7481145;7481144-7481145	7481005-7481024;7481025-7481144;7481145-7481249	;;	;;	(7481025, 7481144)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/134_T4_1_T4_2.deltapsi_quantify_deltapsi.html#EIF4A1
EIF4A1	ENSG00000161960	ENSG00000161960:7479842-7480079:target	-3.76276045502e-08;-0.298240988145;7.77156117238e-16;0.286026305971	3.89829460885e-18;0.999999999041;3.89824427948e-18;1.0	0.025;0.975;0.025;0.025	0.025;0.684;0.025;0.304	t|1e1.1o3|1e2.2o8|2e2.2o8|3e0|i	True	True	True	3	3	1	chr17	+	7477996-7479842;7478576-7479842;7478576-7479848;7479841-7479842	7477840-7478395;7478506-7479503;7478506-7479503;7479504-7479841;7479842-7480079	;;;;	;;;;	(7479504, 7479841)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/134_T4_1_T4_2.deltapsi_quantify_deltapsi.html#EIF4A1
SP140	ENSG00000079263	ENSG00000079263:231174639-231174754:source	0.255941872696;-0.255941872696	0.921369517198;0.921369517198	0.595;0.405	0.845;0.155	s|1e1.1o1|i	False	False	False	1	2	1	chr2	+	231174754-231175458;231174754-231174755	231174639-231174754;231174755-231174855;231175458-231175566	;;	;;	(231174755, 231174855)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/23_T4_1_T4_2.deltapsi_quantify_deltapsi.html#SP140
ERCC5	ENSG00000134899	ENSG00000134899:103506638-103506724:target	-0.421068114554;0.421068114554	1.0;1.0	0.975;0.025	0.564;0.436	t|1e1.1o2|i	False	False	False	1	2	1	chr13	+	103506222-103506638;103506637-103506638	103506107-103506283;103506284-103506637;103506638-103506724	;;	;;	(103506284, 103506637)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/96_T4_1_T4_2.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103506107-103506283:source	-0.483864536866;0.483864536866	1.0;1.0	0.975;0.025	0.503;0.497	s|1e0|1e1.1o1|2e0|i	True	False	False	1	2	1	chr13	+	103506222-103506638;103506283-103506284	103506107-103506283;103506284-103506637;103506638-103506724	;;	;;	(103506284, 103506637)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/96_T4_1_T4_2.deltapsi_quantify_deltapsi.html#ERCC5
CNOT2	ENSG00000111596	ENSG00000111596:70726178-70726626:target	9.75940014965e-10;-0.078736874586;-0.166441768139;0.273437193825;9.75940014965e-10;7.51270761801e-10	3.89824691707e-18;0.000338465877206;0.401332510896;0.979595828717;3.89824691707e-18;3.89824630611e-18	0.025;0.118;0.282;0.598;0.025;0.025	0.025;0.025;0.115;0.865;0.025;0.025	t|1e0|2e1.1o1|2e2.4o4|2e3.2o3|2e4.3o4|3e4.3o4|i	True	True	True	5	5	1	chr12	+	70704797-70726547;70713144-70726547;70723350-70726547;70724249-70726547;70724249-70726571;70726177-70726178	70704743-70704797;70712804-70713144;70723203-70723413;70724067-70724671;70724067-70724671;70724672-70726177;70726178-70726626	;;;;;;	;;;;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/59_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CNOT2
CNOT2	ENSG00000111596	ENSG00000111596:70723203-70723413:source	0.203751772829;-0.130699133542;-0.018774226823;3.98358849128e-11	0.746393898108;0.113205924519;1.1450490824e-06;3.8982443899e-18	0.670;0.224;0.105;0.025	0.869;0.088;0.036;0.025	s|1e0|2e1.1o1|2e2.2o3|2e3.2o3|3e0|i	True	False	True	3	4	1	chr12	+	70723350-70724067;70723350-70726547;70723350-70729218;70723413-70723414	70723203-70723413;70723414-70724066;70724067-70724671;70726178-70726626;70728215-70729613	;;;;	;;;;	(70723414, 70724066)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/59_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CNOT2
KCTD13	ENSG00000174943	ENSG00000174943:29922299-29922494:target	-0.156001333586;0.202651017136;-0.00178091614859	0.262445437516;0.705761004564;1.86238348677e-08	0.179;0.773;0.046	0.025;0.971;0.026	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr16	-	29919295-29922299;29918429-29922299;29917887-29922299	29917657-29917887;29918284-29918429;29919285-29919295;29922299-29922494	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/156_T4_1_T4_2.deltapsi_quantify_deltapsi.html#KCTD13
HSF1	ENSG00000185122	ENSG00000185122:145537648-145537717:source	0.222958431866;-0.221807487644;1.65112110394e-08	0.921246155093;0.915668604174;3.89827136696e-18	0.758;0.241;0.025	0.975;0.025;0.025	s|1e1.1o2|1e1.2o2|i	False	True	False	2	2	1	chr8	+	145537717-145537788;145537717-145537796;145537717-145537718	145537648-145537717;145537718-145537787;145537788-145538385;145537788-145538385	;;;	;;;	(145537718, 145537787)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/167_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145535828-145535930:source	-0.27101405673;0.27101405673	0.97366449526;0.97366449526	0.355;0.645	0.091;0.909	s|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr8	+	145535930-145536314;145535930-145537197	145535828-145535930;145536314-145536397;145536727-145537302	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/167_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145536727-145537302:target	0.242626790259;-0.242626790259	0.896508646555;0.896508646555	0.466;0.534	0.703;0.297	t|1e0|2e1.1o1|2e2.1o1	False	True	True	2	3	0	chr8	+	145535930-145537197;145536397-145537197	145535828-145535930;145536314-145536397;145536727-145537302	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/167_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145532591-145532700:source	0.308127670716;-0.308127670716	0.999999992577;0.999999992577	0.675;0.325	0.975;0.025	s|1e1.4o5|i	False	False	False	1	2	1	chr8	+	145532700-145533141;145532700-145532701	145532591-145532700;145532701-145532719;145532720-145533280	;;	;;	(145532701, 145532719)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/167_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145537788-145538385:target	0.223634013662;-0.222485248805;1.86803486828e-08	0.923613263634;0.918270667796;3.89827441225e-18	0.757;0.242;0.025	0.975;0.025;0.025	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr8	+	145537717-145537788;145537717-145537796;145537787-145537788	145537648-145537717;145537648-145537717;145537718-145537787;145537788-145538385	;;;	;;;	(145537718, 145537787)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/167_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HSF1
CTNNB1	ENSG00000168036	ENSG00000168036:41281151-41281227:target	-0.000328398080479;-0.740401623805;0.726336688456	2.24763981829e-14;1.0;1.0	0.030;0.969;0.025	0.025;0.247;0.733	t|1e1.1o4|1e2.2o2|i	False	False	True	2	3	1	chr3	+	41278200-41281151;41280845-41281151;41281150-41281151	41278079-41278958;41280624-41280845;41280846-41281150;41281151-41281227	;;;	;;;	(41280846, 41281150)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/146_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CTNNB1
CTNNB1	ENSG00000168036	ENSG00000168036:41280624-41280845:source	-0.547976457192;-0.00699213078249;-8.38707074993e-10;0.576726492358	1.0;1.04082965467e-05;3.89824540131e-18;1.0	0.843;0.155;0.025;0.025	0.308;0.105;0.025;0.587	s|1e0|2e1.1o1|2e2.1o1|2e3.1o1|i	True	False	True	3	4	1	chr3	+	41280845-41281151;41280845-41281310;41280845-41299823;41280845-41280846	41280624-41280845;41280846-41281150;41281151-41281227;41281310-41281936;41299823-41299975	;;;;	;;;;	(41280846, 41281150)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/146_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CTNNB1
CHKB	ENSG00000100288	ENSG00000100288:51020678-51020887:target	-0.00691680506516;-0.65102190715;-2.23762362558e-05;0.699077026101	1.57630122773e-06;1.0;9.76791918165e-13;1.0	0.066;0.919;0.025;0.025	0.025;0.284;0.025;0.707	s|1e1.1o1|1e2.1o1|1e3.2o3|i	False	False	True	3	4	1	chr22	-	51020524-51020678;51020291-51020678;51019089-51020678;51020677-51020678	51018994-51019209;51020036-51020291;51020458-51020524;51020525-51020677;51020678-51020887	;;;;	;;;;	(51020525, 51020677)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/36_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CHKB
CHKB	ENSG00000100288	ENSG00000100288:51018786-51018845:target	0.219887416664;-0.219887416664	0.873250805433;0.873250805433	0.402;0.598	0.616;0.384	s|1e1.1o2|2e0|i	True	False	False	1	2	1	chr22	-	51018700-51018787;51018785-51018786	51018619-51018700;51018701-51018785;51018786-51018845	;;	;;	(51018701, 51018785)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/36_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CHKB
CHKB	ENSG00000100288	ENSG00000100288:51018619-51018700:source	0.220523583745;-0.220523583745	0.884567821829;0.884567821829	0.413;0.587	0.628;0.372	t|1e1.1o2|2e0|i	False	True	False	1	2	1	chr22	-	51018700-51018787;51018700-51018701	51018619-51018700;51018701-51018785;51018786-51018845	;;	;;	(51018701, 51018785)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/36_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CHKB
CHKB	ENSG00000100288	ENSG00000100288:51020036-51020291:source	-0.780736876145;-3.94888632286e-05;0.781333682833	1.0;7.9452398513e-12;1.0	0.974;0.026;0.025	0.213;0.025;0.787	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr22	-	51020291-51020678;51020291-51020458;51020291-51020292	51020036-51020291;51020292-51020457;51020458-51020524;51020678-51020887	;;;	;;;	(51020292, 51020457)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/36_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CHKB
TAZ	ENSG00000102125	ENSG00000102125:153646814-153647962:source	-0.0010955476379;0.183281223062;-0.303619260358;0.14237040596	1.93853272125e-15;0.569636838536;0.998261400069;0.296103942707	0.039;0.092;0.480;0.384	0.025;0.271;0.184;0.538	s|1e1.3o4|2e2.1o1|2e3.2o2|i	True	False	True	3	4	1	chrX	+	153646941-153647882;153647962-153648044;153647962-153648371;153647962-153647963	153646814-153647962;153647963-153648043;153648044-153648291;153648330-153648480	;;;	;;;	(153647963, 153648043)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/42_T4_1_T4_2.deltapsi_quantify_deltapsi.html#TAZ
TAZ	ENSG00000102125	ENSG00000102125:153648330-153648480:target	-0.0414728797625;-0.169224337107;0.22830652205;0.00199348356498	1.25408155505e-09;0.428467705149;0.892290039131;1.27878361889e-05	0.080;0.397;0.098;0.424	0.025;0.228;0.320;0.444	t|1e0|2e1.1o2|2e2.2o2|2e3.1o4|i	False	True	True	3	4	1	chrX	+	153641904-153648371;153647962-153648371;153648085-153648371;153648329-153648330	153641819-153642006;153646814-153647962;153648044-153648291;153648292-153648329;153648330-153648480	;;;;	;;;;	(153648292, 153648329)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/42_T4_1_T4_2.deltapsi_quantify_deltapsi.html#TAZ
TRBJ2-1	ENSG00000211764	ENSG00000211764:142498725-142498735:target	-0.458395093096;0.458395093096	1.0;1.0	0.975;0.025	0.528;0.472	t|1e1.1o1|i	False	False	False	1	2	1	chr7	+	142494098-142498725;142498724-142498725	142494049-142494098;142494099-142498724;142498725-142498735	;;	;;	(142494099, 142498724)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/182_T4_1_T4_2.deltapsi_quantify_deltapsi.html#TRBJ2-1
PHF12	ENSG00000109118	ENSG00000109118:27254009-27254081:target	-0.207291723669;0.203623497309;9.86287013696e-14	0.760434157074;0.727882788828;3.89824427962e-18	0.302;0.697;0.025	0.100;0.896;0.025	s|1e0|2e1.1o1|2e2.1o1|2e3.1o1	True	False	True	3	4	0	chr17	-	27253891-27254009;27251320-27254009;27248826-27254009	27248706-27248826;27251067-27251320;27253800-27253891;27254009-27254081	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/56_T4_1_T4_2.deltapsi_quantify_deltapsi.html#PHF12
PPFIA1	ENSG00000131626	ENSG00000131626:70229109-70230509:target	-0.207668709764;0.207668709764	0.722384650569;0.722384650569	0.380;0.620	0.174;0.826	t|1e1.1o2|1e2.1o1	False	False	True	2	3	0	chr11	+	70224301-70229109;70228264-70229109	70224136-70224686;70228194-70228264;70229109-70230509	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/90_T4_1_T4_2.deltapsi_quantify_deltapsi.html#PPFIA1
SUPT6H	ENSG00000109111	ENSG00000109111:27000389-27000636:target	0.412632958431;-0.405522483089;-0.000929634478534;-1.34748940342e-09	0.999999883571;0.999999954244;4.0246797403e-12;3.89824614524e-18	0.478;0.470;0.050;0.025	0.881;0.075;0.041;0.025	t|1e0|1e1.1o1|1e2.1o1|1e3.1o1|2e0|i	False	True	True	3	4	1	chr17	+	26989360-27000389;26998249-27000389;26999876-27000389;27000388-27000389	26989109-26989360;26997926-26998249;26999775-26999876;26999877-27000388;27000389-27000636	;;;;	;;;;	(26999877, 27000388)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/56_T4_1_T4_2.deltapsi_quantify_deltapsi.html#SUPT6H
