#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_EM E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
SP140	ENSG00000079263	ENSG00000079263:231174639-231174754:source	-0.307787833282;0.307787833282	0.999718390882;0.999718390882	0.975;0.025	0.675;0.325	s|1e1.1o1|i	False	False	False	1	2	1	chr2	+	231174754-231175458;231174754-231174755	231174639-231174754;231174755-231174855;231175458-231175566	;;	;;	(231174755, 231174855)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/15_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SP140
NMRAL1	ENSG00000153406	ENSG00000153406:4524094-4524167:source	0.163867616403;0.115944480437;0.00651245151334;-0.346930079424	0.462153554948;0.133868300876;0.000129754384944;0.999999999858	0.433;0.093;0.110;0.363	0.608;0.226;0.165;0.025	t|1e1.1o1|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr16	-	4524167-4524555;4524167-4524424;4524167-4524411;4524167-4524168	4524094-4524167;4524168-4524410;4524411-4524543;4524411-4524543;4524555-4524652	;;;;	;;;;	(4524168, 4524410)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/87_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#NMRAL1
CNOT2	ENSG00000111596	ENSG00000111596:70726178-70726626:target	1.72861884478e-09;0.00439115738121;-0.000345241216213;0.233806075261;1.08087922023e-11;-0.229321766553	4.07526820045e-18;1.09756148992e-12;1.3199268664e-07;0.902320671368;4.07526452725e-18;0.992439103715	0.025;0.031;0.309;0.400;0.025;0.249	0.025;0.065;0.304;0.628;0.025;0.025	t|1e0|2e1.1o1|2e2.4o4|2e3.2o3|2e4.3o4|3e4.3o4|i	True	True	True	5	5	1	chr12	+	70704797-70726547;70713144-70726547;70723350-70726547;70724249-70726547;70724249-70726571;70726177-70726178	70704743-70704797;70712804-70713144;70723203-70723413;70724067-70724671;70724067-70724671;70724672-70726177;70726178-70726626	;;;;;;	;;;;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/40_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CNOT2
CNOT2	ENSG00000111596	ENSG00000111596:70724067-70724671:source	0.356510227145;1.37328651401e-08;-0.355570658669	0.999999999962;4.07529386966e-18;0.999999999991	0.627;0.025;0.372	0.975;0.025;0.025	s|1e0|2e0|3e1.2o3|3e1.3o3|4e0|i	True	True	False	2	2	1	chr12	+	70724249-70726547;70724249-70726571;70724671-70724672	70724067-70724671;70724672-70726177;70726178-70726626;70726178-70726626	;;;	;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/40_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CNOT2
NUP93	ENSG00000102900	ENSG00000102900:56867127-56867318:source	0.280077990518;-0.280077990518	0.999683764398;0.999683764398	0.702;0.298	0.975;0.025	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr16	+	56867318-56868040;56867318-56867319	56867127-56867318;56867319-56868039;56868040-56868166	;;	;;	(56867319, 56868039)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/27_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#NUP93
NUP93	ENSG00000102900	ENSG00000102900:56868040-56868166:target	0.459141474289;-0.459141474289	1.0;1.0	0.527;0.473	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr16	+	56867318-56868040;56868039-56868040	56867127-56867318;56867319-56868039;56868040-56868166	;;	;;	(56867319, 56868039)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/27_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#NUP93
TAZ	ENSG00000102125	ENSG00000102125:153646814-153647962:target	-0.0426423886801;0.25606906404;0.175825001574;-0.0050398740419;1.18655025259e-13;-0.328143019538	9.46528982409e-17;0.974205276451;0.486157946345;1.50760923504e-17;4.0752645044e-18;1.0	0.075;0.332;0.190;0.062;0.025;0.345	0.025;0.581;0.362;0.027;0.025;0.025	t|1e0|2e1.1o2|3e1.1o2|3e2.3o3|3e3.1o2|4e1.1o2|i	True	True	True	5	4	1	chrX	+	153641904-153646885;153641904-153647882;153642527-153647882;153646941-153647882;153641904-153647885;153646813-153646814	153641819-153642006;153641819-153642006;153641819-153642006;153642438-153642527;153642528-153646813;153646814-153647962	;;;;;	;;;;;	(153642528, 153646813)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/26_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TAZ
TAZ	ENSG00000102125	ENSG00000102125:153642438-153642527:source	0.610208490283;1.90844618071e-07;-0.609245267854	1.0;8.09677226947e-17;1.0	0.380;0.025;0.619	0.975;0.025;0.025	s|1e0|2e0|3e1.3o4|3e2.1o1|i	True	False	True	2	3	1	chrX	+	153642527-153647882;153642527-153648044;153642527-153642528	153642438-153642527;153642528-153646813;153646814-153647962;153648044-153648291	;;;	;;;	(153642528, 153646813)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/26_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TAZ
TAZ	ENSG00000102125	ENSG00000102125:153642438-153642527:target	0.299891804696;-0.299891804696	0.990085189507;0.990085189507	0.363;0.637	0.655;0.345	t|1e1.1o2|i	False	False	False	1	2	1	chrX	+	153641904-153642438;153642437-153642438	153641819-153642006;153642007-153642437;153642438-153642527	;;	;;	(153642007, 153642437)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/26_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TAZ
TRBJ2-1	ENSG00000211764	ENSG00000211764:142498725-142498735:target	0.209879206871;-0.209879206871	0.663537808799;0.663537808799	0.475;0.525	0.680;0.320	t|1e1.1o1|i	False	False	False	1	2	1	chr7	+	142494098-142498725;142498724-142498725	142494049-142494098;142494099-142498724;142498725-142498735	;;	;;	(142494099, 142498724)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/134_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TRBJ2-1
PHF12	ENSG00000109118	ENSG00000109118:27235801-27235899:target	0.230580943075;7.10921358725e-05;-0.203352081217	0.978197086822;4.23690979274e-18;0.893194210808	0.748;0.025;0.223	0.973;0.027;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr17	-	27234690-27235801;27234012-27235801;27235800-27235801	27233874-27234012;27234608-27234690;27234691-27235800;27235801-27235899	;;;	;;;	(27234691, 27235800)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/37_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PHF12
RAB34	ENSG00000109113	ENSG00000109113:27041924-27042140:source	0.000887124203883;-0.27401482638;0.234677183965	4.45895479988e-08;0.980814147749;0.960688846264	0.069;0.929;0.025	0.084;0.662;0.254	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr17	-	27042140-27042237;27042140-27042213;27042140-27042141	27041924-27042140;27042141-27042212;27042213-27042232;27042237-27042294	;;;	;;;	(27042141, 27042212)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/37_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#RAB34
KIAA0196	ENSG00000164961	ENSG00000164961:126056067-126056146:source	0.236338894632;-0.236338894632	0.982447091933;0.982447091933	0.745;0.255	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr8	-	126056146-126056234;126056146-126056147	126056067-126056146;126056147-126056233;126056234-126056336	;;	;;	(126056147, 126056233)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/100_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#KIAA0196
COG4	ENSG00000103051	ENSG00000103051:70543134-70543291:target	1.39133130601e-06;0.414622276703;-0.412936740135	2.1013885368e-13;0.999999999045;0.999999999824	0.025;0.571;0.428	0.025;0.975;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr16	-	70542727-70543134;70542367-70543134;70543133-70543134	70542309-70542367;70542704-70542727;70542728-70543133;70543134-70543291	;;;	;;;	(70542728, 70543133)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/27_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#COG4
DHX16	ENSG00000204560	ENSG00000204560:30627809-30628354:source	0.204516186564;-0.0540953827759;-0.0423434976957	0.688077350454;0.0936104266339;0.000140283567146	0.464;0.431;0.104	0.676;0.302;0.027	t|1e0|2e1.1o1|2e2.1o1|2e3.1o2	False	True	True	3	4	1	chr6	-	30628019-30630404;30628019-30629533;30628019-30628347	30627809-30628354;30629533-30630208;30630404-30630519	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/133_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#DHX16
DHX16	ENSG00000204560	ENSG00000204560:30638187-30638243:target	0.300255983562;-0.300255983562	0.998547131416;0.998547131416	0.079;0.921	0.372;0.628	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr6	-	30635985-30638187;30633510-30638187	30633256-30633510;30635975-30635985;30638187-30638243	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/133_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#DHX16
SLC9A8	ENSG00000197818	ENSG00000197818:48497461-48497572:source	0.29003634396;-0.29003634396	0.999993438605;0.999993438605	0.692;0.308	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	+	48497572-48500383;48497572-48497573	48497461-48497572;48497573-48500382;48500383-48500603	;;	;;	(48497573, 48500382)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/129_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SLC9A8
SLC9A8	ENSG00000197818	ENSG00000197818:48500383-48500603:target	0.00882473714115;0.419915678238;-0.434685842843	1.18119263715e-09;0.999999999989;1.0	0.026;0.520;0.449	0.069;0.930;0.025	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr20	+	48481381-48500383;48497572-48500383;48500382-48500383	48481265-48481381;48497461-48497572;48497573-48500382;48500383-48500603	;;;	;;;	(48497573, 48500382)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/129_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SLC9A8
WDR91	ENSG00000105875	ENSG00000105875:134877967-134878310:source	0.000540872965905;0.203347408462;-0.009201910982;-0.152143786678	6.06821131329e-09;0.722157890576;1.51721587761e-14;0.0972570335212	0.074;0.692;0.068;0.173	0.085;0.890;0.026;0.025	t|1e0|2e1.1o1|3e1.1o1|4e1.1o1|i	True	True	False	3	2	1	chr7	-	134878229-134878330;134878151-134878330;134878098-134878330;134878310-134878311	134877967-134878310;134878311-134878329;134878330-134878625;134878330-134878625;134878330-134878625	;;;;	;;;;	(134878311, 134878329)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/32_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#WDR91
WDR91	ENSG00000105875	ENSG00000105875:134882745-134882903:target	-0.00123103316546;0.228938930173;-0.205015766122	9.59949152104e-12;0.815327285479;0.699918632263	0.047;0.471;0.479	0.029;0.697;0.274	s|1e1.2o2|1e2.1o2|i	False	False	True	2	3	1	chr7	-	134881871-134882745;134881089-134882745;134882744-134882745	134880896-134881089;134881796-134882021;134882022-134882744;134882745-134882903	;;;	;;;	(134882022, 134882744)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/32_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#WDR91
TRADD	ENSG00000102871	ENSG00000102871:67190413-67190584:target	-3.41042953697e-05;0.218176296644;-0.216923603098	4.31076871467e-06;0.819068707709;0.84706279589	0.461;0.215;0.325	0.460;0.428;0.113	s|1e1.2o2|1e2.1o2|i	False	False	True	2	3	1	chr16	-	67190102-67190413;67189557-67190413;67190412-67190413	67189280-67189557;67189654-67190152;67190153-67190412;67190413-67190584	;;;	;;;	(67190153, 67190412)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/27_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TRADD
THUMPD3	ENSG00000134077	ENSG00000134077:9406700-9407004:source	-0.0516812915685;-0.236431626565;0.289367252655	1.24188127362e-05;0.898430914819;0.999771669603	0.094;0.905;0.025	0.025;0.674;0.307	s|1e0|2e1.1o1|3e2.1o1|i	True	False	True	2	3	1	chr3	+	9406963-9407074;9407004-9408592;9407004-9407005	9406700-9407004;9407005-9407073;9407074-9407120;9408592-9408669	;;;	;;;	(9407005, 9407073)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/65_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#THUMPD3
RNF44	ENSG00000146083	ENSG00000146083:175959367-175959517:source	0.271181125871;-0.0409187125619;-0.0106183581553;8.68148112456e-14;-0.118942884262	0.994275152683;8.22614850542e-06;1.32496508209e-06;4.07526450433e-18;1.70992574788e-05	0.391;0.226;0.236;0.025;0.141	0.655;0.155;0.186;0.025;0.025	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|i	True	False	True	4	4	1	chr5	-	175959517-175964732;175959517-175963941;175959517-175963464;175959517-175962997;175959517-175959518	175959367-175959517;175959518-175962996;175962997-175963331;175963464-175964421;175963464-175964421;175964732-175965026	;;;;;	;;;;;	(175959518, 175962996)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/83_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#RNF44
IRF9	ENSG00000213928	ENSG00000213928:24635331-24635774:target	0.404102000856;-0.404102000856	1.0;1.0	0.581;0.419	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr14	+	24635171-24635331;24635330-24635331	24634968-24635171;24635172-24635330;24635331-24635774	;;	;;	(24635172, 24635330)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/135_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#IRF9
IRF9	ENSG00000213928	ENSG00000213928:24634968-24635171:source	0.366734413324;-0.366734413324	1.0;1.0	0.617;0.383	0.975;0.025	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr14	+	24635171-24635331;24635171-24635172	24634968-24635171;24635172-24635330;24635331-24635774	;;	;;	(24635172, 24635330)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/135_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#IRF9
IRF9	ENSG00000213928	ENSG00000213928:24634968-24635171:target	-1.40631125543e-10;0.22200187953;3.84775528862e-14;-0.21184048356	4.07526483135e-18;0.88113031173;4.07526450422e-18;0.797279349683	0.025;0.630;0.025;0.355	0.025;0.846;0.025;0.149	t|1e0|2e1.2o3|2e2.3o3|2e3.1o2|i	False	True	True	3	4	1	chr14	+	24633343-24635056;24634164-24635056;24634392-24635056;24634967-24634968	24633272-24633496;24633739-24634164;24634266-24634658;24634659-24634967;24634968-24635171	;;;;	;;;;	(24634659, 24634967)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/135_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#IRF9
MRPL49	ENSG00000149792	ENSG00000149792:64891974-64892124:source	0.249836243857;3.92278608155e-09;-0.248712451843	0.996554195649;4.07527290775e-18;0.996084043934	0.731;0.025;0.267	0.975;0.025;0.025	s|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr11	+	64892124-64892960;64892124-64894474;64892124-64892125	64891974-64892124;64892125-64892196;64892197-64893084;64894474-64894843	;;;	;;;	(64892125, 64892196)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/86_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#MRPL49
CSNK1E	ENSG00000213923	ENSG00000213923:38689909-38690254:source	-0.261290323219;0.261290323219	0.998087541861;0.998087541861	0.975;0.025	0.720;0.280	t|1e1.1o1|i	False	False	False	1	2	1	chr22	-	38690254-38690348;38690254-38690255	38689909-38690254;38690255-38690347;38690348-38690540	;;	;;	(38690255, 38690347)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/135_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CSNK1E
PRPF31	ENSG00000105618	ENSG00000105618:54632432-54632483:target	0.000105988466711;0.237814093602;-0.216584792432	4.30329804977e-18;0.979828982596;0.9737392018	0.025;0.740;0.236	0.028;0.972;0.025	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr19	+	54631575-54632432;54631752-54632432;54632431-54632432	54631448-54631575;54631680-54631752;54631753-54632431;54632432-54632483	;;;	;;;	(54631753, 54632431)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/31_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PRPF31
VTA1	ENSG00000009844	ENSG00000009844:142525122-142525202:source	-0.201770071591;0.201770071591	0.68953627416;0.68953627416	0.400;0.600	0.203;0.797	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr6	+	142525202-142532600;142525202-142539635	142525122-142525202;142532600-142532665;142539635-142545826	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/2_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#VTA1
TPP1	ENSG00000166340	ENSG00000166340:6637541-6637734:target	2.5284805601e-10;-0.000432186349925;0.225044443496;-0.192193016863	4.07526506237e-18;8.07383783703e-12;0.915132717938;0.68375837829	0.025;0.077;0.710;0.212	0.025;0.069;0.930;0.025	s|1e0|2e1.2o3|2e2.2o3|3e1.3o3|i	True	True	True	3	3	1	chr11	-	6637305-6637546;6636793-6637546;6637300-6637541;6637540-6637541	6636673-6636991;6637236-6637335;6637236-6637335;6637336-6637540;6637541-6637734	;;;;	;;;;	(6637336, 6637540)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/102_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TPP1
TPP1	ENSG00000166340	ENSG00000166340:6637236-6637335:source	1.32918359902e-09;0.265837425364;-0.264670403163	4.07526737828e-18;0.999323554187;0.999217285113	0.025;0.716;0.283	0.025;0.975;0.025	t|1e0|2e1.2o3|3e1.3o3|i	True	True	False	2	2	1	chr11	-	6637305-6637546;6637300-6637541;6637335-6637336	6637236-6637335;6637336-6637540;6637541-6637734;6637541-6637734	;;;	;;;	(6637336, 6637540)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/102_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TPP1
MFSD11	ENSG00000092931	ENSG00000092931:74734364-74734609:target	-1.20798874476e-07;-8.57463628845e-05;-1.29222255169e-07;8.74832856333e-08;0.214713752576;-0.215453456244	4.07554379069e-18;6.37219893802e-14;4.07553910052e-18;4.07545606642e-18;0.788887270408;0.781881881641	0.025;0.033;0.025;0.025;0.165;0.783	0.025;0.032;0.025;0.025;0.375;0.573	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o1|2e0|3e0|i	True	True	True	5	4	1	chr17	+	74733173-74734364;74733965-74734364;74734058-74734364;74734080-74734364;74734247-74734364;74734363-74734364	74732272-74733173;74733469-74734080;74733469-74734080;74733469-74734080;74734153-74734247;74734248-74734363;74734364-74734609	;;;;;;	;;;;;;	(74734248, 74734363)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/20_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#MFSD11
PVT1	ENSG00000249859	ENSG00000249859:128902835-128903041:target	-0.314955167249;0.105798625749;0.0783447948927;-8.04931628929e-09;-8.04931628929e-09;-8.04931628929e-09;0.0586341645579	0.998173822658;0.0757332065904;0.000707525827;4.07528633102e-18;4.07528633102e-18;4.07528633102e-18;6.28576622872e-05	0.908;0.055;0.025;0.025;0.025;0.025;0.025	0.601;0.178;0.117;0.025;0.025;0.025;0.102	t|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|2e0|3e0|4e0	False	True	True	7	8	0	chr8	+	128806980-128902835;128808254-128902835;128808317-128902835;128815805-128902835;128864593-128902835;128867041-128902835;128867565-128902835	128806779-128806980;128808000-128808274;128808279-128808317;128815396-128815805;128864180-128864593;128866974-128867041;128867401-128867565;128902835-128903041	;;;;;;;	;;;;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/141_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PVT1
PKD1P1	ENSG00000244257	ENSG00000244257:16418885-16419098:target	0.267844640309;-0.267844640309	0.975252094713;0.975252094713	0.464;0.536	0.725;0.275	t|1e1.2o2|i	False	False	False	1	2	1	chr16	+	16418791-16418885;16418884-16418885	16418512-16418791;16418792-16418884;16418885-16419098	;;	;;	(16418792, 16418884)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/140_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PKD1P1
