#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_CM E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ZNFX1	ENSG00000124201	ENSG00000124201:47870203-47870348:source	0.278599122901;-0.278599122901	0.999999053318;0.999999053318	0.703;0.297	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	47870348-47871032;47870348-47870349	47870203-47870348;47870349-47871031;47871032-47871186	;;	;;	(47870349, 47871031)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:target	0.382330539569;-0.382330539569	1.0;1.0	0.602;0.398	0.975;0.025	s|1e0|2e0|2e1.1o1|i	True	False	False	1	2	1	chr20	-	47871186-47872345;47872344-47872345	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ZNFX1
COMMD3-BMI1	ENSG00000269897	ENSG00000269897:22616671-22616721:source	0.246643545118;-0.246643545118	0.994664327418;0.994664327418	0.735;0.265	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr10	+	22616721-22616879;22616721-22616722	22616671-22616721;22616722-22616878;22616879-22616987	;;	;;	(22616722, 22616878)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/234_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#COMMD3-BMI1
GLOD4	ENSG00000167699	ENSG00000167699:673661-673747:source	0.23611783192;-0.23611783192	0.99678484407;0.99678484407	0.745;0.255	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr17	-	673747-674565;673747-673748	673661-673747;673748-674564;674565-674644	;;	;;	(673748, 674564)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/173_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#GLOD4
GLOD4	ENSG00000167699	ENSG00000167699:681935-682050:source	7.77148812721e-16;0.215899010081;-6.9322952153e-06;1.3239674277e-15;8.04847890455e-16;-0.172787023635	4.52363713957e-18;0.912191493031;4.53732460777e-18;4.52363713957e-18;4.52363713957e-18;0.366365484163	0.025;0.764;0.025;0.025;0.025;0.193	0.025;0.975;0.025;0.025;0.025;0.025	t|1e1.1o1|2e1.1o1|2e2.1o1|2e3.1o2|2e3.2o2|i	True	True	True	5	4	1	chr17	-	682050-685406;681984-685406;681984-685103;681984-683924;681984-683858;682050-682051	681935-682050;682051-683857;683858-683978;683858-683978;685103-685283;685406-685581;685406-685581	;;;;;;	;;;;;;	(682051, 683857)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/173_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#GLOD4
GLOD4	ENSG00000167699	ENSG00000167699:673661-673747:target	4.37957575918e-15;0.234887581129;4.37957575918e-15;-0.23275193937	4.52363713958e-18;0.995161592437;4.52363713958e-18;0.993829111037	0.025;0.746;0.025;0.252	0.025;0.975;0.025;0.025	s|1e0|2e1.1o2|2e1.2o2|2e2.1o1|i	True	True	True	3	3	1	chr17	-	673464-673661;673397-673661;663478-673661;673660-673661	663428-663478;673284-673464;673284-673464;673465-673660;673661-673747	;;;;	;;;;	(673465, 673660)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/173_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#GLOD4
BRAT1	ENSG00000106009	ENSG00000106009:2579178-2579276:source	0.203131754052;-0.203131754052	0.8631910353;0.8631910353	0.777;0.223	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2579276-2579420;2579276-2579277	2579178-2579276;2579277-2579419;2579420-2579541	;;	;;	(2579277, 2579419)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580932-2581118:source	0.410489461942;-0.410489461942	1.0;1.0	0.575;0.425	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2581118-2581352;2581118-2581119	2580932-2581118;2581119-2581351;2581352-2581470	;;	;;	(2581119, 2581351)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581352-2581470:source	0.26741160763;-0.26741160763	0.999878493732;0.999878493732	0.714;0.286	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr7	-	2581470-2581754;2581470-2581471	2581352-2581470;2581471-2581753;2581754-2581862	;;	;;	(2581471, 2581753)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2578813-2578985:source	0.204478923575;-0.204478923575	0.850826407844;0.850826407844	0.776;0.224	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2578985-2579178;2578985-2578986	2578813-2578985;2578986-2579177;2579178-2579276	;;	;;	(2578986, 2579177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2582665-2582957:target	0.00134923334901;-0.000714240333573;-0.212782449371;0.236207049757;-0.00924205499423	2.26503802819e-12;1.4036668274e-12;0.758252105909;0.966472555695;6.68816173966e-05	0.025;0.053;0.727;0.025;0.185	0.044;0.045;0.519;0.255;0.131	s|1e2.1o2|2e1.1o1|2e2.2o2|3e2.1o2|i	True	True	True	4	3	1	chr7	-	2581862-2582927;2582638-2582838;2581845-2582838;2581862-2582665;2582664-2582665	2581754-2581862;2581754-2581862;2581754-2581862;2582613-2582638;2582639-2582664;2582665-2582957	;;;;;	;;;;;	(2582639, 2582664)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2584543-2584690:target	0.233351903114;-0.233351903114	0.986996418932;0.986996418932	0.747;0.253	0.975;0.025	s|1e1.4o4|i	False	False	False	1	2	1	chr7	-	2583596-2584543;2584542-2584543	2583224-2583886;2583887-2584542;2584543-2584690	;;	;;	(2583887, 2584542)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2578813-2578985:target	0.255350292977;-0.255350292977	0.998999979587;0.998999979587	0.726;0.274	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2578398-2578813;2578812-2578813	2577511-2578398;2578399-2578812;2578813-2578985	;;	;;	(2578399, 2578812)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2579420-2579541:target	0.247718242696;-0.247718242696	0.999279271758;0.999279271758	0.733;0.267	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2579276-2579420;2579419-2579420	2579178-2579276;2579277-2579419;2579420-2579541	;;	;;	(2579277, 2579419)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2579178-2579276:target	0.264162525305;1.50398932026e-06;-0.251129122122	0.999744871106;1.42213673781e-17;0.99886246854	0.717;0.025;0.270	0.975;0.025;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	-	2578985-2579178;2578398-2579178;2579177-2579178	2577511-2578398;2578813-2578985;2578986-2579177;2579178-2579276	;;;	;;;	(2578986, 2579177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581754-2581862:target	0.311681062549;-0.311681062549	0.999999409076;0.999999409076	0.671;0.329	0.975;0.025	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr7	-	2581470-2581754;2581753-2581754	2581352-2581470;2581471-2581753;2581754-2581862	;;	;;	(2581471, 2581753)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580932-2581118:target	0.287905517667;-0.287905517667	0.999998288625;0.999998288625	0.694;0.306	0.975;0.025	s|1e1.1o2|i	False	False	False	1	2	1	chr7	-	2580686-2580932;2580931-2580932	2580613-2580686;2580687-2580931;2580932-2581118	;;	;;	(2580687, 2580931)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580613-2580686:target	-3.39731641032e-08;0.00138964335554;-0.235409302766;0.233296264177	4.52371212063e-18;1.10803970277e-10;0.915319572313;0.885041893656	0.025;0.086;0.449;0.447	0.025;0.102;0.219;0.674	s|1e1.1o1|1e2.1o2|1e2.2o2|i	False	True	True	3	3	1	chr7	-	2580528-2580613;2579541-2580613;2579522-2580613;2580612-2580613	2579420-2579541;2579420-2579541;2580464-2580528;2580529-2580612;2580613-2580686	;;;;	;;;;	(2580529, 2580612)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581352-2581470:target	0.436321817206;-0.436321817206	1.0;1.0	0.550;0.450	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2581118-2581352;2581351-2581352	2580932-2581118;2581119-2581351;2581352-2581470	;;	;;	(2581119, 2581351)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2577511-2578398:source	3.63833459384e-06;0.431039853257;-0.419830282094	5.24725540605e-16;1.0;1.0	0.025;0.555;0.434	0.025;0.975;0.025	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	-	2578398-2579178;2578398-2578813;2578398-2578399	2577511-2578398;2578399-2578812;2578813-2578985;2579178-2579276	;;;	;;;	(2578399, 2578812)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/56_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#BRAT1
HRAS	ENSG00000174775	ENSG00000174775:533766-533976:source	0.583908110433;-0.583908110433	1.0;1.0	0.406;0.594	0.975;0.025	t|1e0|2e1.2o2|i	False	True	False	1	2	1	chr11	-	533944-534212;533976-533977	533766-533976;533977-534211;534212-534375	;;	;;	(533977, 534211)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/186_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#HRAS
HRAS	ENSG00000174775	ENSG00000174775:534212-534375:target	0.569907853723;-0.569907853723	1.0;1.0	0.419;0.581	0.975;0.025	s|1e0|2e1.2o2|i	True	False	False	1	2	1	chr11	-	533944-534212;534211-534212	533766-533976;533977-534211;534212-534375	;;	;;	(533977, 534211)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/186_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#HRAS
SLC9A8	ENSG00000197818	ENSG00000197818:48497461-48497572:source	0.29186903447;-0.29186903447	0.999986263109;0.999986263109	0.690;0.310	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	+	48497572-48500383;48497572-48497573	48497461-48497572;48497573-48500382;48500383-48500603	;;	;;	(48497573, 48500382)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/209_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#SLC9A8
SLC9A8	ENSG00000197818	ENSG00000197818:48500383-48500603:target	0.108624755819;0.350507813119;-0.435324915705	0.00780676596457;0.999983301289;1.0	0.025;0.520;0.449	0.137;0.862;0.025	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr20	+	48481381-48500383;48497572-48500383;48500382-48500383	48481265-48481381;48497461-48497572;48497573-48500382;48500383-48500603	;;;	;;;	(48497573, 48500382)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/209_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#SLC9A8
SLC9A8	ENSG00000197818	ENSG00000197818:48502908-48503435:target	0.0027863518733;0.414360769572;-0.41727963508	5.78039968493e-08;0.999999939527;1.0	0.026;0.539;0.432	0.055;0.943;0.025	t|1e0|2e1.1o1|3e1.1o1|i	True	True	False	2	2	1	chr20	+	48500603-48503131;48500603-48503289;48502907-48502908	48500383-48500603;48500383-48500603;48502112-48502907;48502908-48503435	;;;	;;;	(48502112, 48502907)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/209_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#SLC9A8
NMRAL1	ENSG00000153406	ENSG00000153406:4524094-4524167:source	0.23494400004;0.0401858235565;0.00351973081158;-0.345671432826	0.860156004246;0.00821538005822;1.49868301794e-05;0.999999999864	0.434;0.094;0.109;0.362	0.664;0.188;0.147;0.025	t|1e1.1o1|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr16	-	4524167-4524555;4524167-4524424;4524167-4524411;4524167-4524168	4524094-4524167;4524168-4524410;4524411-4524543;4524411-4524543;4524555-4524652	;;;;	;;;;	(4524168, 4524410)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/145_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#NMRAL1
GPATCH11	ENSG00000152133	ENSG00000152133:37319059-37319179:target	0.313921900559;-0.313921900559	0.98588254634;0.98588254634	0.301;0.699	0.607;0.393	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr2	+	37315583-37319059;37317865-37319059	37315507-37315583;37317824-37317865;37319059-37319179	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/143_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#GPATCH11
CNOT2	ENSG00000111596	ENSG00000111596:70726178-70726626:target	7.47712863432e-08;0.000371585331981;-0.0026341583991;0.26814288119;1.25838259356e-11;-0.227822820574	4.52378599686e-18;7.57744685943e-17;2.11148542888e-06;0.985634540144;4.52363716462e-18;0.993334755607	0.025;0.031;0.309;0.401;0.025;0.247	0.025;0.037;0.284;0.663;0.025;0.025	t|1e0|2e1.1o1|2e2.4o4|2e3.2o3|2e4.3o4|3e4.3o4|i	True	True	True	5	5	1	chr12	+	70704797-70726547;70713144-70726547;70723350-70726547;70724249-70726547;70724249-70726571;70726177-70726178	70704743-70704797;70712804-70713144;70723203-70723413;70724067-70724671;70724067-70724671;70724672-70726177;70726178-70726626	;;;;;;	;;;;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/66_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#CNOT2
CNOT2	ENSG00000111596	ENSG00000111596:70724067-70724671:target	0.284892519737;-0.284892519737	0.999997518498;0.999997518498	0.697;0.303	0.975;0.025	t|1e1.2o3|i	False	False	False	1	2	1	chr12	+	70723350-70724067;70724066-70724067	70723203-70723413;70723414-70724066;70724067-70724671	;;	;;	(70723414, 70724066)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/66_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#CNOT2
CNOT2	ENSG00000111596	ENSG00000111596:70724067-70724671:source	0.352726875091;9.86428005594e-09;-0.351783322761	0.999999999977;4.52365677831e-18;0.999999999995	0.631;0.025;0.368	0.975;0.025;0.025	s|1e0|2e0|3e1.2o3|3e1.3o3|4e0|i	True	True	False	2	2	1	chr12	+	70724249-70726547;70724249-70726571;70724671-70724672	70724067-70724671;70724672-70726177;70726178-70726626;70726178-70726626	;;;	;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/66_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#CNOT2
KCTD13	ENSG00000174943	ENSG00000174943:29918284-29918429:source	0.492651291208;-0.492651291208	1.0;1.0	0.495;0.505	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr16	-	29918429-29922299;29918429-29918430	29918284-29918429;29918430-29919284;29922299-29922494	;;	;;	(29918430, 29919284)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/186_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#KCTD13
HSF1	ENSG00000185122	ENSG00000185122:145534085-145534935:target	0.320669665696;-0.320669665696	0.999999999997;0.999999999997	0.662;0.338	0.975;0.025	t|1e0|2e0|3e1.1o2|4e0|i	False	True	False	1	2	1	chr8	+	145533582-145534860;145534084-145534085	145533458-145533780;145533781-145534084;145534085-145534935	;;	;;	(145533781, 145534084)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/200_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#HSF1
HSF1	ENSG00000185122	ENSG00000185122:145533458-145533780:source	0.181978785539;0.0509564959485;-0.245439403011	0.520494522307;0.0034469650807;0.999209965313	0.568;0.170;0.264	0.746;0.254;0.025	s|1e1.3o4|1e2.1o1|2e0|i	True	False	True	2	3	1	chr8	+	145533582-145534860;145533582-145535007;145533780-145533781	145533458-145533780;145533781-145534084;145534085-145534935;145535007-145535068	;;;	;;;	(145533781, 145534084)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/200_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#HSF1
CENPT	ENSG00000102901	ENSG00000102901:67864808-67865261:target	0.000526238975017;0.303472085076;-0.285358755249	7.67237219693e-17;0.999993154747;0.99999999589	0.025;0.669;0.303	0.035;0.964;0.025	s|1e0|2e0|2e1.1o2|2e1.2o2|3e0|i	True	True	False	2	2	1	chr16	-	67864595-67865119;67864451-67865119;67864807-67864808	67864293-67864595;67864293-67864595;67864596-67864807;67864808-67865261	;;;	;;;	(67864596, 67864807)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/47_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#CENPT
NCOA1	ENSG00000084676	ENSG00000084676:24991090-24993571:target	0.000192096879906;-0.0693238905456;0.264540334575;-0.0506213808335;-0.000238851906161;-0.038325705095	5.07071950733e-16;0.0587881876258;0.961941624204;4.27010152419e-09;7.92935910102e-11;4.39470226629e-10	0.025;0.403;0.349;0.084;0.073;0.078	0.029;0.287;0.607;0.025;0.069;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|2e2.1o1|2e3.1o1|i	True	True	True	5	4	1	chr2	+	24981025-24991090;24985645-24991090;24991004-24991090;24985645-24991093;24991004-24991093;24991089-24991090	24980842-24981025;24985556-24985645;24985556-24985645;24990640-24991004;24990640-24991004;24991005-24991089;24991090-24993571	;;;;;;	;;;;;;	(24991005, 24991089)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/28_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#NCOA1
NCOA1	ENSG00000084676	ENSG00000084676:24990640-24991004:source	0.222470518175;-0.00382813224647;-0.160102897525	0.811008083186;1.66781780163e-05;0.259572582797	0.681;0.138;0.181	0.899;0.100;0.025	s|1e1.1o2|1e1.2o2|i	False	True	False	2	2	1	chr2	+	24991004-24991090;24991004-24991093;24991004-24991005	24990640-24991004;24991005-24991089;24991090-24993571;24991090-24993571	;;;	;;;	(24991005, 24991089)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/28_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#NCOA1
