#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_R E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
COMMD3-BMI1	ENSG00000269897	ENSG00000269897:22616671-22616721:source	0.244737011257;-0.244737011257	0.991724138296;0.991724138296	0.736;0.264	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr10	+	22616721-22616879;22616721-22616722	22616671-22616721;22616722-22616878;22616879-22616987	;;	;;	(22616722, 22616878)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/182_T4_N_T4_R.deltapsi_quantify_deltapsi.html#COMMD3-BMI1
GLOD4	ENSG00000167699	ENSG00000167699:673661-673747:source	0.239514811437;-0.239514811437	0.99830946655;0.99830946655	0.741;0.259	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr17	-	673747-674565;673747-673748	673661-673747;673748-674564;674565-674644	;;	;;	(673748, 674564)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/135_T4_N_T4_R.deltapsi_quantify_deltapsi.html#GLOD4
GLOD4	ENSG00000167699	ENSG00000167699:681935-682050:source	3.94482716969e-14;0.207515543469;-3.70129219468e-06;7.96611142397e-09;3.49450509296e-14;-0.166626177116	4.69812431187e-18;0.885769086548;4.70448215354e-18;4.6981379791e-18;4.69812431186e-18;0.268042314214	0.025;0.771;0.025;0.025;0.025;0.187	0.025;0.973;0.025;0.025;0.025;0.025	t|1e1.1o1|2e1.1o1|2e2.1o1|2e3.1o2|2e3.2o2|i	True	True	True	5	4	1	chr17	-	682050-685406;681984-685406;681984-685103;681984-683924;681984-683858;682050-682051	681935-682050;682051-683857;683858-683978;683858-683978;685103-685283;685406-685581;685406-685581	;;;;;;	;;;;;;	(682051, 683857)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/135_T4_N_T4_R.deltapsi_quantify_deltapsi.html#GLOD4
GLOD4	ENSG00000167699	ENSG00000167699:673661-673747:target	5.27081160115e-15;0.231911005055;5.27081160115e-15;-0.229856934127	4.69812431181e-18;0.997231392653;4.69812431181e-18;0.996093916335	0.025;0.749;0.025;0.249	0.025;0.975;0.025;0.025	s|1e0|2e1.1o2|2e1.2o2|2e2.1o1|i	True	True	True	3	3	1	chr17	-	673464-673661;673397-673661;663478-673661;673660-673661	663428-663478;673284-673464;673284-673464;673465-673660;673661-673747	;;;;	;;;;	(673465, 673660)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/135_T4_N_T4_R.deltapsi_quantify_deltapsi.html#GLOD4
CHCHD3	ENSG00000106554	ENSG00000106554:132766617-132766848:target	0.202756438327;-0.202352252337;8.53211347902e-10	0.716562699057;0.708649945923;4.69812633282e-18	0.045;0.953;0.025	0.243;0.756;0.025	s|1e1.1o1|1e2.2o2|1e3.2o2	False	False	True	3	4	1	chr7	-	132765808-132766617;132754989-132766617;132709375-132766617	132709306-132709387;132754902-132754994;132765798-132765808;132766617-132766848	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/45_T4_N_T4_R.deltapsi_quantify_deltapsi.html#CHCHD3
BRAT1	ENSG00000106009	ENSG00000106009:2579178-2579276:source	0.203232274956;-0.203232274956	0.860290048475;0.860290048475	0.777;0.223	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2579276-2579420;2579276-2579277	2579178-2579276;2579277-2579419;2579420-2579541	;;	;;	(2579277, 2579419)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2579420-2579541:source	-0.0442257280633;-0.232701287382;1.70695852709e-13;0.285912189431	1.24619664166e-15;0.926525995269;4.6981243121e-18;0.997998841905	0.076;0.375;0.025;0.548	0.025;0.148;0.025;0.827	t|1e1.1o1|2e1.1o1|2e2.1o1|i	True	True	True	3	3	1	chr7	-	2579541-2580613;2579522-2580613;2579522-2580464;2579541-2579542	2579420-2579541;2579542-2580463;2580464-2580528;2580613-2580686;2580613-2580686	;;;;	;;;;	(2579542, 2580463)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2578813-2578985:source	0.205504038052;-0.205504038052	0.858390346872;0.858390346872	0.775;0.225	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2578985-2579178;2578985-2578986	2578813-2578985;2578986-2579177;2579178-2579276	;;	;;	(2578986, 2579177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2584543-2584690:target	-0.380385222397;0.380385222397	0.999989304314;0.999989304314	0.747;0.253	0.376;0.624	s|1e1.4o4|i	False	False	False	1	2	1	chr7	-	2583596-2584543;2584542-2584543	2583224-2583886;2583887-2584542;2584543-2584690	;;	;;	(2583887, 2584542)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2583224-2583886:source	0.0637387298934;0.166860475312;-0.000385407105711;-0.392659616798;0.122773136962	1.11729145692e-05;0.312855497542;5.4448371464e-18;0.99999726494;0.157585632651	0.025;0.025;0.032;0.774;0.164	0.099;0.188;0.025;0.391;0.300	t|1e0|2e3.1o3|3e1.2o2|4e1.1o2|4e2.1o1|i	True	True	True	4	4	1	chr7	-	2583665-2583694;2583600-2586475;2583596-2586958;2583596-2584543;2583886-2583887	2583224-2583886;2583887-2584542;2584543-2584690;2586475-2587112;2586475-2587112	;;;;	;;;;	(2583887, 2584542)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581754-2581862:source	0.00534014612334;0.208189338825;-0.246466857085;6.84898052898e-05;-0.00595203312187	2.80069107373e-15;0.875599189807;0.961348403521;4.81565276034e-18;8.63633801531e-05	0.025;0.025;0.451;0.025;0.514	0.059;0.228;0.211;0.026;0.475	t|1e1.1o3|1e1.3o3|2e1.2o3|2e2.1o1|i	True	True	True	4	3	1	chr7	-	2581862-2582927;2581862-2582665;2581845-2582838;2581845-2582613;2581862-2581863	2581754-2581862;2581863-2582612;2582613-2582638;2582665-2582957;2582665-2582957;2582665-2582957	;;;;;	;;;;;	(2581863, 2582612)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2578813-2578985:target	-0.380908100455;0.380908100455	0.999958021736;0.999958021736	0.724;0.276	0.353;0.647	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2578398-2578813;2578812-2578813	2577511-2578398;2578399-2578812;2578813-2578985	;;	;;	(2578399, 2578812)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2579178-2579276:target	0.263983717785;6.33597852722e-07;-0.250700683677	0.99977716898;3.27384798321e-15;0.99873991756	0.718;0.025;0.269	0.975;0.025;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	-	2578985-2579178;2578398-2579178;2579177-2579178	2577511-2578398;2578813-2578985;2578986-2579177;2579178-2579276	;;;	;;;	(2578986, 2579177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2579420-2579541:target	0.247648135467;-0.247648135467	0.998559268326;0.998559268326	0.734;0.266	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2579276-2579420;2579419-2579420	2579178-2579276;2579277-2579419;2579420-2579541	;;	;;	(2579277, 2579419)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2586475-2587112:target	-0.0869602279878;-0.0046659278272;-0.0083997771396;0.228640605283	0.0992739293626;3.044274086e-11;6.95386804e-10;0.886924723523	0.839;0.058;0.068;0.034	0.712;0.025;0.028;0.257	s|1e1.1o2|1e1.2o2|1e2.4o4|2e2.3o4	True	True	True	4	3	1	chr7	-	2584690-2586958;2584687-2586958;2583596-2586958;2583600-2586475	2583224-2583886;2583224-2583886;2584543-2584690;2584543-2584690;2586475-2587112	;;;;	;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581754-2581862:target	-0.422726652027;0.422726652027	0.999999996701;0.999999996701	0.669;0.331	0.257;0.743	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr7	-	2581470-2581754;2581753-2581754	2581352-2581470;2581471-2581753;2581754-2581862	;;	;;	(2581471, 2581753)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2582665-2582957:target	0.0475825083972;-0.00158618527934;-0.404947668629;0.342265051506;-0.00072957788236	2.26725247012e-06;1.41557302468e-13;0.999999140224;0.999999522097;1.89771686335e-07	0.025;0.054;0.726;0.025;0.185	0.089;0.040;0.331;0.359;0.177	s|1e2.1o2|2e1.1o1|2e2.2o2|3e2.1o2|i	True	True	True	4	3	1	chr7	-	2581862-2582927;2582638-2582838;2581845-2582838;2581862-2582665;2582664-2582665	2581754-2581862;2581754-2581862;2581754-2581862;2582613-2582638;2582639-2582664;2582665-2582957	;;;;;	;;;;;	(2582639, 2582664)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580932-2581118:target	0.285383022059;-0.285383022059	0.999992987326;0.999992987326	0.697;0.303	0.975;0.025	s|1e1.1o2|i	False	False	False	1	2	1	chr7	-	2580686-2580932;2580931-2580932	2580613-2580686;2580687-2580931;2580932-2581118	;;	;;	(2580687, 2580931)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580613-2580686:target	-4.9433549525e-08;-0.0480536169048;-0.284571281677;0.35829276141	4.69823153113e-18;8.56228957618e-11;0.997013277526;0.999996803908	0.025;0.087;0.448;0.446	0.025;0.026;0.171;0.795	s|1e1.1o1|1e2.1o2|1e2.2o2|i	False	True	True	3	3	1	chr7	-	2580528-2580613;2579541-2580613;2579522-2580613;2580612-2580613	2579420-2579541;2579420-2579541;2580464-2580528;2580529-2580612;2580613-2580686	;;;;	;;;;	(2580529, 2580612)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581352-2581470:source	-0.46397096187;0.46397096187	0.999999999998;0.999999999998	0.713;0.287	0.260;0.740	t|1e1.2o2|i	False	False	False	1	2	1	chr7	-	2581470-2581754;2581470-2581471	2581352-2581470;2581471-2581753;2581754-2581862	;;	;;	(2581471, 2581753)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2577511-2578398:source	1.77892453495e-10;-0.322254657279;0.33179495213	4.69812719304e-18;0.99941148067;0.999731690443	0.025;0.552;0.437	0.025;0.238;0.761	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	-	2578398-2579178;2578398-2578813;2578398-2578399	2577511-2578398;2578399-2578812;2578813-2578985;2579178-2579276	;;;	;;;	(2578399, 2578812)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/44_T4_N_T4_R.deltapsi_quantify_deltapsi.html#BRAT1
ATP13A2	ENSG00000159363	ENSG00000159363:17316622-17316782:target	-0.212102066601;0.212102066601	0.732806626066;0.732806626066	0.845;0.155	0.636;0.364	s|1e0|2e1.1o1|2e2.1o1	True	False	True	2	3	0	chr1	-	17316498-17316622;17316265-17316622	17316186-17316265;17316382-17316498;17316622-17316782	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/120_T4_N_T4_R.deltapsi_quantify_deltapsi.html#ATP13A2
SLC9A8	ENSG00000197818	ENSG00000197818:48497461-48497572:source	0.291866639541;-0.291866639541	0.99999814622;0.99999814622	0.690;0.310	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	+	48497572-48500383;48497572-48497573	48497461-48497572;48497573-48500382;48500383-48500603	;;	;;	(48497573, 48500382)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/164_T4_N_T4_R.deltapsi_quantify_deltapsi.html#SLC9A8
SLC9A8	ENSG00000197818	ENSG00000197818:48500383-48500603:target	0.0345789580067;0.404951537582;-0.434146351137	3.07052784419e-07;0.999999997353;1.0	0.025;0.521;0.448	0.083;0.916;0.025	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr20	+	48481381-48500383;48497572-48500383;48500382-48500383	48481265-48481381;48497461-48497572;48497573-48500382;48500383-48500603	;;;	;;;	(48497573, 48500382)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/164_T4_N_T4_R.deltapsi_quantify_deltapsi.html#SLC9A8
HNRNPH3	ENSG00000096746	ENSG00000096746:70098563-70098983:target	0.20781130689;-0.0159460845753;-0.0522740648593;-0.0928729783169	0.76610590217;4.92164773113e-16;9.42388855876e-17;0.00431387650431	0.249;0.256;0.077;0.408	0.452;0.224;0.025;0.311	t|1e0|2e1.1o1|2e2.1o3|2e2.3o3|i	True	True	True	3	3	1	chr10	+	70097090-70098897;70098399-70098897;70098444-70098897;70098562-70098563	70096563-70097090;70098097-70098444;70098097-70098444;70098445-70098562;70098563-70098983	;;;;	;;;;	(70098445, 70098562)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/28_T4_N_T4_R.deltapsi_quantify_deltapsi.html#HNRNPH3
CNOT2	ENSG00000111596	ENSG00000111596:70726178-70726626:target	8.30667405565e-11;-0.000306112693024;0.0245567986028;0.18964806421;8.30668292547e-11;-0.228261007468	4.69812445432e-18;5.3537482248e-18;0.00368194631264;0.596837172196;4.69812445432e-18;0.990738975686	0.025;0.031;0.310;0.400;0.025;0.248	0.025;0.026;0.387;0.586;0.025;0.025	t|1e0|2e1.1o1|2e2.4o4|2e3.2o3|2e4.3o4|3e4.3o4|i	True	True	True	5	5	1	chr12	+	70704797-70726547;70713144-70726547;70723350-70726547;70724249-70726547;70724249-70726571;70726177-70726178	70704743-70704797;70712804-70713144;70723203-70723413;70724067-70724671;70724067-70724671;70724672-70726177;70726178-70726626	;;;;;;	;;;;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/54_T4_N_T4_R.deltapsi_quantify_deltapsi.html#CNOT2
CNOT2	ENSG00000111596	ENSG00000111596:70724067-70724671:target	0.285686120457;-0.285686120457	0.999998889995;0.999998889995	0.696;0.304	0.975;0.025	t|1e1.2o3|i	False	False	False	1	2	1	chr12	+	70723350-70724067;70724066-70724067	70723203-70723413;70723414-70724066;70724067-70724671	;;	;;	(70723414, 70724066)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/54_T4_N_T4_R.deltapsi_quantify_deltapsi.html#CNOT2
CNOT2	ENSG00000111596	ENSG00000111596:70724067-70724671:source	0.354882533307;1.07572601264e-07;-0.353938210087	0.999999999272;5.64167643648e-18;0.999999999852	0.629;0.025;0.370	0.975;0.025;0.025	s|1e0|2e0|3e1.2o3|3e1.3o3|4e0|i	True	True	False	2	2	1	chr12	+	70724249-70726547;70724249-70726571;70724671-70724672	70724067-70724671;70724672-70726177;70726178-70726626;70726178-70726626	;;;	;;;	(70724672, 70726177)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/54_T4_N_T4_R.deltapsi_quantify_deltapsi.html#CNOT2
KMT2C	ENSG00000055609	ENSG00000055609:151944987-151945705:target	-0.223408575009;0.223408575009	0.823129873578;0.823129873578	0.860;0.140	0.642;0.358	s|1e1.2o2|1e2.1o1	False	False	True	2	3	0	chr7	-	151935911-151944987;151933018-151944987	151932902-151933018;151935792-151936154;151944987-151945705	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/9_T4_N_T4_R.deltapsi_quantify_deltapsi.html#KMT2C
NUP93	ENSG00000102900	ENSG00000102900:56867127-56867318:source	0.281205292518;-0.281205292518	0.99979294276;0.99979294276	0.701;0.299	0.975;0.025	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr16	+	56867318-56868040;56867318-56867319	56867127-56867318;56867319-56868039;56868040-56868166	;;	;;	(56867319, 56868039)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/36_T4_N_T4_R.deltapsi_quantify_deltapsi.html#NUP93
NUP93	ENSG00000102900	ENSG00000102900:56868040-56868166:target	0.461639810342;-0.461639810342	1.0;1.0	0.525;0.475	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr16	+	56867318-56868040;56868039-56868040	56867127-56867318;56867319-56868039;56868040-56868166	;;	;;	(56867319, 56868039)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/36_T4_N_T4_R.deltapsi_quantify_deltapsi.html#NUP93
CENPT	ENSG00000102901	ENSG00000102901:67864293-67864595:source	0.000212335939582;0.201366245667;-0.171852369095	1.44518178371e-15;0.840231528823;0.353279661924	0.026;0.774;0.193	0.029;0.970;0.025	t|1e1.2o3|2e1.2o3|i	True	True	False	2	2	1	chr16	-	67864595-67865119;67864451-67865119;67864595-67864596	67864293-67864595;67864596-67864807;67864808-67865261;67864808-67865261	;;;	;;;	(67864596, 67864807)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/36_T4_N_T4_R.deltapsi_quantify_deltapsi.html#CENPT
CENPT	ENSG00000102901	ENSG00000102901:67864808-67865261:target	0.000247016980654;0.308995720914;-0.285918050461	1.63459510084e-15;0.999993163626;0.999999991507	0.025;0.669;0.304	0.029;0.970;0.025	s|1e0|2e0|2e1.1o2|2e1.2o2|3e0|i	True	True	False	2	2	1	chr16	-	67864595-67865119;67864451-67865119;67864807-67864808	67864293-67864595;67864293-67864595;67864596-67864807;67864808-67865261	;;;	;;;	(67864596, 67864807)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/36_T4_N_T4_R.deltapsi_quantify_deltapsi.html#CENPT
TAZ	ENSG00000102125	ENSG00000102125:153646814-153647962:source	0.0287908922631;-0.00414786231132;0.17476382331;-0.205727732558	2.84934612684e-05;1.21619572399e-09;0.482986590228;0.740978738089	0.069;0.138;0.286;0.511	0.130;0.102;0.458;0.310	s|1e1.3o4|2e2.1o1|2e3.2o2|i	True	False	True	3	4	1	chrX	+	153646941-153647882;153647962-153648044;153647962-153648371;153647962-153647963	153646814-153647962;153647963-153648043;153648044-153648291;153648330-153648480	;;;	;;;	(153647963, 153648043)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/35_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TAZ
TAZ	ENSG00000102125	ENSG00000102125:153646814-153647962:target	-0.03783938626;0.249689237719;0.0333018236514;0.0254989013349;3.64676758443e-12;-0.329195393752	6.90621714495e-17;0.959060003357;0.00124577743447;2.2223098332e-05;4.69812431806e-18;1.0	0.075;0.330;0.191;0.063;0.025;0.346	0.026;0.573;0.274;0.126;0.025;0.025	t|1e0|2e1.1o2|3e1.1o2|3e2.3o3|3e3.1o2|4e1.1o2|i	True	True	True	5	4	1	chrX	+	153641904-153646885;153641904-153647882;153642527-153647882;153646941-153647882;153641904-153647885;153646813-153646814	153641819-153642006;153641819-153642006;153641819-153642006;153642438-153642527;153642528-153646813;153646814-153647962	;;;;;	;;;;;	(153642528, 153646813)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/35_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TAZ
TAZ	ENSG00000102125	ENSG00000102125:153642438-153642527:source	0.60912261848;4.28923646069e-06;-0.608316418169	1.0;6.1059572083e-12;1.0	0.381;0.025;0.618	0.975;0.025;0.025	s|1e0|2e0|3e1.3o4|3e2.1o1|i	True	False	True	2	3	1	chrX	+	153642527-153647882;153642527-153648044;153642527-153642528	153642438-153642527;153642528-153646813;153646814-153647962;153648044-153648291	;;;	;;;	(153642528, 153646813)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/35_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TAZ
