#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_e_A E(PSI)	Th2_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TBC1D31	ENSG00000156787	ENSG00000156787:124089351-124089497:source	-0.150520609701;0.22478119773;-0.000536715110612	0.459403650767;0.670427877024;5.76447868362e-05	0.308;0.644;0.050	0.069;0.923;0.026	s|1e1.1o1|1e2.2o2|1e3.1o1	False	False	True	3	4	1	chr8	+	124089497-124089615;124089497-124094942;124089497-124096402	124089351-124089497;124089615-124089625;124094748-124095057;124096402-124096580	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/31_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#TBC1D31
FBXL3	ENSG00000005812	ENSG00000005812:77592735-77592879:source	-0.0736856674702;-0.00817019431465;0.226382756971	0.21433461272;0.00294151935688;0.705689669234	0.236;0.103;0.661	0.056;0.028;0.934	t|1e0|2e1.2o2|2e2.1o2|2e2.2o2|3e0	True	True	True	3	3	1	chr13	-	77592857-77600962;77592857-77595792;77592857-77595648	77592735-77592879;77595648-77595996;77595648-77595996;77600962-77601330	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/0_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#FBXL3
BECN1	ENSG00000126581	ENSG00000126581:40966186-40966611:target	-0.32047166169;1.6679077138e-05;0.316759593509	0.942352198335;8.16652987843e-08;0.940567697537	0.950;0.025;0.046	0.634;0.026;0.358	s|1e1.1o2|1e2.2o2|1e3.1o1|2e0	True	False	True	3	4	0	chr17	-	40966026-40966542;40963815-40966542;40962946-40966542	40962152-40962946;40963673-40964104;40965921-40966026;40966186-40966611	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/19_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#BECN1
HAUS2	ENSG00000137814	ENSG00000137814:42841008-42841163:source	0.27570228845;-0.27570228845	0.806756484385;0.806756484385	0.629;0.371	0.936;0.064	s|1e1.1o1|1e2.1o2	False	False	True	2	3	0	chr15	+	42841163-42850396;42841163-42851537	42841008-42841163;42850396-42850488;42851537-42851606	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/24_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#HAUS2
RABGGTB	ENSG00000137955	ENSG00000137955:76254844-76255041:target	-0.218559173578;-6.55132582069e-07;0.22014719995	0.718435674595;1.04897596157e-12;0.723827442025	0.774;0.025;0.223	0.532;0.025;0.465	t|1e1.1o3|1e1.2o3|i	True	False	False	2	2	1	chr1	+	76253289-76254844;76253806-76254844;76254843-76254844	76253181-76254468;76253181-76254468;76254469-76254843;76254844-76255041	;;;	;;;	(76254469, 76254843)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/25_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#RABGGTB
TAZ	ENSG00000102125	ENSG00000102125:153641428-153641707:source	-0.00686504351002;-0.176739010772;1.59649897066e-05;0.252555194037;-3.09914539818e-05	0.0176341583354;0.49126969676;2.56160346393e-07;0.74753178231;2.73184930539e-07	0.669;0.208;0.025;0.102;0.028	0.594;0.026;0.026;0.389;0.026	s|1e1.1o2|2e1.1o2|3e1.1o2|4e1.1o2|5e1.1o2	True	True	False	5	2	0	chrX	+	153641589-153641819;153641676-153641819;153641689-153641819;153641695-153641819;153641707-153641819	153641428-153641707;153641819-153642006;153641819-153642006;153641819-153642006;153641819-153642006;153641819-153642006	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/9_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#TAZ
DDX19B	ENSG00000157349	ENSG00000157349:70348708-70348858:target	2.23953217831e-05;2.23953217831e-05;0.239569218371;-0.237303415138	2.50249350722e-06;2.50249350722e-06;0.71286357214;0.692850408732	0.026;0.026;0.043;0.946	0.028;0.028;0.324;0.656	t|1e3.1o1|2e1.2o2|2e2.1o1|2e3.1o1	True	True	True	4	4	0	chr16	+	70346560-70348708;70328969-70348805;70333257-70348805;70346560-70348805	70328680-70328969;70332956-70333257;70346512-70346560;70346512-70346560;70348708-70348858	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/32_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#DDX19B
ALKBH2	ENSG00000189046	ENSG00000189046:109525996-109526317:source	-0.279655690896;0.279655690896	0.853078980514;0.853078980514	0.333;0.667	0.036;0.964	t|1e1.1o2|1e2.3o4	False	False	True	2	3	0	chr12	-	109526317-109530312;109526317-109527814	109525996-109526317;109527425-109528012;109530060-109530742	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/45_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ALKBH2
PLEC	ENSG00000178209	ENSG00000178209:145012799-145012860:source	-0.0864306083419;0.36011188041;0.000154728381015;-2.06166993581e-06;-2.06166993581e-06;-0.00541390646305;-2.06166993581e-06;-2.06166993581e-06;-2.06166993581e-06;-0.000244779412383;-0.000246718151026	0.255599698064;0.94698316384;1.06525874511e-06;2.77668438504e-08;2.77668438504e-08;0.00234018302968;2.77668438504e-08;2.77668438504e-08;2.77668438504e-08;6.19411467179e-06;6.61677798222e-06	0.714;0.109;0.025;0.025;0.025;0.095;0.025;0.025;0.025;0.038;0.038	0.486;0.470;0.034;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025	t|1e1.1o1|1e10.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|1e7.1o1|1e8.1o1|1e9.1o1	True	False	True	11	11	0	chr8	-	145012860-145049345;145012860-145013518;145012860-145047571;145012860-145032763;145012860-145027894;145012860-145024352;145012860-145020553;145012860-145020518;145012860-145018816;145012860-145017947;145012860-145016560	145012799-145012860;145013518-145013758;145016560-145016692;145017947-145018126;145018816-145018905;145020518-145020715;145020518-145020715;145024352-145025044;145027894-145028088;145032763-145032967;145047571-145047697;145049345-145049543	;;;;;;;;;;;	;;;;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/42_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PLEC
CHMP2A	ENSG00000130724	ENSG00000130724:59066040-59066340:target	0.282466221155;-0.0317342034094;-0.00583498141597;-0.00584303803351	0.788481453407;0.0569125947153;0.00409379197337;0.00396458838401	0.622;0.161;0.109;0.107	0.950;0.032;0.032;0.030	s|1e1.2o3|2e1.2o3|3e1.2o3|i	True	True	False	3	2	1	chr19	-	59065603-59066232;59065603-59066144;59065603-59066040;59066039-59066040	59065115-59066005;59065115-59066005;59065115-59066005;59066006-59066039;59066040-59066340	;;;;	;;;;	(59066006, 59066039)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/20_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#CHMP2A
PPFIA1	ENSG00000131626	ENSG00000131626:70200309-70200558:target	-0.223159350655;0.231543855874;2.09957657484e-05;2.09957657484e-05	0.669596013716;0.700560326833;4.53300275515e-06;4.53300275515e-06	0.967;0.027;0.027;0.027	0.702;0.277;0.028;0.028	t|1e0|2e2.1o1|2e3.1o1|2e4.1o1|3e1.2o3	False	True	True	4	5	0	chr11	+	70194526-70200407;70196145-70200407;70197129-70200407;70185412-70200428	70185277-70185417;70194481-70194526;70196029-70196145;70197100-70197129;70200309-70200558	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/21_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PPFIA1
ADAR	ENSG00000160710	ENSG00000160710:154574861-154575102:source	2.29907344198e-05;0.247618138844;5.15060800696e-07;-0.117952085445;-0.0203758972062	1.8509510334e-10;0.816850986597;7.6763739861e-13;0.366572449081;6.51603473002e-05	0.025;0.198;0.025;0.713;0.087	0.026;0.452;0.025;0.528;0.025	t|1e0|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	1	chr1	-	154575102-154600430;154575102-154600331;154575102-154581227;154575102-154580468;154575102-154578480	154574861-154575102;154578480-154578490;154580468-154580682;154581227-154581288;154600331-154600388;154600430-154600475	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/33_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ADAR
BRAT1	ENSG00000106009	ENSG00000106009:2583224-2583886:source	-0.000429020342106;0.31673308596;-0.259360258174	9.98290100061e-07;0.951438451014;0.806278575558	0.042;0.041;0.916	0.026;0.351;0.641	t|1e0|2e1.2o2|3e1.1o2|3e2.1o1	True	True	True	3	3	1	chr7	-	2583600-2586475;2583596-2586958;2583596-2584543	2583224-2583886;2584543-2584690;2586475-2587112;2586475-2587112	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/11_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2586475-2587112:target	-0.0261209412139;-0.0136043491768;0.323113649737;-0.00168527722356	0.0707797141382;0.00497922070766;0.923768442729;8.05617870917e-05	0.756;0.109;0.066;0.068	0.596;0.026;0.390;0.026	s|1e1.1o2|1e1.2o2|1e2.3o3|2e2.2o3	True	True	True	4	3	1	chr7	-	2584690-2586958;2584687-2586958;2583596-2586958;2583600-2586475	2583224-2583886;2583224-2583886;2584543-2584690;2584543-2584690;2586475-2587112	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/11_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#BRAT1
TRMU	ENSG00000100416	ENSG00000100416:46747547-46748071:source	-0.295250166658;0.295250166658	0.805669526382;0.805669526382	0.974;0.026	0.664;0.336	s|1e1.1o1|i	False	False	False	1	2	1	chr22	+	46748071-46748161;46748071-46748072	46747547-46748071;46748072-46748160;46748161-46748227	;;	;;	(46748072, 46748160)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/8_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#TRMU
PXK	ENSG00000168297	ENSG00000168297:58395817-58395886:source	-0.263584861805;0.00302402938471;0.223447221206	0.794146083398;0.00385793580923;0.775421782191	0.757;0.237;0.025	0.466;0.290;0.244	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	0	chr3	+	58395886-58398628;58395886-58398631;58395886-58410479	58395817-58395886;58398628-58400254;58398628-58400254;58410479-58411748	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/38_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PXK
PXK	ENSG00000168297	ENSG00000168297:58410479-58411748:target	1.22294730939e-06;0.283304880547;-0.313470657089;0.00086938116526;-0.000142776187649	3.59449166464e-09;0.943435532361;0.946324533557;2.35820695139e-05;3.21690383533e-07	0.025;0.025;0.941;0.031;0.033	0.025;0.301;0.632;0.058;0.025	t|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o4|1e5.1o1	False	False	True	5	6	1	chr3	+	58395345-58410479;58395886-58410479;58398690-58410479;58406295-58410479;58409221-58410479	58395259-58395345;58395817-58395886;58398628-58400254;58406263-58406687;58409188-58409221;58410479-58411748	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/38_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PXK
ZNF644	ENSG00000122482	ENSG00000122482:91403042-91403647:target	-0.22277901327;0.22277901327	0.676898124263;0.676898124263	0.313;0.687	0.045;0.955	s|1e1.1o2|1e2.2o2	False	False	True	2	3	1	chr1	-	91401087-91403042;91383711-91403042	91383609-91383948;91400965-91401087;91403042-91403647	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/16_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ZNF644
SP140L	ENSG00000185404	ENSG00000185404:231265030-231265339:target	-0.005248457203;-0.230939494543;0.355998420518	0.00151571731824;0.679667997651;0.93149057895	0.107;0.577;0.315	0.039;0.288;0.676	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr2	+	231264957-231265030;231264957-231265049;231265029-231265030	231264536-231264957;231264536-231264957;231264958-231265029;231265030-231265339	;;;	;;;	(231264958, 231265029)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/44_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SP140L
CD3E	ENSG00000198851	ENSG00000198851:118183333-118184056:target	1.34377122359e-05;-0.226474361908;0.217699648424	1.81953654871e-08;0.689780888794;0.666443558576	0.025;0.781;0.217	0.026;0.521;0.471	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr11	+	118179156-118183333;118182885-118183333;118183332-118183333	118179016-118179156;118182859-118182885;118182886-118183332;118183333-118184056	;;;	;;;	(118182886, 118183332)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/47_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#CD3E
PPP1R10	ENSG00000204569	ENSG00000204569:30573915-30574020:target	-0.21707900727;0.21707900727	0.752715194276;0.752715194276	0.975;0.025	0.763;0.237	s|1e1.1o2|i	False	False	False	1	2	1	chr6	-	30573812-30573915;30573914-30573915	30573586-30573812;30573813-30573914;30573915-30574020	;;	;;	(30573813, 30573914)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/47_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PPP1R10
PPP1R10	ENSG00000204569	ENSG00000204569:30571785-30572031:source	-0.235167449927;0.235167449927	0.824223037138;0.824223037138	0.974;0.026	0.745;0.255	t|1e1.1o1|2e0|i	False	True	False	1	2	1	chr6	-	30572031-30572130;30572031-30572032	30571785-30572031;30572032-30572129;30572130-30572288	;;	;;	(30572032, 30572129)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/47_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PPP1R10
CENPO	ENSG00000138092	ENSG00000138092:25039515-25039686:target	-0.20165617445;-0.00022616695759;-0.000177670767844;0.289452635157	0.606263260615;4.18700460531e-05;1.14000246492e-06;0.863057817675	0.787;0.063;0.035;0.119	0.516;0.056;0.025;0.422	t|1e1.1o2|2e1.1o2|3e1.1o2|i	True	True	False	3	2	1	chr2	+	25038625-25039515;25038625-25039600;25038625-25039628;25039514-25039515	25038366-25039440;25038366-25039440;25038366-25039440;25039441-25039514;25039515-25039686	;;;;	;;;;	(25039441, 25039514)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/25_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#CENPO
SMC4	ENSG00000113810	ENSG00000113810:160117426-160117537:source	-5.68642136345e-07;-5.68642136345e-07;-5.68642136345e-07;-0.0571785564812;-5.68642136345e-07;-0.0796238599851;5.62642132067e-06;-5.68642136345e-07;0.319846775444	1.01759625392e-11;1.01759625392e-11;1.01759625392e-11;0.12393880602;1.01759625392e-11;0.238995831795;1.14376559588e-11;1.01759625392e-11;0.949024664248	0.025;0.025;0.025;0.241;0.025;0.520;0.025;0.025;0.230	0.025;0.025;0.025;0.097;0.025;0.340;0.025;0.025;0.546	s|1e1.4o4|1e3.1o1|1e4.1o2|2e1.2o4|2e1.3o4|2e1.4o4|2e2.1o1|2e4.1o2|i	True	True	True	8	5	1	chr3	+	160117485-160118610;160117485-160119778;160117485-160120464;160117537-160118388;160117537-160118416;160117537-160118610;160117537-160119703;160117537-160120464;160117537-160117538	160117426-160117537;160117538-160118269;160118270-160118753;160118270-160118753;160118270-160118753;160118270-160118753;160119703-160119711;160119778-160119881;160120464-160120655;160120464-160120655	;;;;;;;;;	;;;;;;;;;	(160117538, 160118269)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/13_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SMC4
SMC4	ENSG00000113810	ENSG00000113810:160119703-160119711:target	3.73275823736e-05;-0.506918368174;0.490023964855	9.235286698e-10;0.999991878351;0.999980346393	0.025;0.898;0.100	0.027;0.403;0.578	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr3	+	160117537-160119703;160118753-160119703;160119702-160119703	160117426-160117537;160118270-160118753;160118754-160119702;160119703-160119711	;;;	;;;	(160118754, 160119702)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/13_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SMC4
DSCR3	ENSG00000157538	ENSG00000157538:38639539-38640262:target	3.81569257526e-06;-0.248047665215;0.317142479297;3.81569257526e-06;-0.00301805317445	5.59148755898e-09;0.799209740868;0.92338830823;5.59148755898e-09;0.000169559343522	0.025;0.367;0.544;0.025;0.083	0.025;0.100;0.864;0.025;0.034	s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.2o2	False	False	True	5	6	0	chr21	-	38639148-38639539;38634238-38639539;38612940-38639539;38610910-38639539;38604752-38639539	38604678-38604946;38610506-38610910;38612797-38612940;38633383-38634238;38639093-38639454;38639539-38640262	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/32_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#DSCR3
GUK1	ENSG00000143774	ENSG00000143774:228327929-228328064:source	0.266442606723;2.73349794248e-06;2.73349794248e-06;2.73349794248e-06;-0.275031892508	0.832561755337;3.8370456198e-10;3.8370456198e-10;3.8370456198e-10;0.852917993162	0.222;0.025;0.025;0.025;0.774	0.500;0.025;0.025;0.025;0.490	s|1e1.2o5|1e2.2o2|1e3.3o8|1e3.4o8|1e3.6o8	False	True	True	5	4	0	chr1	+	228328064-228328825;228328064-228329334;228328064-228333172;228328064-228333193;228328064-228333212	228327929-228328064;228328824-228329208;228329327-228329534;228332598-228333463;228332598-228333463;228332598-228333463	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/28_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#GUK1
PCID2	ENSG00000126226	ENSG00000126226:113831891-113832322:source	0.280477068603;-0.249018065404;-0.00251456769891	0.853170448309;0.857469806981;0.00438631228236	0.200;0.321;0.479	0.492;0.069;0.438	t|1e1.2o2|2e1.2o2|i	True	True	False	2	2	1	chr13	-	113832322-113832488;113832290-113832488;113832322-113832323	113831891-113832322;113832323-113832487;113832488-113832792;113832488-113832792	;;;	;;;	(113832323, 113832487)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/19_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#PCID2
SSBP4	ENSG00000130511	ENSG00000130511:18544520-18544742:source	0.523343208365;-0.135904083231;-0.284493741717	0.999586739176;0.466248823112;0.981821936654	0.413;0.280;0.307	0.923;0.067;0.028	s|1e0|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr19	+	18544627-18545027;18544742-18545027;18544742-18544743	18544520-18544742;18544743-18545026;18545027-18545372;18545027-18545372	;;;	;;;	(18544743, 18545026)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/20_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SSBP4
