#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th1_p_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
METTL17	ENSG00000165792	ENSG00000165792:21464686-21464870:source	0.210807150076;-0.000157169330077;-0.165203775732	0.688832670916;6.52402812285e-12;0.533317727912	0.476;0.030;0.490	0.707;0.025;0.288	s|1e1.1o3|1e1.2o3|i	False	True	False	2	2	1	chr14	+	21464870-21464944;21464870-21464971;21464870-21464871	21464686-21464870;21464871-21464943;21464944-21465189;21464944-21465189	;;;	;;;	(21464871, 21464943)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/47_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#METTL17
RBM39	ENSG00000131051	ENSG00000131051:34328021-34328519:source	-0.255356590604;0.255356590604	0.801592384001;0.801592384001	0.744;0.256	0.474;0.526	t|1e0|1e1.1o1|i	False	False	False	1	2	1	chr20	-	34328519-34328746;34328519-34328520	34328021-34328519;34328520-34328745;34328746-34328809	;;	;;	(34328520, 34328745)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/27_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#RBM39
SETD5	ENSG00000168137	ENSG00000168137:9475961-9476169:source	-0.281831953364;0.281831953364	0.915109590718;0.915109590718	0.305;0.695	0.028;0.972	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr3	+	9476169-9476274;9476169-9476508	9475961-9476169;9476274-9476314;9476508-9476566	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/49_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SETD5
SETD5	ENSG00000168137	ENSG00000168137:9475961-9476169:target	-0.000923240544881;-0.00143434395233;-0.289485622435;0.350155496273	0.00409191416171;5.48242255554e-05;0.821146259968;0.996417465778	0.324;0.061;0.610;0.025	0.312;0.031;0.296;0.367	t|1e1.2o2|1e2.1o1|2e1.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475961;9475865-9475961;9475634-9476018;9475960-9475961	9475529-9475634;9475529-9475634;9475677-9475865;9475866-9475960;9475961-9476169	;;;;	;;;;	(9475866, 9475960)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/49_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SETD5
PRR14	ENSG00000156858	ENSG00000156858:30665430-30665660:source	-0.475593219361;0.475593219361	0.996192439219;0.996192439219	0.827;0.173	0.363;0.637	s|1e1.1o1|1e2.1o2	False	False	True	2	3	1	chr16	+	30665660-30665950;30665660-30666672	30665430-30665660;30665950-30666019;30666672-30666741	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/41_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#PRR14
PRR14	ENSG00000156858	ENSG00000156858:30666672-30666741:target	0.54453281432;6.49530646426e-05;-0.538796896664	0.999744811093;2.83241422491e-06;0.999647371449	0.121;0.025;0.861	0.652;0.028;0.336	t|1e1.1o1|1e2.1o1|1e3.1o1|2e0	False	True	True	3	4	1	chr16	+	30665660-30666672;30666318-30666672;30666535-30666672	30665430-30665660;30666142-30666318;30666462-30666535;30666672-30666741	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/41_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#PRR14
PRR14	ENSG00000156858	ENSG00000156858:30662188-30662448:source	-0.315712755099;0.315712755099	0.825917353156;0.825917353156	0.490;0.510	0.141;0.859	s|1e1.2o2|i	False	False	False	1	2	1	chr16	+	30662448-30662917;30662448-30662449	30662188-30662448;30662449-30662510;30662511-30662989	;;	;;	(30662449, 30662510)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/41_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#PRR14
RP11-108K14.8	ENSG00000254536	ENSG00000254536:135215653-135215749:target	0.269340393748;-0.269340393748	0.824890533652;0.824890533652	0.636;0.364	0.928;0.072	t|1e1.1o1|i	False	False	False	1	2	1	chr10	+	135215094-135215653;135215652-135215653	135215033-135215094;135215095-135215652;135215653-135215749	;;	;;	(135215095, 135215652)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/67_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#RP11-108K14.8
RABGGTB	ENSG00000137955	ENSG00000137955:76255837-76255959:target	0.000106792860606;0.213063981757;-0.232391559007	1.07314316074e-05;0.583647219438;0.63165611164	0.026;0.474;0.519	0.030;0.777;0.207	t|1e1.1o1|1e2.2o3|i	False	False	True	2	3	1	chr1	+	76255041-76255837;76255742-76255837;76255836-76255837	76254844-76255041;76255637-76255798;76255799-76255836;76255837-76255959	;;;	;;;	(76255799, 76255836)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/32_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#RABGGTB
CPSF3L	ENSG00000127054	ENSG00000127054:1247398-1247527:target	-0.299340565901;0.299340565901	0.873220378318;0.873220378318	0.967;0.033	0.667;0.333	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr1	-	1247304-1247398;1247397-1247398	1246965-1247304;1247305-1247397;1247398-1247527	;;	;;	(1247305, 1247397)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/24_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#CPSF3L
CPSF3L	ENSG00000127054	ENSG00000127054:1250784-1250818:source	-0.308456531873;0.308456531873	0.881036599127;0.881036599127	0.825;0.175	0.507;0.493	t|1e1.1o1|2e0|i	False	True	False	1	2	1	chr1	-	1250818-1250900;1250818-1250819	1250784-1250818;1250819-1250899;1250900-1250932	;;	;;	(1250819, 1250899)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/24_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#CPSF3L
SAMD9L	ENSG00000177409	ENSG00000177409:92774919-92775353:target	0.207916034144;-0.000345180456251;-0.0356977398503;-0.000261080350881;-1.28166228203e-05;-0.003312925806	0.683445744497;1.43817253595e-05;0.0918856405709;1.29806618893e-05;1.0205081495e-07;0.00079959618386	0.026;0.040;0.841;0.039;0.026;0.079	0.230;0.028;0.700;0.031;0.025;0.028	s|1e1.2o3|2e1.1o3|2e1.2o3|2e1.3o3|3e1.2o3|4e0|i	True	True	False	5	2	1	chr7	-	92774845-92775238;92774893-92775222;92774845-92775222;92774829-92775222;92774845-92775093;92774918-92774919	92774698-92774893;92774698-92774893;92774698-92774893;92774698-92774893;92774698-92774893;92774894-92774918;92774919-92775353	;;;;;;	;;;;;;	(92774894, 92774918)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/54_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SAMD9L
CXXC1	ENSG00000154832	ENSG00000154832:47809885-47809934:target	-0.205847233582;-1.34620342473e-05;0.232458345008	0.638471214829;4.74773619503e-07;0.725800956172	0.911;0.027;0.070	0.666;0.027;0.324	s|1e1.3o4|1e1.4o4|i	False	True	False	2	2	1	chr18	-	47809731-47809885;47809694-47809885;47809884-47809885	47809450-47809818;47809450-47809818;47809819-47809884;47809885-47809934	;;;	;;;	(47809819, 47809884)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/40_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#CXXC1
KARS	ENSG00000065427	ENSG00000065427:75675462-75675621:source	-8.74981501146e-07;0.200929487845;1.11479939046e-07;-0.151576732303;-8.44245133245e-05	3.27655659213e-18;0.666610103185;3.24451068934e-16;0.450198659778;2.04988370242e-15	0.025;0.601;0.025;0.344;0.028	0.025;0.809;0.025;0.172;0.025	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1|2e0	True	True	True	5	5	1	chr16	-	75675621-75682366;75675621-75681476;75675621-75681362;75675621-75678181;75675621-75676651	75675462-75675621;75676651-75676733;75678181-75678360;75681362-75681577;75681362-75681577;75682366-75682541	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/3_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#KARS
USP39	ENSG00000168883	ENSG00000168883:85876140-85876403:target	0.275347977523;-0.275347977523	0.882958719682;0.882958719682	0.172;0.828	0.447;0.553	t|1e1.1o1|i	False	False	False	1	2	1	chr2	+	85875976-85876140;85876139-85876140	85875884-85875976;85875977-85876139;85876140-85876403	;;	;;	(85875977, 85876139)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/50_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#USP39
SSRP1	ENSG00000149136	ENSG00000149136:57102542-57102721:source	-0.0849256106421;-0.393879559477;4.43509712154e-05;0.527535153062	0.0148955771227;0.977055793494;8.77725000015e-07;0.99993318326	0.135;0.825;0.025;0.031	0.027;0.438;0.027;0.545	t|1e1.1o1|2e1.1o1|3e1.1o1|i	True	True	False	3	2	1	chr11	-	57102721-57103204;57102714-57103204;57102634-57103204;57102721-57102722	57102542-57102721;57102722-57102755;57103204-57103351;57103204-57103351;57103204-57103351	;;;;	;;;;	(57102722, 57102755)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/37_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SSRP1
APAF1	ENSG00000120868	ENSG00000120868:99100263-99100388:target	0.22496278871;-0.22496278871	0.651093063294;0.651093063294	0.219;0.781	0.505;0.495	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	+	99093347-99100263;99097277-99100263	99093186-99093347;99097149-99097277;99100263-99100388	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/21_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#APAF1
APAF1	ENSG00000120868	ENSG00000120868:99093186-99093347:source	-0.460601843637;0.460601843637	0.989054393524;0.989054393524	0.791;0.209	0.340;0.660	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	+	99093347-99097149;99093347-99100263	99093186-99093347;99097149-99097277;99100263-99100388	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/21_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#APAF1
TMEM2	ENSG00000135048	ENSG00000135048:74347267-74347436:source	0.231997287579;-0.255794446066;0.000116234213959	0.828357182978;0.914575627495;1.9463367257e-08	0.025;0.974;0.025	0.252;0.724;0.029	t|1e1.1o1|1e2.1o1|2e3.1o2	False	True	True	3	4	1	chr9	-	74347436-74354979;74347436-74349722;74347319-74347398	74347267-74347436;74349722-74349910;74354979-74355148	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/29_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#TMEM2
HELLS	ENSG00000119969	ENSG00000119969:96322569-96322633:target	-0.300084029833;0.300084029833	0.969973408218;0.969973408218	0.974;0.026	0.681;0.319	t|1e1.1o1|i	False	False	False	1	2	1	chr10	+	96322484-96322569;96322568-96322569	96322446-96322484;96322485-96322568;96322569-96322633	;;	;;	(96322485, 96322568)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/21_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#HELLS
SP140L	ENSG00000185404	ENSG00000185404:231265030-231265339:target	0.0015919271844;-0.642060662914;0.604228918045	0.00166682160452;0.999403360057;0.996717574159	0.051;0.714;0.237	0.086;0.088;0.827	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr2	+	231264957-231265030;231264957-231265049;231265029-231265030	231264536-231264957;231264536-231264957;231264958-231265029;231265030-231265339	;;;	;;;	(231264958, 231265029)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/58_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SP140L
SNHG12	ENSG00000197989	ENSG00000197989:28907072-28907158:target	-0.241395014658;0.241395014658	0.835455188753;0.835455188753	0.889;0.111	0.651;0.349	s|1e1.1o1|i	False	False	False	1	2	1	chr1	-	28906493-28907072;28907071-28907072	28906424-28906493;28907025-28907071;28907072-28907158	;;	;;	(28907025, 28907071)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/60_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SNHG12
HIRIP3	ENSG00000149929	ENSG00000149929:30004961-30005129:source	0.429205278021;1.71172949096e-05;-0.433235764039	0.99463665191;1.69074753913e-08;0.995307092166	0.279;0.025;0.719	0.698;0.026;0.296	t|1e1.1o1|1e2.3o4|1e2.4o4	True	False	True	3	3	0	chr16	-	30005129-30006424;30005129-30005969;30005129-30005227	30004961-30005129;30005227-30006164;30005227-30006164;30006424-30006538	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/38_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#HIRIP3
RP11-73M18.2	ENSG00000256500	ENSG00000256500:104151975-104152261:target	-0.650184904094;0.650184904094	0.99996649335;0.99996649335	0.708;0.292	0.074;0.926	t|1e1.1o1|i	False	False	False	1	2	1	chr14	+	104151373-104151975;104151974-104151975	104151323-104151373;104151374-104151974;104151975-104152261	;;	;;	(104151374, 104151974)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/67_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#RP11-73M18.2
DSN1	ENSG00000149636	ENSG00000149636:35401797-35402221:target	0.276747061235;-0.0243303409623;1.12002093315e-06;1.12002093315e-06;-0.107904543229;1.12002093315e-06	0.819306845215;0.0163204506362;5.01310360639e-09;5.01310360639e-09;0.327720794332;5.01310360639e-09	0.540;0.131;0.025;0.025;0.319;0.025	0.837;0.033;0.025;0.025;0.126;0.025	s|1e1.1o1|1e2.1o1|1e3.1o3|2e1.1o1|3e1.1o1|3e4.1o1	True	True	True	6	5	0	chr20	-	35399876-35402065;35399596-35402065;35399427-35402065;35399876-35401884;35399876-35401797;35396445-35401797	35396372-35396445;35399276-35399427;35399518-35399596;35399828-35399876;35399828-35399876;35399828-35399876;35401797-35402221	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/38_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#DSN1
IFI35	ENSG00000068079	ENSG00000068079:41165493-41165679:target	-0.233186359834;0.246911076181;4.11223959809e-05	0.872212686904;0.865499660094;1.48928644629e-05	0.274;0.700;0.027	0.033;0.960;0.030	t|1e1.2o3|1e1.3o3|i	True	False	False	2	2	1	chr17	+	41165390-41165493;41165396-41165493;41165492-41165493	41165284-41165396;41165284-41165396;41165397-41165492;41165493-41165679	;;;	;;;	(41165397, 41165492)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/4_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#IFI35
IFI35	ENSG00000068079	ENSG00000068079:41165284-41165396:source	-0.231441221545;0.278053215445;-0.00122118750671	0.872918901832;0.923081910382;1.63063805958e-05	0.272;0.677;0.050	0.033;0.960;0.029	s|1e0|2e1.1o1|3e1.1o1|i	True	True	False	2	2	1	chr17	+	41165390-41165493;41165396-41165493;41165396-41165397	41165284-41165396;41165397-41165492;41165493-41165679;41165493-41165679	;;;	;;;	(41165397, 41165492)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/4_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#IFI35
DNAJC21	ENSG00000168724	ENSG00000168724:34950275-34950447:source	0.355404306598;-0.371454884495;5.46268390948e-05	0.996193385904;0.997888542462;2.76691505443e-09	0.034;0.964;0.025	0.381;0.601;0.027	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr5	+	34950447-34950549;34950447-34954031;34950447-34950448	34950275-34950447;34950448-34950548;34950549-34952848;34953631-34954296	;;;	;;;	(34950448, 34950548)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/50_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#DNAJC21
LRRC75A-AS1	ENSG00000175061	ENSG00000175061:16342895-16343017:source	2.55196063337e-08;-0.375248577248;0.370397047497	2.71168087443e-18;0.991338195745;0.989689158206	0.025;0.733;0.265	0.025;0.367;0.627	s|1e0|2e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	+	16343017-16343425;16343017-16343499;16343017-16343018	16342895-16343017;16343018-16343349;16343425-16343567;16343425-16343567	;;;	;;;	(16343018, 16343349)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/53_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#LRRC75A-AS1
SMC4	ENSG00000113810	ENSG00000113810:160119703-160119711:target	-7.09835436368e-06;-0.473290335208;0.486256240244	4.99831955418e-13;0.999884054439;0.999960315246	0.025;0.880;0.104	0.025;0.419;0.578	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr3	+	160117537-160119703;160118753-160119703;160119702-160119703	160117426-160117537;160118270-160118753;160118754-160119702;160119703-160119711	;;;	;;;	(160118754, 160119702)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/19_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SMC4
JADE2	ENSG00000043143	ENSG00000043143:133914184-133918918:target	0.247761821876;-0.00989152429421;-0.00902697220749;-0.0145803157176;3.25553738354e-07	0.802575607075;0.0214155080521;0.00184628878754;0.0249976558844;2.60304154393e-09	0.089;0.571;0.100;0.236;0.025	0.349;0.486;0.031;0.136;0.025	t|1e1.1o2|1e2.1o2|2e1.1o2|2e2.1o2|2e2.2o2	True	True	True	5	3	0	chr5	+	133909452-133914184;133912586-133914184;133909452-133914187;133912586-133914187;133912728-133914187	133909335-133911427;133909335-133911427;133912458-133912728;133912458-133912728;133912458-133912728;133914184-133918918	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/2_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#JADE2
LEF1	ENSG00000138795	ENSG00000138795:109087814-109087953:target	-0.252365197593;0.252365197593	0.754417573328;0.754417573328	0.368;0.632	0.077;0.923	s|1e1.4o4|i	False	False	False	1	2	1	chr4	-	109086319-109087814;109087813-109087814	109086253-109086413;109087458-109087813;109087814-109087953	;;	;;	(109087458, 109087813)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/32_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#LEF1
C1GALT1	ENSG00000106392	ENSG00000106392:7273889-7274928:target	1.67634848594e-05;0.280811772165;-8.34667860039e-05;-0.00350141423985;-0.00508364503119;-0.0441248757802	2.22351288534e-07;0.869797458767;2.70621512521e-07;0.0001082022462;0.000243527489401;0.0840487032655	0.025;0.642;0.029;0.072;0.079;0.184	0.026;0.933;0.026;0.026;0.026;0.050	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o2|2e5.2o2|3e0	True	True	True	6	6	1	chr7	+	7197057-7273934;7222451-7273934;7223225-7273934;7225108-7273934;7254865-7273934;7254870-7273934	7196933-7197057;7222178-7222451;7223215-7223225;7225098-7225108;7254673-7254870;7254673-7254870;7273889-7274928	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/14_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#C1GALT1
THUMPD3	ENSG00000134077	ENSG00000134077:9406700-9407004:target	0.238814556175;0.0145463585291;-0.130514654533;-0.000942048452358;-0.0755691645869;1.85524372952e-05;1.85524372952e-05	0.737134714393;0.0155797710787;0.291123390364;0.0121424927408;0.224874381092;8.24556708678e-07;8.24556708678e-07	0.035;0.025;0.184;0.463;0.313;0.025;0.025	0.294;0.122;0.026;0.452;0.116;0.026;0.026	t|1e1.1o6|1e1.2o6|1e1.3o6|1e1.4o6|1e1.5o6|1e1.6o6|1e2.1o1	True	False	True	7	3	1	chr3	+	9404811-9406700;9404996-9406700;9405000-9406700;9405016-9406700;9405209-9406700;9405412-9406700;9405722-9406700	9404526-9405412;9404526-9405412;9404526-9405412;9404526-9405412;9404526-9405412;9404526-9405412;9405519-9405722;9406700-9407004	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/29_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#THUMPD3
