#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th17_p_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
POM121	ENSG00000196313	ENSG00000196313:72361472-72361649:source	-0.000291297723668;-0.000468489103083;-0.187952720692;0.253111554435	2.23630815264e-06;5.69844656722e-06;0.623301838302;0.814299882759	0.048;0.054;0.270;0.627	0.031;0.031;0.053;0.897	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	1	chr7	+	72361649-72371568;72361649-72383615;72361649-72384302;72361649-72396800	72361472-72361649;72371568-72371665;72383615-72383689;72384302-72384365;72396800-72397015	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/23_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#POM121
CBR4	ENSG00000145439	ENSG00000145439:169922320-169923356:source	-0.220853218214;0.220853218214	0.656725692873;0.656725692873	0.839;0.161	0.556;0.444	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr4	-	169923356-169927906;169923356-169927036	169922320-169923356;169927036-169927065;169927906-169927939	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/13_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CBR4
RPL14	ENSG00000188846	ENSG00000188846:40498783-40499238:source	-0.191799699892;0.323028211876;-0.00357792367183	0.603202325307;0.897281395548;0.000399533913224	0.357;0.556;0.087	0.099;0.891;0.027	s|1e1.2o4|2e1.2o4|3e1.2o4	True	True	False	3	2	0	chr3	+	40498854-40499381;40498965-40499381;40499238-40499381	40498783-40499238;40499368-40500107;40499368-40500107;40499368-40500107	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/23_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#RPL14
ARFIP2	ENSG00000132254	ENSG00000132254:6502461-6502666:target	-3.72548603828e-07;0.284760336355;-0.339869502259;0.000562540490646	1.76131327704e-09;0.820330064954;0.925280895448;1.12124269558e-05	0.025;0.357;0.613;0.031	0.025;0.670;0.269;0.057	s|1e1.1o1|2e2.1o2|2e2.2o2|2e3.1o1	True	True	True	4	4	0	chr11	-	6502460-6502515;6501693-6502461;6501653-6502461;6501298-6502461	6500536-6501298;6501553-6501693;6501553-6501693;6501937-6502460;6502461-6502666	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/10_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ARFIP2
ZNF266	ENSG00000174652	ENSG00000174652:9530741-9531421:source	0.228330064825;0.0253680111833;-1.50360651091e-05;-0.00727839055854;-0.179346875458	0.747796951893;0.0480611069607;7.95835925473e-07;0.0132465325695;0.504017272492	0.052;0.053;0.027;0.186;0.706	0.315;0.185;0.025;0.082;0.414	t|1e0|2e1.1o1|2e2.1o1|2e3.3o3|2e4.2o3|2e4.3o3	True	True	True	5	5	1	chr19	-	9530894-9545784;9530894-9545474;9530894-9544741;9530894-9544369;9530894-9544344	9530741-9531421;9544344-9544462;9544344-9544462;9544741-9544911;9545474-9545535;9545784-9545869	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/20_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ZNF266
ZNF266	ENSG00000174652	ENSG00000174652:9545784-9545869:target	-0.315155827139;-2.14503632235e-05;0.324521523874	0.905753218422;1.27012793437e-06;0.931633995816	0.937;0.028;0.053	0.612;0.026;0.381	s|1e1.1o1|1e2.1o1|1e3.2o2	False	False	True	3	4	0	chr19	-	9545535-9545784;9544911-9545784;9530894-9545784	9530741-9531421;9544741-9544911;9545474-9545535;9545784-9545869	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/20_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ZNF266
BAZ2A	ENSG00000076108	ENSG00000076108:57011179-57011316:source	-0.0175205825048;0.221138020076;-0.0177519089839;2.45684612955e-06	0.0322844573989;0.709709852873;0.0458417943612;3.31625850704e-09	0.215;0.112;0.670;0.025	0.096;0.366;0.533;0.025	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2	True	False	True	4	4	0	chr12	-	57011316-57029966;57011316-57024560;57011316-57023909;57011316-57023757	57011179-57011316;57023757-57024092;57023757-57024092;57024560-57024709;57029966-57030163	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/1_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#BAZ2A
CALM1	ENSG00000198668	ENSG00000198668:90865335-90865431:target	-0.183383280207;0.306882676352;-0.000159953145574;-0.000704087096182;0.000594371126359	0.60089925245;0.904777728225;2.19618689688e-06;2.80146004614e-05;0.00661316427042	0.289;0.036;0.038;0.059;0.584	0.049;0.344;0.027;0.027;0.596	t|1e1.2o2|1e2.1o4|1e2.2o4|1e2.3o4|i	True	False	True	4	3	1	chr14	+	90863577-90865335;90864832-90865335;90864895-90865335;90864904-90865335;90865334-90865335	90863327-90863577;90864276-90865147;90864276-90865147;90864276-90865147;90865148-90865334;90865335-90865431	;;;;;	;;;;;	(90865148, 90865334)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/24_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CALM1
FCHSD1	ENSG00000197948	ENSG00000197948:141027451-141027663:target	-0.246229199309;0.246229199309	0.717248746437;0.717248746437	0.931;0.069	0.627;0.373	s|1e1.3o4|2e0|i	True	False	False	1	2	1	chr5	-	141027087-141027535;141027450-141027451	141026965-141027398;141027399-141027450;141027451-141027663	;;	;;	(141027399, 141027450)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/24_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FCHSD1
RPL7	ENSG00000147604	ENSG00000147604:74204924-74205032:source	3.06066632853e-06;-0.35000693095;0.476002197062;3.06066632853e-06;-0.000162563341359;3.06066632853e-06;-0.00611299588568	1.16350636902e-07;0.968069713206;0.992005317798;1.16350636902e-07;3.76231715428e-06;1.16350636902e-07;0.00866954920328	0.025;0.387;0.400;0.025;0.038;0.025;0.169	0.026;0.042;0.866;0.026;0.026;0.026;0.080	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|2e3.1o1|i	True	True	True	6	6	1	chr8	-	74205032-74208000;74205032-74206101;74205032-74205834;74205032-74205386;74205032-74205117;74205030-74205834;74205032-74205033	74204924-74205032;74205033-74205116;74205117-74205157;74205386-74205577;74205834-74205868;74205834-74205868;74206101-74206673;74208000-74208024	;;;;;;;	;;;;;;;	(74205033, 74205116)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/14_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#RPL7
ARRDC1	ENSG00000197070	ENSG00000197070:140509526-140509812:target	-3.30094791427e-07;0.231263115179;-0.229571086137	1.5805461517e-13;0.766049947138;0.761010581867	0.025;0.559;0.437	0.025;0.801;0.196	t|1e1.3o4|1e1.4o4|i	True	False	False	2	2	1	chr9	+	140509350-140509526;140509452-140509526;140509525-140509526	140509011-140509452;140509011-140509452;140509453-140509525;140509526-140509812	;;;	;;;	(140509453, 140509525)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/23_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ARRDC1
COQ4	ENSG00000167113	ENSG00000167113:131085295-131085426:target	-0.00459492061033;-0.0569436516996;0.251082268878	0.00437047804285;0.166635941457;0.740027104833	0.133;0.788;0.078	0.055;0.572;0.373	t|1e1.1o2|1e1.2o2|i	True	False	False	2	2	1	chr9	+	131085050-131085295;131085207-131085295;131085294-131085295	131084815-131085207;131084815-131085207;131085208-131085294;131085295-131085426	;;;	;;;	(131085208, 131085294)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/18_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#COQ4
COQ4	ENSG00000167113	ENSG00000167113:131084815-131085207:source	-0.00508808842181;-0.11252863289;0.311334205131	0.00407267456905;0.33102748668;0.856536882973	0.128;0.741;0.131	0.047;0.489;0.465	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr9	+	131085050-131085295;131085207-131085295;131085207-131085208	131084815-131085207;131085208-131085294;131085295-131085426;131085295-131085426	;;;	;;;	(131085208, 131085294)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/18_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#COQ4
AK2	ENSG00000004455	ENSG00000004455:33487194-33487304:target	-0.351703481533;0.351703481533	0.826723007999;0.826723007999	0.631;0.369	0.234;0.766	s|1e0|2e1.1o1|2e2.1o1	True	False	True	2	3	0	chr1	-	33487062-33487194;33480195-33487194	33479966-33480195;33486968-33487062;33487194-33487304	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/0_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#AK2
UHRF2	ENSG00000147854	ENSG00000147854:6496960-6497103:source	0.268092879758;-0.268092879758	0.743304907526;0.743304907526	0.374;0.626	0.692;0.308	s|1e1.1o1|i	False	False	False	1	2	1	chr9	+	6497103-6497198;6497103-6497104	6496960-6497103;6497104-6497197;6497198-6497360	;;	;;	(6497104, 6497197)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/14_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#UHRF2
TAF1C	ENSG00000103168	ENSG00000103168:84215352-84215489:source	-1.00124172586e-05;-0.393649125386;0.397456209077	1.37933288397e-07;0.950101060275;0.954856461197	0.027;0.781;0.210	0.026;0.386;0.607	t|1e1.3o3|2e1.2o3|3e0|i	True	True	False	2	2	1	chr16	-	84215489-84215547;84215469-84215548;84215489-84215490	84215352-84215489;84215490-84215546;84215547-84215664;84215547-84215664	;;;	;;;	(84215490, 84215546)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/5_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#TAF1C
C2orf68	ENSG00000168887	ENSG00000168887:85839001-85839189:target	-0.235870340916;0.235870340916	0.804627479261;0.804627479261	0.958;0.042	0.721;0.279	s|1e1.1o1|i	False	False	False	1	2	1	chr2	-	85838909-85839001;85839000-85839001	85838867-85838909;85838910-85839000;85839001-85839189	;;	;;	(85838910, 85839000)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/18_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#C2orf68
FAHD2A	ENSG00000115042	ENSG00000115042:96071301-96071551:target	-0.437158112904;-0.000525102771417;0.491208796461	0.973333849853;0.000134589151845;0.997404685412	0.888;0.058;0.057	0.455;0.026;0.537	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	0	chr2	+	96068620-96071301;96068740-96071301;96071150-96071301	96068469-96068740;96068469-96068740;96071022-96071150;96071301-96071551	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/8_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FAHD2A
CNOT1	ENSG00000125107	ENSG00000125107:58658557-58658698:target	-0.000297747795675;0.57901510229;-0.543601163858	3.36136734442e-05;0.999062819408;0.997693329374	0.048;0.317;0.637	0.028;0.882;0.106	s|1e2.1o1|2e1.1o1|2e2.1o1	True	True	True	3	3	0	chr16	-	58633415-58658577;58657313-58658557;58633415-58658557	58632914-58633415;58632914-58633415;58657130-58657313;58658557-58658698	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/9_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CNOT1
NDE1	ENSG00000072864	ENSG00000072864:15793454-15794348:target	0.00155840172977;0.253237963505;0.000763992791811;-0.347071757125	6.74385718101e-05;0.882536752413;1.35584861938e-05;0.978523537157	0.033;0.033;0.033;0.919	0.076;0.283;0.062;0.579	t|1e1.1o1|1e2.2o2|2e1.1o1|2e2.2o2	True	True	True	4	3	1	chr16	+	15788113-15793454;15790717-15793454;15788113-15793586;15790717-15793586	15788022-15788113;15788022-15788113;15790566-15790717;15790566-15790717;15793454-15794348	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/1_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#NDE1
NDE1	ENSG00000072864	ENSG00000072864:15790566-15790717:source	0.200819297991;-0.0343080159384;-1.60772589467e-07;-0.0044841808087	0.659017192841;0.0955286020046;5.99528345992e-12;0.00731985015622	0.027;0.584;0.025;0.396	0.224;0.443;0.025;0.330	s|1e0|2e1.1o2|2e1.2o2|2e2.1o1|2e3.1o1	True	True	True	4	4	1	chr16	+	15790717-15793454;15790717-15793586;15790717-15795368;15790717-15818048	15790566-15790717;15793454-15794348;15793454-15794348;15795368-15795378;15818048-15820210	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/1_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#NDE1
GALK2	ENSG00000156958	ENSG00000156958:49531417-49531564:source	-0.2335151614;0.2335151614	0.786536854636;0.786536854636	0.973;0.027	0.741;0.259	s|1e0|2e0|3e0|4e1.1o1|4e2.1o1	True	False	True	2	3	0	chr15	+	49531564-49574184;49531564-49575763	49531417-49531564;49574184-49574286;49575763-49575776	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/15_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#GALK2
GALK2	ENSG00000156958	ENSG00000156958:49575763-49575776:target	0.209264411884;-0.18885382725;-2.49319890506e-05	0.689770005816;0.621484331379;1.76406244373e-06	0.028;0.967;0.028	0.249;0.744;0.026	t|1e1.4o4|1e2.2o3|1e2.3o3	True	False	True	3	3	1	chr15	+	49531564-49575763;49574282-49575763;49574286-49575763	49531417-49531564;49574184-49574286;49574184-49574286;49575763-49575776	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/15_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#GALK2
IVNS1ABP	ENSG00000116679	ENSG00000116679:185275882-185276271:target	0.226319739054;-0.226319739054	0.782154016398;0.782154016398	0.232;0.768	0.460;0.540	s|1e1.1o2|1e2.1o1|2e0	True	False	True	2	3	0	chr1	-	185275757-185276146;185274775-185276146	185274647-185274775;185275617-185275757;185275882-185276271	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/8_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#IVNS1ABP
GPR108	ENSG00000125734	ENSG00000125734:6732036-6732079:target	0.253216719297;-0.0489786823272;-0.064544281002	0.842801674579;0.0709349612092;0.0690615508796	0.716;0.149;0.136	0.967;0.031;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr19	-	6731945-6732036;6731533-6732036;6732035-6732036	6731484-6731533;6731902-6731945;6731946-6732035;6732036-6732079	;;;	;;;	(6731946, 6732035)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/9_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#GPR108
NLRC3	ENSG00000167984	ENSG00000167984:3617202-3617386:source	-0.261961998251;-0.000102979775686;0.29374759461;-2.59593070097e-05	0.874909330084;7.16227034544e-07;0.910955495499;9.0401329331e-07	0.292;0.034;0.651;0.034	0.032;0.025;0.944;0.032	t|1e1.1o1|1e2.1o1|2e0|2e1.1o1|2e2.1o1	True	True	True	4	3	1	chr16	-	3617386-3627150;3617386-3625065;3617325-3627150;3617325-3625065	3617202-3617386;3625065-3625177;3625065-3625177;3627150-3627401;3627150-3627401	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/18_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#NLRC3
NLRC3	ENSG00000167984	ENSG00000167984:3627150-3627401:target	-0.000374270194155;-0.255761915111;0.259507741796;-1.13190176293e-06;-1.13190176293e-06	4.78442050429e-05;0.858450171894;0.811826702474;5.29974980171e-09;5.29974980171e-09	0.067;0.285;0.639;0.025;0.025	0.052;0.031;0.916;0.025;0.025	s|1e0|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o3	False	True	True	5	5	1	chr16	-	3625177-3627150;3617386-3627150;3617325-3627150;3615381-3627150;3615113-3627150	3614860-3615113;3615320-3615381;3617202-3617386;3617202-3617386;3625065-3625177;3627150-3627401	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/18_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#NLRC3
UBP1	ENSG00000153560	ENSG00000153560:33438537-33439930:target	-0.255257387163;0.255257387163	0.878274510711;0.878274510711	0.274;0.726	0.025;0.975	s|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr3	-	33438370-33438537;33437772-33438537	33437654-33437794;33438237-33438370;33438537-33439930	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/15_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#UBP1
