#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_e_A E(PSI)	Th17_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
SETD5	ENSG00000168137	ENSG00000168137:9512143-9512613:target	0.244193259499;-0.244193259499	0.812183566075;0.812183566075	0.682;0.318	0.938;0.062	t|1e1.1o5|1e2.1o1|2e0	False	True	True	2	3	0	chr3	+	9506356-9512143;9510259-9512143	9506109-9506638;9510203-9510259;9512143-9512613	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/24_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SETD5
SETD5	ENSG00000168137	ENSG00000168137:9482140-9482382:target	-0.225764213436;0.225764213436	0.719423321795;0.719423321795	0.958;0.042	0.703;0.297	t|1e1.2o2|1e2.1o1	False	False	True	2	3	0	chr3	+	9477590-9482140;9478572-9482140	9477412-9477590;9478534-9478572;9482140-9482382	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/24_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SETD5
BCAP29	ENSG00000075790	ENSG00000075790:107253777-107253878:source	0.000742497124625;-1.57590205454e-06;-0.0153796503987;-0.01535063928;0.312387011223;-0.0123142178707	1.20887160596e-05;2.17562421829e-09;0.0211875243946;0.0391434472391;0.93399967085;0.00503907643839	0.032;0.025;0.163;0.606;0.094;0.108	0.059;0.025;0.053;0.476;0.406;0.025	s|1e0|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|2e0	True	False	True	6	7	0	chr7	+	107253877-107254099;107253877-107255691;107253877-107256706;107253877-107258773;107253877-107262075;107253877-107269267	107253777-107253878;107254099-107254177;107255691-107256319;107256706-107256834;107258773-107259891;107262075-107263762;107269267-107269615	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/3_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#BCAP29
BECN1	ENSG00000126581	ENSG00000126581:40970805-40970895:target	0.301730115422;1.38930456563e-06;-0.302359841297	0.950410537804;6.65101864918e-11;0.954545581477	0.663;0.025;0.334	0.958;0.025;0.038	s|1e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	-	40970704-40970811;40970698-40970805;40970804-40970805	40970669-40970704;40970669-40970704;40970705-40970804;40970805-40970895	;;;	;;;	(40970705, 40970804)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#BECN1
WHAMM	ENSG00000156232	ENSG00000156232:83486672-83486841:target	0.207072777292;-0.207072777292	0.637701591339;0.637701591339	0.718;0.282	0.969;0.031	t|1e0|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr15	+	83485594-83486672;83486454-83486672	83485444-83485594;83486444-83486454;83486672-83486841	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/19_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#WHAMM
PARP6	ENSG00000137817	ENSG00000137817:72543548-72543692:target	-0.0101671721605;-0.112270293365;0.319847868304	0.0195196660232;0.351791212902;0.967969622795	0.368;0.523;0.110	0.262;0.314;0.424	s|1e1.1o2|1e1.2o2|1e2.3o3	False	True	True	3	3	0	chr15	-	72543298-72543548;72543295-72543548;72542433-72543548	72542361-72542789;72543186-72543298;72543186-72543298;72543548-72543692	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PARP6
PARP6	ENSG00000137817	ENSG00000137817:72542361-72542789:source	0.417421475379;-0.417421475379	0.998356861124;0.998356861124	0.105;0.895	0.512;0.488	t|1e0|2e0|3e1.1o1|3e2.1o1	False	True	True	2	3	0	chr15	-	72542433-72543548;72542433-72543186	72542361-72542789;72543186-72543298;72543548-72543692	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PARP6
TAZ	ENSG00000102125	ENSG00000102125:153646814-153647962:source	-0.0307897338494;-0.0911241784149;0.267935052394	0.0870127066255;0.094912460074;0.773107223732	0.407;0.157;0.436	0.244;0.027;0.746	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chrX	+	153647962-153648044;153647962-153648371;153647962-153647963	153646814-153647962;153647963-153648043;153648044-153648291;153648330-153648480	;;;	;;;	(153647963, 153648043)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/6_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TAZ
TAZ	ENSG00000102125	ENSG00000102125:153648044-153648291:target	1.63107622998e-05;-0.283280635493;0.274037680667	1.08578103316e-07;0.813973475301;0.79150268599	0.025;0.523;0.472	0.026;0.210;0.780	t|1e1.3o3|1e2.1o1|i	False	False	True	2	3	1	chrX	+	153642527-153648044;153647962-153648044;153648043-153648044	153642438-153642527;153646814-153647962;153647963-153648043;153648044-153648291	;;;	;;;	(153647963, 153648043)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/6_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TAZ
DDX19B	ENSG00000157349	ENSG00000157349:70348708-70348858:target	-3.26181498821e-06;-3.26181498821e-06;0.426304696972;-0.426723655085	2.59649718708e-07;2.59649718708e-07;0.9938196017;0.99071720932	0.026;0.026;0.043;0.946	0.026;0.026;0.459;0.528	t|1e3.1o1|2e1.2o2|2e2.1o1|2e3.1o1	True	True	True	4	4	0	chr16	+	70346560-70348708;70328969-70348805;70333257-70348805;70346560-70348805	70328680-70328969;70332956-70333257;70346512-70346560;70346512-70346560;70348708-70348858	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/20_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#DDX19B
PLEC	ENSG00000178209	ENSG00000178209:145012799-145012860:source	-0.193090381064;0.374537260109;2.7350262743e-05;-2.99843357406e-06;-2.99843357406e-06;-0.00449360342504;-2.99843357406e-06;-2.99843357406e-06;-2.99843357406e-06;-0.000152556401354;5.82014755246e-05	0.573361187056;0.9766541665;2.22810892114e-08;1.87658083644e-08;1.87658083644e-08;0.00188814572962;1.87658083644e-08;1.87658083644e-08;1.87658083644e-08;4.89859045144e-06;4.7724422191e-06	0.715;0.110;0.025;0.025;0.025;0.095;0.025;0.025;0.025;0.038;0.038	0.438;0.479;0.027;0.025;0.025;0.025;0.025;0.025;0.025;0.027;0.040	t|1e1.1o1|1e10.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|1e7.1o1|1e8.1o1|1e9.1o1	True	False	True	11	11	0	chr8	-	145012860-145049345;145012860-145013518;145012860-145047571;145012860-145032763;145012860-145027894;145012860-145024352;145012860-145020553;145012860-145020518;145012860-145018816;145012860-145017947;145012860-145016560	145012799-145012860;145013518-145013758;145016560-145016692;145017947-145018126;145018816-145018905;145020518-145020715;145020518-145020715;145024352-145025044;145027894-145028088;145032763-145032967;145047571-145047697;145049345-145049543	;;;;;;;;;;;	;;;;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/27_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PLEC
TRIP12	ENSG00000153827	ENSG00000153827:230672035-230672580:target	0.211780711653;-0.00102310884364;-0.0130365032046;-0.0780022526979	0.691695779088;0.000567361429919;0.0084193440173;0.0464637717718	0.456;0.256;0.154;0.135	0.699;0.230;0.060;0.025	s|1e1.2o3|1e1.3o3|2e1.2o3|2e1.3o3|3e0	True	True	False	4	2	1	chr2	-	230670599-230672424;230670518-230672424;230670599-230672421;230670518-230672421	230670446-230670865;230670446-230670865;230670446-230670865;230670446-230670865;230672035-230672580	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/19_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRIP12
TRIP12	ENSG00000153827	ENSG00000153827:230744698-230744844:source	-3.86314056994e-06;-0.000597712896494;0.229198564179;-3.86314056994e-06;-0.280904378225;6.29547201813e-05	2.18177021658e-08;0.00468105103359;0.69658531491;2.18177021658e-08;0.90955436662;1.12576057623e-07	0.025;0.548;0.133;0.025;0.307;0.025	0.025;0.537;0.411;0.025;0.030;0.030	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	False	False	True	6	7	1	chr2	-	230744844-230787864;230744844-230786596;230744844-230786280;230744844-230785987;230744844-230773681;230744844-230765453	230744698-230744844;230765453-230765574;230773681-230773798;230785987-230786074;230786280-230786378;230786596-230786725;230787864-230787955	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/19_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRIP12
CTBP1-AS2	ENSG00000196810	ENSG00000196810:1244314-1245610:target	-0.0223020342718;0.260322526005;-0.0272678707461	0.0393529563514;0.767480028018;0.0768644442875	0.167;0.093;0.740	0.041;0.391;0.571	t|1e0|2e1.1o3|2e1.2o3|i	True	True	False	2	2	1	chr4	+	1244138-1244684;1244161-1244684;1244313-1244314	1243898-1244234;1243898-1244234;1244235-1244313;1244314-1245610	;;;	;;;	(1244235, 1244313)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/30_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CTBP1-AS2
CTBP1-AS2	ENSG00000196810	ENSG00000196810:1243898-1244234:source	-0.033862091101;0.333514318277;-0.0399666215095	0.0821312399653;0.865435138435;0.114341709411	0.202;0.112;0.686	0.048;0.471;0.483	s|1e1.2o2|2e1.2o2|3e0|i	True	True	False	2	2	1	chr4	+	1244138-1244684;1244161-1244684;1244234-1244235	1243898-1244234;1244235-1244313;1244314-1245610;1244314-1245610	;;;	;;;	(1244235, 1244313)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/30_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CTBP1-AS2
COQ4	ENSG00000167113	ENSG00000167113:131088058-131088679:target	0.24926971584;-0.24926971584	0.733183581778;0.733183581778	0.154;0.846	0.446;0.554	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr9	+	131085426-131088058;131087518-131088058	131085295-131085426;131087422-131087518;131088058-131088679	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/23_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#COQ4
TBL1XR1	ENSG00000177565	ENSG00000177565:176816254-176816329:source	-0.26248566935;-0.00656125013151;0.38734615884;0.00107389987545;-0.000268393979824	0.685350389541;0.0142595968367;0.997580681132;7.29149337605e-05;6.04189748186e-05	0.675;0.263;0.027;0.027;0.050	0.335;0.165;0.404;0.066;0.035	t|1e0|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	1	chr3	-	176816329-176914909;176816329-176914128;176816329-176878659;176816329-176849151;176816329-176828597	176816254-176816329;176828597-176828607;176849151-176849237;176878659-176878776;176914128-176914272;176914909-176915261	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/26_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TBL1XR1
PXK	ENSG00000168297	ENSG00000168297:58395817-58395886:source	-0.125410601576;-0.0011336612666;0.230006192874	0.397346461292;0.00102784277632;0.844904506228	0.750;0.244;0.025	0.536;0.215;0.250	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	0	chr3	+	58395886-58398628;58395886-58398631;58395886-58410479	58395817-58395886;58398628-58400254;58398628-58400254;58410479-58411748	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/24_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PXK
PXK	ENSG00000168297	ENSG00000168297:58410479-58411748:target	0.000765192797231;0.221426292289;-0.313444376027;4.10230927375e-05;8.12931974053e-05	7.87191255655e-07;0.793654354588;0.970457902658;2.33875833953e-07;4.40531638856e-07	0.025;0.025;0.940;0.031;0.033	0.054;0.241;0.633;0.033;0.037	t|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o4|1e5.1o1	False	False	True	5	6	1	chr3	+	58395345-58410479;58395886-58410479;58398690-58410479;58406295-58410479;58409221-58410479	58395259-58395345;58395817-58395886;58398628-58400254;58406263-58406687;58409188-58409221;58410479-58411748	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/24_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PXK
ODF2	ENSG00000136811	ENSG00000136811:131223221-131223652:source	-0.102632029202;-1.31150064881e-06;0.260798189119;-0.0290206547531;4.70567115985e-07	0.296987811793;2.42278942074e-12;0.865082823548;0.00191232721057;2.39702196308e-12	0.295;0.025;0.587;0.106;0.025	0.129;0.025;0.849;0.027;0.025	s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|2e3.1o1|3e0	True	True	True	5	4	0	chr9	+	131223289-131231462;131223289-131233587;131223346-131231462;131223346-131233587;131223346-131235192	131223221-131223652;131231462-131231749;131231462-131231749;131233587-131233747;131233587-131233747;131235192-131235321	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/15_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ODF2
BCAT1	ENSG00000060982	ENSG00000060982:25054748-25054819:source	-0.333430263005;0.298394254661;0.000486902761277;-3.80629650924e-05	0.933043865402;0.94379602438;1.79651833435e-05;7.00115916903e-06	0.956;0.030;0.030;0.029	0.615;0.329;0.052;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	3	4	1	chr12	-	25054819-25101861;25054819-25055881;25054819-25054897;25054819-25054820	25054748-25054819;25054820-25054896;25054897-25055322;25055881-25056009;25101861-25102393	;;;;	;;;;	(25054820, 25054896)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/2_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#BCAT1
TRIM5	ENSG00000132256	ENSG00000132256:5706098-5706624:target	0.383058678697;-3.61169394996e-06;-0.381178087102	0.905206022423;6.38362383877e-07;0.901123518199	0.225;0.027;0.765	0.625;0.027;0.366	s|1e2.1o2|2e1.1o1|2e2.1o2	True	True	True	3	3	0	chr11	-	5701468-5706246;5705369-5706098;5701468-5706098	5701192-5701468;5701192-5701468;5705216-5705369;5706098-5706624	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/13_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRIM5
TRIM5	ENSG00000132256	ENSG00000132256:5701192-5701468:source	-3.07549403977e-06;0.389235333803;-0.386320602489;-3.07549403977e-06	3.91660557265e-07;0.914825013804;0.909203876714;3.91660557265e-07	0.026;0.222;0.764;0.026	0.026;0.625;0.361;0.026	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|2e0	True	True	True	4	4	0	chr11	-	5701468-5958631;5701468-5706246;5701468-5706098;5701468-5705216	5701192-5701468;5705216-5705369;5706098-5706624;5706098-5706624;5958631-5958735	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/13_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRIM5
SAPCD2	ENSG00000186193	ENSG00000186193:139956581-139959239:source	-0.301547269282;0.301547269282	0.918783178615;0.918783178615	0.967;0.033	0.668;0.332	t|1e1.1o1|i	False	False	False	1	2	1	chr9	-	139959239-139959315;139959239-139959240	139956581-139959239;139959240-139959314;139959315-139959431	;;	;;	(139959240, 139959314)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SAPCD2
TDP1	ENSG00000042088	ENSG00000042088:90429449-90430017:target	-0.0084800598103;0.301319940636;-0.0912250958204;8.30290852335e-07;8.30290852335e-07	0.00881654310567;0.901458524512;0.276640530614;2.5935457298e-09;2.5935457298e-09	0.157;0.107;0.729;0.025;0.025	0.064;0.413;0.515;0.025;0.025	t|1e0|2e1.1o1|2e2.1o1|2e3.1o2|2e4.1o1|3e1.1o1	True	True	True	5	5	0	chr14	+	90422314-90429452;90422622-90429452;90423144-90429452;90424741-90429452;90422314-90429569	90422246-90422314;90422246-90422314;90422337-90422622;90422867-90423531;90424637-90424741;90429449-90430017	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/1_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TDP1
CAMK1	ENSG00000134072	ENSG00000134072:9803145-9803220:source	-0.250338240879;0.250338240879	0.796748363856;0.796748363856	0.929;0.071	0.666;0.334	t|1e1.2o2|i	False	False	False	1	2	1	chr3	-	9803220-9803315;9803220-9803221	9803145-9803220;9803221-9803314;9803315-9803441	;;	;;	(9803221, 9803314)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/14_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CAMK1
C1orf228	ENSG00000198520	ENSG00000198520:45190705-45190889:target	0.461464231493;6.9449999862e-06;-0.463339189212	0.9979951181;3.50040295079e-08;0.998283262047	0.427;0.025;0.568	0.877;0.026;0.116	t|1e2.1o1|2e1.4o6|2e2.1o1	True	True	True	3	3	1	chr1	+	45190511-45190705;45190064-45190808;45190511-45190808	45190045-45190146;45190434-45190511;45190434-45190511;45190705-45190889	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/31_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#C1orf228
EIF3J-AS1	ENSG00000179523	ENSG00000179523:44828241-44828838:target	-0.52925624156;0.52925624156	0.999638499884;0.999638499884	0.947;0.053	0.431;0.569	s|1e1.1o1|i	False	False	False	1	2	1	chr15	-	44827672-44828241;44828240-44828241	44825691-44827672;44828142-44828240;44828241-44828838	;;	;;	(44828142, 44828240)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/27_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#EIF3J-AS1
ASXL2	ENSG00000143970	ENSG00000143970:25994309-25994409:source	0.268686490251;-0.120009243879;-0.0200993840162;3.61887822597e-05	0.843565726491;0.310379082321;0.0151901646312;4.72022380502e-06	0.669;0.199;0.127;0.025	0.959;0.029;0.029;0.029	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	1	chr2	-	25994409-26022254;25994409-26017341;25994409-26009764;25994409-26003118	25994309-25994409;26003118-26003178;26009764-26009774;26017341-26017351;26022254-26022404	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ASXL2
TDRD3	ENSG00000083544	ENSG00000083544:61141659-61141784:source	-0.293812981329;0.293812981329	0.796221631383;0.796221631383	0.682;0.318	0.350;0.650	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr13	+	61141784-61147747;61141784-61147750	61141659-61141784;61147747-61148012;61147747-61148012	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/4_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TDRD3
TMEM39A	ENSG00000176142	ENSG00000176142:119180809-119180995:source	-9.21176195492e-06;0.219039907644;-0.226866064194	2.12384570928e-06;0.648748226363;0.679341594683	0.028;0.659;0.330	0.027;0.942;0.049	t|1e1.1o1|1e2.1o1|2e2.1o1|3e0	True	True	True	3	3	0	chr3	-	119180995-119187582;119180995-119182183;119180951-119182183	119180809-119180995;119182183-119182444;119182183-119182444;119187582-119187677	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/26_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TMEM39A
LARP1	ENSG00000155506	ENSG00000155506:154173606-154173755:target	-0.00120103843556;-0.235663627232;-0.00101948456951;0.277376438643;0.00267760678926	0.000100147661868;0.787783508125;9.15637783336e-05;0.824952105886;0.000433852491449	0.067;0.256;0.067;0.578;0.035	0.025;0.025;0.031;0.878;0.089	t|1e0|2e1.2o2|2e2.2o4|2e2.3o4|2e2.4o4|i	True	True	True	4	3	1	chr5	+	154173283-154173660;154173461-154173660;154173482-154173660;154173560-154173660;154173605-154173606	154173155-154173283;154173360-154173560;154173360-154173560;154173360-154173560;154173561-154173605;154173606-154173755	;;;;;	;;;;;	(154173561, 154173605)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/19_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LARP1
