#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th2_p_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
U2SURP	ENSG00000163714	ENSG00000163714:142740315-142740427:target	0.254015449211;-0.253150745045;-1.21082793367e-06	0.701011704641;0.698987819094;3.8345674022e-09	0.360;0.636;0.025	0.659;0.337;0.025	t|1e1.1o2|1e1.2o2|i	True	False	False	2	2	1	chr3	+	142740224-142740315;142740227-142740315;142740314-142740315	142740192-142740227;142740192-142740227;142740228-142740314;142740315-142740427	;;;	;;;	(142740228, 142740314)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/17_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#U2SURP
U2SURP	ENSG00000163714	ENSG00000163714:142740192-142740227:source	0.259918251434;-0.259299387473;-9.25233309482e-07	0.720543163824;0.719285819879;3.58121441437e-09	0.351;0.645;0.025	0.650;0.346;0.025	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr3	+	142740224-142740315;142740227-142740315;142740227-142740228	142740192-142740227;142740228-142740314;142740315-142740427;142740315-142740427	;;;	;;;	(142740228, 142740314)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/17_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#U2SURP
SIRT6	ENSG00000077463	ENSG00000077463:4180609-4180906:target	-0.209686097143;0.209686097143	0.694535221537;0.694535221537	0.974;0.026	0.768;0.232	s|1e1.2o2|1e2.1o1|2e0	True	False	True	2	3	0	chr19	-	4179283-4180779;4177135-4180779	4177076-4177135;4179101-4179500;4180609-4180906	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/2_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#SIRT6
HSH2D	ENSG00000196684	ENSG00000196684:16263842-16264355:target	-0.000813873411812;-0.000269383964635;0.212054551889;9.62989926452e-07;-0.163486488859	3.781196573e-05;1.22789224727e-06;0.677734001264;8.01953983441e-11;0.535069011319	0.101;0.055;0.478;0.025;0.362	0.073;0.044;0.732;0.025;0.147	t|1e2.2o2|2e2.1o2|2e2.2o2|3e1.1o1|i	True	True	True	4	3	1	chr19	+	16263451-16263842;16263413-16263853;16263451-16263853;16254584-16263947;16263841-16263842	16254442-16254584;16263362-16263451;16263362-16263451;16263362-16263451;16263452-16263841;16263842-16264355	;;;;;	;;;;;	(16263452, 16263841)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/23_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#HSH2D
TMEM104	ENSG00000109066	ENSG00000109066:72791151-72791250:source	0.282230270378;-0.282230270378	0.903136688997;0.903136688997	0.690;0.310	0.971;0.029	s|1e1.1o2|1e1.2o2	False	True	False	2	2	1	chr17	+	72791250-72791663;72791250-72791666	72791151-72791250;72791663-72791771;72791663-72791771	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/5_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#TMEM104
ARAF	ENSG00000078061	ENSG00000078061:47426283-47426310:source	-0.204496255735;0.204496255735	0.627130269595;0.627130269595	0.975;0.025	0.769;0.231	s|1e1.1o1|i	False	False	False	1	2	1	chrX	+	47426310-47426385;47426310-47426311	47426283-47426310;47426311-47426384;47426385-47426530	;;	;;	(47426311, 47426384)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/2_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ARAF
NMRAL1	ENSG00000153406	ENSG00000153406:4524094-4524167:source	-0.000874137825055;0.309424962969;-0.189035413823	0.00384217572334;0.96030955353;0.525122168227	0.244;0.028;0.744	0.224;0.333;0.443	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0	chr16	-	4524167-4524555;4524167-4524424;4524167-4524411	4524094-4524167;4524411-4524543;4524411-4524543;4524555-4524652	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/14_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#NMRAL1
PRPF40B	ENSG00000110844	ENSG00000110844:50037644-50037787:source	0.237369977418;-0.237369977418	0.700265351941;0.700265351941	0.463;0.537	0.754;0.246	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr12	+	50037787-50037883;50037787-50037788	50037644-50037787;50037788-50037882;50037883-50038449	;;	;;	(50037788, 50037882)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/6_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#PRPF40B
PRPF40B	ENSG00000110844	ENSG00000110844:50037474-50037594:source	0.3632642645;-0.3632642645	0.965003331802;0.965003331802	0.568;0.432	0.927;0.073	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr12	+	50037535-50037644;50037594-50037595	50037474-50037594;50037595-50037643;50037644-50037787	;;	;;	(50037595, 50037643)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/6_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#PRPF40B
CTC1	ENSG00000178971	ENSG00000178971:8132620-8132764:target	-0.000143888517244;-0.111276612155;1.52844012814e-06;-0.129690557626;0.488944084004	1.141369978e-06;0.332893474523;1.84656616258e-08;0.407504790596;0.999136326699	0.036;0.576;0.025;0.274;0.113	0.025;0.335;0.025;0.066;0.590	s|1e0|2e3.1o1|3e1.1o1|3e2.1o1|3e3.1o1|i	True	True	True	4	4	1	chr17	-	8131947-8132653;8132524-8132620;8132210-8132620;8131947-8132620;8132619-8132620	8131821-8131947;8131821-8131947;8132043-8132210;8132460-8132524;8132525-8132619;8132620-8132764	;;;;;	;;;;;	(8132525, 8132619)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/20_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#CTC1
CTC1	ENSG00000178971	ENSG00000178971:8131821-8131947:source	-0.000163655461154;-0.144493221579;-0.000723527693459;1.37037204812e-06;0.252400974248	2.1358591047e-06;0.457849359809;0.00469448940707;3.15810687076e-08;0.826605484787	0.037;0.290;0.643;0.025;0.035	0.026;0.069;0.628;0.026;0.293	t|1e1.2o3|1e1.3o3|1e2.3o4|1e2.4o4|i	True	False	True	4	3	1	chr17	-	8131947-8132653;8131947-8132620;8131947-8132045;8131947-8132043;8131947-8131948	8131821-8131947;8131948-8132042;8132043-8132210;8132043-8132210;8132620-8132764;8132620-8132764	;;;;;	;;;;;	(8131948, 8132042)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/20_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#CTC1
CTC1	ENSG00000178971	ENSG00000178971:8136030-8136350:target	0.231034556724;-0.231034556724	0.671946150772;0.671946150772	0.616;0.384	0.909;0.091	s|1e0|2e1.2o2|3e0|i	True	False	False	1	2	1	chr17	-	8135793-8136224;8136029-8136030	8135679-8135966;8135967-8136029;8136030-8136350	;;	;;	(8135967, 8136029)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/20_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#CTC1
PCGF5	ENSG00000180628	ENSG00000180628:92982446-92982740:source	0.322815282805;-0.140703922584;-0.0222957839148	0.928857150518;0.444710666658;0.0065083228778	0.392;0.500;0.109	0.715;0.281;0.025	s|1e0|2e1.1o1|2e2.1o1|2e3.1o1	True	False	True	3	4	1	chr10	+	92982740-92987094;92982740-93000241;92982740-93008262	92982446-92982740;92987094-92987717;93000241-93000337;93008262-93008317	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/20_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#PCGF5
PTPN22	ENSG00000134242	ENSG00000134242:114381166-114381242:source	-0.0065094120788;-0.175802541108;0.270401886779	0.000847203638019;0.455469401129;0.934399235839	0.098;0.199;0.704	0.029;0.025;0.968	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr1	-	114381242-114397093;114381242-114394649;114381242-114391162	114381166-114381242;114391162-114391248;114394649-114394726;114397093-114397159	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/10_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#PTPN22
UROS	ENSG00000188690	ENSG00000188690:127484672-127484759:source	-0.116573406523;0.388942383543;-0.16753277906	0.296717460741;0.992596003656;0.493197765089	0.197;0.580;0.223	0.028;0.959;0.028	t|1e0|2e1.1o2|2e2.1o1|2e3.1o1	False	True	True	3	4	1	chr10	-	127484757-127495982;127484757-127486634;127484757-127485359	127484672-127484759;127485359-127485430;127486634-127486714;127495719-127496056	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/22_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#UROS
RALGDS	ENSG00000160271	ENSG00000160271:135987429-135987539:source	2.24330232639e-06;0.26485370097;-0.171732851308;2.24330232639e-06;-0.00185916567537	6.87913802758e-09;0.761492790265;0.520500152339;6.87913802758e-09;0.000694040169692	0.025;0.318;0.550;0.025;0.125	0.025;0.625;0.289;0.025;0.078	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	0	chr9	-	135987539-136030565;135987539-136024350;135987539-136006339;135987539-136004526;135987539-135996359	135987429-135987539;135996359-135996563;136004526-136004788;136006339-136006504;136024350-136024721;136030565-136030699	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/15_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#RALGDS
RANBP10	ENSG00000141084	ENSG00000141084:67805937-67805989:target	-0.0493199771453;5.97808156465e-06;-0.083784255697;0.320926288959;5.97808156465e-06	0.098227450372;1.62202317314e-06;0.20010314877;0.911461958357;1.62202317314e-06	0.167;0.026;0.186;0.635;0.026	0.027;0.027;0.027;0.962;0.027	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	1	chr16	-	67804636-67805937;67797402-67805937;67793635-67805937;67778358-67805937;67771938-67805937	67771916-67771938;67778191-67778358;67793476-67793635;67797256-67797402;67804626-67804636;67805937-67805989	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/12_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#RANBP10
SETD5	ENSG00000168137	ENSG00000168137:9475529-9475634:source	-0.000111106490969;0.349258160798;-0.315013678062;1.31611659626e-05	2.68085657591e-06;0.847567389584;0.790946629349;8.20599802787e-07	0.035;0.335;0.630;0.025	0.027;0.718;0.266;0.027	s|1e0|2e1.2o2|2e2.1o2|2e2.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475729;9475634-9475961;9475634-9476018;9475634-9475635	9475529-9475634;9475635-9475676;9475677-9475865;9475961-9476169;9475961-9476169	;;;;	;;;;	(9475635, 9475676)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/18_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#SETD5
SETD5	ENSG00000168137	ENSG00000168137:9475961-9476169:target	0.349927921496;-0.000233503891329;-0.337924815436;1.18730272016e-05	0.862597461374;7.75716576789e-05;0.84921319745;5.56814598559e-07	0.315;0.060;0.620;0.025	0.693;0.052;0.251;0.026	t|1e1.2o2|1e2.1o1|2e1.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475961;9475865-9475961;9475634-9476018;9475960-9475961	9475529-9475634;9475529-9475634;9475677-9475865;9475866-9475960;9475961-9476169	;;;;	;;;;	(9475866, 9475960)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/18_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#SETD5
CBR4	ENSG00000145439	ENSG00000145439:169908741-169911479:source	-0.233404441356;0.233404441356	0.649391701312;0.649391701312	0.840;0.160	0.527;0.473	t|1e1.1o3|1e2.1o1	False	False	True	2	3	1	chr4	-	169911479-169923222;169911479-169919353	169908741-169911479;169919353-169919436;169922320-169923356	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/13_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#CBR4
INCENP	ENSG00000149503	ENSG00000149503:61912454-61912563:target	0.387916877873;-0.387916877873	0.999110919279;0.999110919279	0.588;0.412	0.966;0.034	t|1e1.1o1|1e2.1o2	False	False	True	2	3	0	chr11	+	61908516-61912454;61908983-61912454	61908385-61908516;61908972-61909217;61912454-61912563	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/13_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#INCENP
ZNF106	ENSG00000103994	ENSG00000103994:42731231-42732011:source	2.56707924656e-05;0.446789393926;-0.451403669961	1.16940697845e-06;0.996502774634;0.997824388045	0.025;0.501;0.493	0.028;0.937;0.053	t|1e1.1o1|1e2.1o2|2e2.1o2	True	True	True	3	3	1	chr15	-	42732011-42736400;42732011-42734271;42731750-42734271	42731231-42732011;42733939-42734612;42733939-42734612;42736400-42736460	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/4_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ZNF106
TTF2	ENSG00000116830	ENSG00000116830:117644002-117644371:source	-0.182981938574;-0.0097630922791;0.275820512451	0.546887341847;0.0115642133563;0.877239782376	0.212;0.230;0.558	0.029;0.140;0.839	s|1e1.1o2|1e1.2o2|2e0|3e0|4e0|i	True	True	False	2	2	1	chr1	+	117644184-117644816;117644184-117644889;117644371-117644372	117644002-117644371;117644372-117644815;117644816-117650075;117644816-117650075	;;;	;;;	(117644372, 117644815)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/7_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#TTF2
TTF2	ENSG00000116830	ENSG00000116830:117644816-117650075:target	-0.110829094879;-0.0133075153717;0.209627163514	0.0304577073444;0.0043614573212;0.731831741468	0.140;0.155;0.705	0.025;0.076;0.913	t|1e1.1o4|2e1.1o4|i	True	True	False	2	2	1	chr1	+	117644184-117644816;117644184-117644889;117644815-117644816	117644002-117644371;117644002-117644371;117644372-117644815;117644816-117650075	;;;	;;;	(117644372, 117644815)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/7_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#TTF2
PUM1	ENSG00000134644	ENSG00000134644:31438829-31439227:source	1.95089125387e-06;0.496700841174;0.000194512412748;-0.528798924815	9.33116122575e-08;0.998138201004;6.32157210864e-06;0.999655041395	0.026;0.388;0.026;0.600	0.026;0.873;0.040;0.085	t|1e0|2e1.1o2|2e2.2o3|2e2.3o3|3e2.2o3	True	True	True	4	3	0	chr1	-	31439125-31441201;31439125-31440014;31439125-31439946;31439044-31440014	31438829-31439227;31439946-31440157;31439946-31440157;31439946-31440157;31441144-31441339	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/10_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#PUM1
WDR90	ENSG00000161996	ENSG00000161996:712673-713064:source	-3.8030168452e-05;0.306096807549;-3.8030168452e-05;-0.266774213384	7.84499505791e-06;0.830090883495;7.84499505791e-06;0.72923597353	0.029;0.071;0.029;0.905	0.026;0.413;0.026;0.575	s|1e0|2e1.2o2|2e2.4o4|3e2.4o4|i	True	True	True	3	3	1	chr16	+	712844-713145;712844-715679;713064-715679;713064-713065	712673-713064;713065-713139;713140-713553;714988-715801;714988-715801	;;;;	;;;;	(713065, 713139)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/16_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#WDR90
RP11-705C15.2	ENSG00000256594	ENSG00000256594:9809517-9811008:target	0.000273373217283;0.2856526695;-0.303478240018	0.00604268715764;0.841718892183;0.918029379736	0.578;0.071;0.350	0.583;0.376;0.044	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0	chr12	+	9808575-9809517;9809245-9809517;9809293-9809517	9808469-9808575;9809164-9809293;9809164-9809293;9809517-9811008	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/26_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#RP11-705C15.2
C19orf12	ENSG00000131943	ENSG00000131943:30199161-30199547:source	-0.0399305697813;0.217359880633;-0.00281154123405	0.113821302585;0.681467405748;0.00305731166327	0.830;0.026;0.163	0.648;0.247;0.105	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1	False	True	True	3	4	1	chr19	-	30199330-30206032;30199330-30205814;30199330-30203686	30199161-30199547;30203686-30204092;30205814-30205963;30206032-30206364	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/9_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#C19orf12
MDM2	ENSG00000135679	ENSG00000135679:69202988-69203078:target	1.24094188675e-05;-0.397938481157;0.39307887761	2.93814973562e-07;0.992150784473;0.992456354598	0.026;0.961;0.034	0.027;0.573;0.418	t|1e1.1o2|1e1.2o2|1e2.1o1|2e0|3e0	True	True	True	3	3	1	chr12	+	69202260-69202988;69202271-69202988;69202866-69202988	69201956-69202271;69201956-69202271;69202797-69202866;69202988-69203078	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/10_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#MDM2
ALKBH2	ENSG00000189046	ENSG00000189046:109525996-109526317:source	0.219705840806;-0.219705840806	0.668846571872;0.668846571872	0.182;0.818	0.458;0.542	t|1e1.1o2|1e2.3o4	False	False	True	2	3	0	chr12	-	109526317-109530312;109526317-109527814	109525996-109526317;109527425-109528012;109530060-109530742	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/23_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ALKBH2
FBXL19	ENSG00000099364	ENSG00000099364:30941394-30941905:target	-0.000361372715359;-0.18294308963;0.245255944152;1.52210039493e-05	1.62566276781e-06;0.513875085237;0.66266469978;3.83198210284e-07	0.046;0.594;0.356;0.025	0.027;0.317;0.668;0.027	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3	True	False	True	4	3	1	chr16	+	30939284-30941394;30939820-30941394;30939949-30941394;30939951-30941394	30939066-30939284;30939788-30939951;30939788-30939951;30939788-30939951;30941394-30941905	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/3_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#FBXL19
SAMD9L	ENSG00000177409	ENSG00000177409:92774698-92774893:source	-3.76114790519e-05;-0.0152577702567;0.000265098544259;7.60836471484e-06;-0.210963188348;7.60836471484e-06;-3.58291163714e-05;0.403662998082	2.82759461965e-07;0.00467485424667;4.06553672994e-05;2.4634873596e-07;0.593315868604;2.4634873596e-07;2.79807306736e-07;0.940814423956	0.029;0.108;0.030;0.025;0.526;0.025;0.029;0.297	0.026;0.026;0.047;0.026;0.230;0.026;0.026;0.705	t|1e3.2o4|2e1.1o1|2e2.2o2|2e3.1o4|2e3.2o4|2e3.3o4|3e3.2o4|i	True	True	True	7	4	1	chr7	-	92774893-92775222;92774845-92777507;92774845-92776196;92774845-92775238;92774845-92775222;92774845-92775093;92774829-92775222;92774893-92774894	92774698-92774893;92774894-92774918;92774919-92775353;92774919-92775353;92774919-92775353;92774919-92775353;92774919-92775353;92776196-92776459;92777507-92777682	;;;;;;;;	;;;;;;;;	(92774894, 92774918)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/20_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#SAMD9L
NUMA1	ENSG00000137497	ENSG00000137497:71719484-71719891:target	0.000281375854974;3.09716529094e-08;-0.255131102269;0.220393844649	7.60131894346e-09;3.49197775757e-15;0.901583534013;0.770642596473	0.025;0.025;0.919;0.068	0.042;0.025;0.669;0.285	s|1e1.1o1|1e2.2o3|1e2.3o3|2e0|i	True	True	True	3	3	1	chr11	-	71719191-71719734;71718496-71719734;71718481-71719734;71719483-71719484	71718235-71718962;71718235-71718962;71719138-71719191;71719192-71719483;71719484-71719891	;;;;	;;;;	(71719192, 71719483)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/11_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#NUMA1
GOLGA2	ENSG00000167110	ENSG00000167110:131030699-131030803:source	0.395680388383;-0.395680388383	0.936915623992;0.936915623992	0.472;0.528	0.876;0.124	t|1e1.1o2|1e2.1o1	False	False	True	2	3	0	chr9	-	131030803-131036129;131030803-131035064	131030699-131030803;131035064-131035144;131035919-131036251	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/18_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#GOLGA2
MRI1	ENSG00000037757	ENSG00000037757:13879173-13879371:target	-0.195930600638;0.257451408085;-0.0010752772613	0.602360151515;0.849695022024;0.00649058048523	0.298;0.028;0.690	0.045;0.287;0.670	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0	chr19	+	13875923-13879173;13876879-13879173;13876943-13879173	13875685-13875923;13876768-13876943;13876768-13876943;13879173-13879371	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/1_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#MRI1
