#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_p_A E(PSI)	Th17_p_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
PKD1	ENSG00000008710	ENSG00000008710:2147853-2148192:target	0.224312400476;-0.224312400476	0.684446691305;0.684446691305	0.663;0.337	0.941;0.059	s|1e1.1o2|1e1.2o2|2e0|3e0	True	True	False	2	2	0	chr16	-	2147781-2147869;2147778-2147869	2147729-2147781;2147729-2147781;2147853-2148192	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/0_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PKD1
SH3KBP1	ENSG00000147010	ENSG00000147010:19764436-19764559:source	-2.33070969918e-05;-0.193629434345;2.33392489778e-09;2.33392489778e-09;0.216926745853;-9.97771903928e-05;2.33392489778e-09;2.31945765831e-06	2.09669894848e-12;0.643287653377;9.3414330816e-17;9.3414330816e-17;0.722899019817;1.93880281294e-07;9.3414330816e-17;7.05075843984e-14	0.027;0.484;0.025;0.025;0.416;0.074;0.025;0.025	0.025;0.266;0.025;0.025;0.650;0.070;0.025;0.025	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|2e0	True	True	True	8	7	1	chrX	-	19764559-19854269;19764559-19854243;19764559-19825485;19764559-19818874;19764559-19817752;19764559-19766014;19764559-19765782;19764559-19765433	19764436-19764559;19765433-19765821;19765433-19765821;19766014-19766024;19817752-19817869;19818874-19818884;19825485-19825495;19854243-19854400;19854243-19854400	;;;;;;;;	;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/17_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SH3KBP1
SP140	ENSG00000079263	ENSG00000079263:231109703-231109795:source	-0.000673310311235;-0.00152490526971;0.000111674304279;-0.266845165022;0.286693056049;3.50764347623e-06	2.00585208107e-05;0.0011826708035;1.12745204846e-06;0.93761513357;0.838533613532;6.59655931884e-09	0.083;0.215;0.026;0.296;0.389;0.025	0.061;0.180;0.034;0.034;0.697;0.025	s|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1	True	True	True	6	4	1	chr2	+	231109786-231110578;231109786-231112631;231109786-231113600;231109795-231110578;231109795-231112631;231109795-231113600	231109703-231109795;231110578-231110655;231110578-231110655;231112631-231112780;231112631-231112780;231113600-231113683;231113600-231113683	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/3_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SP140
RABGAP1L	ENSG00000152061	ENSG00000152061:174780970-174781098:target	-0.583008122643;0.583008122643	0.99997057276;0.99997057276	0.945;0.055	0.377;0.623	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr1	+	174721492-174780970;174769638-174780970	174721451-174721492;174769070-174769638;174780970-174781098	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/18_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#RABGAP1L
CNOT2	ENSG00000111596	ENSG00000111596:70712804-70713144:source	0.275023903124;-0.275023903124	0.92771027721;0.92771027721	0.705;0.295	0.974;0.026	s|1e0|2e0|3e0|4e1.1o1|4e2.2o3	True	False	True	2	3	0	chr12	+	70713144-70723203;70713144-70729218	70712804-70713144;70723203-70723413;70728215-70729613	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/9_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CNOT2
BDP1	ENSG00000145734	ENSG00000145734:70858101-70858347:source	0.366864171266;-0.366864171266	0.886870867222;0.886870867222	0.168;0.832	0.556;0.444	s|1e0|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr5	+	70858347-70858602;70858347-70860581	70858101-70858347;70858602-70858722;70860581-70863649	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/17_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#BDP1
BCOR	ENSG00000183337	ENSG00000183337:39923589-39923852:target	-0.213651337538;0.213651337538	0.724504351525;0.724504351525	0.261;0.739	0.043;0.957	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chrX	-	39923205-39923589;39923103-39923589	39922861-39923205;39922861-39923205;39923589-39923852	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/27_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#BCOR
DPAGT1	ENSG00000172269	ENSG00000172269:118968784-118969197:target	0.235795775513;-0.0453219323403;1.02479159661e-05;-0.0133750339883;-0.00160870847313	0.808346766737;0.0192518080266;2.22822639963e-09;0.00135099541491;1.13251218326e-05	0.693;0.126;0.026;0.099;0.066	0.930;0.027;0.027;0.027;0.027	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e0|i	True	False	True	4	5	1	chr11	-	118968753-118969113;118968635-118969113;118968261-118969113;118968007-118969113;118968783-118968784	118967852-118968007;118968047-118968261;118968565-118968635;118968670-118968753;118968754-118968783;118968784-118969197	;;;;;	;;;;;	(118968754, 118968783)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/25_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#DPAGT1
TBC1D1	ENSG00000065882	ENSG00000065882:38016130-38016594:target	-0.323191200404;0.431459769374;-0.00595275643155	0.945445622735;0.991365600935;0.00422868482234	0.352;0.540;0.109	0.030;0.962;0.030	t|1e1.2o2|1e2.1o1|1e3.1o1|2e0	False	True	True	3	4	1	chr4	+	37904133-38016130;37979150-38016130;37987950-38016130	37903624-37904133;37978931-37979150;37987940-37987950;38016130-38016594	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/2_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#TBC1D1
NAGPA	ENSG00000103174	ENSG00000103174:5077981-5078186:source	0.000361215961105;-0.359881486899;0.315858441	3.88781520357e-05;0.976477460251;0.944918742331	0.027;0.969;0.027	0.049;0.616;0.337	t|1e1.2o3|1e2.2o2|1e3.1o1	False	False	True	3	4	0	chr16	-	5078186-5081746;5078186-5078881;5078186-5078298	5077981-5078186;5078298-5078615;5078881-5080159;5081029-5081885	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/7_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#NAGPA
TTC14	ENSG00000163728	ENSG00000163728:180325951-180326059:source	0.261170440139;-0.261170440139	0.774783421866;0.774783421866	0.105;0.895	0.398;0.602	s|1e1.1o2|i	False	False	False	1	2	1	chr3	+	180326059-180326489;180326059-180326060	180325951-180326059;180326060-180326488;180326489-180326598	;;	;;	(180326060, 180326488)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/21_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#TTC14
AC018766.4	ENSG00000267896	ENSG00000267896:50363499-50363771:target	0.428985573965;-0.428985573965	0.982050281191;0.982050281191	0.413;0.587	0.835;0.165	s|1e1.1o1|i	False	False	False	1	2	1	chr19	-	50363413-50363499;50363498-50363499	50363139-50363413;50363414-50363498;50363499-50363771	;;	;;	(50363414, 50363498)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/33_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#AC018766.4
LGALS8	ENSG00000116977	ENSG00000116977:236705631-236706156:source	-0.00722975333833;0.234694998548;-0.0621764887944	0.0194844273038;0.797271731152;0.183899640521	0.589;0.035;0.379	0.525;0.274;0.201	s|1e1.1o1|1e2.2o2|2e0|3e0|4e0|i	True	False	True	2	3	1	chr1	+	236706087-236706215;236706087-236706860;236706156-236706157	236705631-236706156;236706157-236706214;236706215-236706340;236706596-236706948	;;;	;;;	(236706157, 236706214)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/10_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#LGALS8
PRKRIP1	ENSG00000128563	ENSG00000128563:102004319-102004858:source	0.423918558444;-0.097423329014;-0.0895683343954	0.998731727508;0.287551377614;0.219763179153	0.028;0.797;0.191	0.442;0.551;0.026	s|1e1.1o3|1e1.2o3|1e2.1o1	False	True	True	3	3	0	chr7	+	102004858-102006402;102004858-102006421;102004858-102016270	102004319-102004858;102006402-102006523;102006402-102006523;102016270-102016396	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/12_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PRKRIP1
CHKB	ENSG00000100288	ENSG00000100288:51019849-51019982:source	-0.206053399112;0.206053399112	0.679911857017;0.679911857017	0.718;0.282	0.486;0.514	t|1e1.1o2|i	False	False	False	1	2	1	chr22	-	51019982-51020178;51019982-51019983	51019849-51019982;51019983-51020035;51020036-51020291	;;	;;	(51019983, 51020035)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/5_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CHKB
TYW5	ENSG00000162971	ENSG00000162971:200806781-200808557:source	-5.59206302117e-05;-0.391732109354;0.40535894455	8.55919406656e-06;0.955990346345;0.973169635005	0.030;0.918;0.068	0.025;0.524;0.471	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0	chr2	-	200808557-200820116;200808557-200813060;200808557-200813041	200806781-200808557;200813041-200813195;200813041-200813195;200820116-200820459	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/21_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#TYW5
TYW5	ENSG00000162971	ENSG00000162971:200813041-200813195:target	-0.421286874037;0.00184602510342;0.347965331331	0.976577646578;8.71819294902e-05;0.927899874001	0.916;0.030;0.070	0.499;0.074;0.426	s|1e1.1o1|1e2.1o1|2e1.1o1	True	True	True	3	3	1	chr2	-	200808557-200813060;200804856-200813060;200808557-200813041	200804812-200804856;200806781-200808557;200806781-200808557;200813041-200813195	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/21_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#TYW5
POM121	ENSG00000196313	ENSG00000196313:72361472-72361649:source	-0.00127515551159;-0.0901499483625;-0.0348104039451;0.36048267419	0.000175616262264;0.21298376358;0.0757085588799;0.966501591689	0.073;0.190;0.196;0.541	0.031;0.031;0.053;0.897	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	1	chr7	+	72361649-72371568;72361649-72383615;72361649-72384302;72361649-72396800	72361472-72361649;72371568-72371665;72383615-72383689;72384302-72384365;72396800-72397015	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/28_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#POM121
STRIP2	ENSG00000128578	ENSG00000128578:129096280-129096853:source	-0.00862704272583;-1.70439665205e-05;-0.118869014866;0.00249099950113;0.264842805154	0.00864841311032;5.63345547037e-07;0.36732739424;7.8049806799e-07;0.830551323072	0.117;0.027;0.770;0.027;0.100	0.025;0.025;0.542;0.066;0.385	s|1e1.1o4|1e1.2o4|1e1.3o4|2e1.1o4|i	True	True	False	4	2	1	chr7	+	129096483-129097664;129096483-129097690;129096483-129098056;129096853-129097664;129096853-129096854	129096280-129096853;129096854-129097663;129097664-129098291;129097664-129098291;129097664-129098291;129097664-129098291	;;;;;	;;;;;	(129096854, 129097663)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/12_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#STRIP2
STRIP2	ENSG00000128578	ENSG00000128578:129097664-129098291:target	-0.00931170482778;0.00290795159193;-1.931904817e-05;-0.191244947731;0.326859061516	0.0102444109791;1.26248480824e-06;8.40062871142e-07;0.592546115406;0.971512781963	0.121;0.027;0.027;0.816;0.051	0.025;0.068;0.025;0.552;0.374	t|1e1.1o2|1e1.2o2|2e1.1o2|3e1.1o2|4e0|i	True	True	False	4	2	1	chr7	+	129096483-129097664;129096853-129097664;129096483-129097690;129096483-129098056;129097663-129097664	129096280-129096853;129096280-129096853;129096280-129096853;129096280-129096853;129096854-129097663;129097664-129098291	;;;;;	;;;;;	(129096854, 129097663)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/12_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#STRIP2
ZNF106	ENSG00000103994	ENSG00000103994:42731231-42732011:source	0.000207963881218;-0.48809244358;0.458626074652	9.31761308219e-06;0.997666554684;0.996063412434	0.028;0.938;0.053	0.041;0.461;0.501	t|1e1.1o1|1e2.1o2|2e2.1o2	True	True	True	3	3	1	chr15	-	42732011-42736400;42732011-42734271;42731750-42734271	42731231-42732011;42733939-42734612;42733939-42734612;42736400-42736460	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/7_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ZNF106
C4orf29	ENSG00000164074	ENSG00000164074:128949630-128950008:target	-0.215048239063;0.215048239063	0.690384762161;0.690384762161	0.263;0.737	0.029;0.971	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr4	+	128941324-128949630;128942393-128949630	128941235-128941324;128942292-128942393;128949630-128950008	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/22_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#C4orf29
FLI1	ENSG00000151702	ENSG00000151702:128651853-128651918:source	-0.202279233514;0.202279233514	0.665966460744;0.665966460744	0.972;0.028	0.772;0.228	s|1e1.2o2|1e2.1o1	False	False	True	2	3	1	chr11	+	128651918-128675261;128651918-128679052	128651853-128651918;128673771-128675326;128679052-128679099	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/18_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FLI1
PIEZO1	ENSG00000103335	ENSG00000103335:88803967-88804054:source	-0.215547433195;0.215547433195	0.766011453883;0.766011453883	0.972;0.028	0.756;0.244	t|1e1.1o1|i	False	False	False	1	2	1	chr16	-	88804054-88804136;88804054-88804055	88803967-88804054;88804055-88804135;88804136-88804222	;;	;;	(88804055, 88804135)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/7_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PIEZO1
WDR90	ENSG00000161996	ENSG00000161996:712673-713064:source	1.5487026861e-06;-0.289914411908;1.5487026861e-06;0.283010749875	1.22812906583e-07;0.837230569099;1.22812906583e-07;0.814389911938	0.026;0.410;0.026;0.578	0.026;0.097;0.026;0.890	s|1e0|2e1.2o2|2e2.4o4|3e2.4o4|i	True	True	True	3	3	1	chr16	+	712844-713145;712844-715679;713064-715679;713064-713065	712673-713064;713065-713139;713140-713553;714988-715801;714988-715801	;;;;	;;;;	(713065, 713139)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/21_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#WDR90
ADGRG5	ENSG00000159618	ENSG00000159618:57601768-57602036:source	0.337755590898;-0.337755590898	0.952229514115;0.952229514115	0.622;0.378	0.962;0.038	s|1e1.1o1|1e2.1o2	False	False	True	2	3	0	chr16	+	57602036-57604330;57602036-57608727	57601768-57602036;57604330-57604447;57608727-57609004	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/20_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ADGRG5
SP110	ENSG00000135899	ENSG00000135899:231042082-231042396:target	-0.00447658221265;0.220868499333;-0.105812799532	0.00475071900007;0.762426373388;0.255338781212	0.694;0.056;0.250	0.631;0.273;0.096	s|1e1.1o1|1e2.2o2|2e0|i	True	False	True	2	3	1	chr2	-	231041440-231042254;231037675-231042254;231042081-231042082	231037560-231038230;231041189-231041440;231041441-231042081;231042082-231042396	;;;	;;;	(231041441, 231042081)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/13_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SP110
CBWD2	ENSG00000136682	ENSG00000136682:114222706-114222750:source	-0.0732889759287;0.287873552779;-0.0533488191474	0.197870985497;0.831329863166;0.138558639377	0.223;0.555;0.222	0.062;0.862;0.075	s|1e1.1o1|1e2.2o2|1e3.2o2	False	False	True	3	4	1	chr2	+	114222750-114224060;114222750-114228610;114222750-114239754	114222706-114222750;114224060-114224143;114226162-114228666;114239095-114239805	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/13_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CBWD2
TAZ	ENSG00000102125	ENSG00000102125:153640423-153641020:target	-0.267693123241;0.20280523113;0.00168819407491	0.920406850439;0.65351969056;5.51333906037e-05	0.962;0.025;0.035	0.700;0.223;0.077	t|1e1.1o2|1e1.2o2|2e0|3e0|i	True	True	False	2	2	1	chrX	+	153640289-153640423;153640343-153640423;153640422-153640423	153639854-153640343;153639854-153640343;153640344-153640422;153640423-153641020	;;;	;;;	(153640344, 153640422)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/6_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#TAZ
KDM6A	ENSG00000147050	ENSG00000147050:44922667-44923062:target	-0.231125197421;0.231125197421	0.615730864649;0.615730864649	0.812;0.188	0.489;0.511	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chrX	+	44920664-44922667;44921993-44922667	44920569-44920664;44921892-44921993;44922667-44923062	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/17_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#KDM6A
FCHSD1	ENSG00000197948	ENSG00000197948:141027451-141027663:target	-0.30435944049;0.30435944049	0.892720225205;0.892720225205	0.947;0.053	0.633;0.367	s|1e1.3o4|2e0|i	True	False	False	1	2	1	chr5	-	141027087-141027535;141027450-141027451	141026965-141027398;141027399-141027450;141027451-141027663	;;	;;	(141027399, 141027450)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/30_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FCHSD1
MBOAT1	ENSG00000172197	ENSG00000172197:20124639-20124831:source	0.285711050816;2.89242223631e-05;-0.299211601993	0.782470218444;8.92053764136e-07;0.812238284148	0.423;0.025;0.572	0.752;0.028;0.237	t|1e1.1o1|2e2.1o1|i	False	True	True	2	3	1	chr6	-	20124831-20126748;20124765-20124903;20124831-20124832	20124639-20124831;20124832-20124902;20124903-20124913;20126748-20126931	;;;	;;;	(20124832, 20124902)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/25_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#MBOAT1
