#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th17_p_A E(PSI)	Th17_p_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
PAN2	ENSG00000135473	ENSG00000135473:56713062-56713273:target	0.329171503375;3.29420858863e-05;3.29420858863e-05;-0.347048574212	0.871308696763;1.7981878588e-06;1.7981878588e-06;0.907888311294	0.521;0.026;0.026;0.468	0.872;0.027;0.027;0.109	s|1e0|2e1.1o1|2e2.2o2|3e1.1o1|i	True	True	True	3	3	1	chr12	-	56712965-56713092;56712218-56713092;56712965-56713062;56713061-56713062	56712021-56712358;56712872-56712965;56712872-56712965;56712966-56713061;56713062-56713273	;;;;	;;;;	(56712966, 56713061)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/27_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#PAN2
RBM39	ENSG00000131051	ENSG00000131051:34328021-34328519:source	-0.371741359655;0.371741359655	0.983610051642;0.983610051642	0.767;0.233	0.403;0.597	t|1e0|1e1.1o1|i	False	False	False	1	2	1	chr20	-	34328519-34328746;34328519-34328520	34328021-34328519;34328520-34328745;34328746-34328809	;;	;;	(34328520, 34328745)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/25_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RBM39
RBM39	ENSG00000131051	ENSG00000131051:34296726-34297231:target	7.1847047829e-08;-0.217801443279;0.214351375899	2.26301162732e-18;0.773744941363;0.754345191455	0.025;0.918;0.079	0.025;0.705;0.288	s|1e1.1o2|1e2.2o2|2e0|3e0|4e0|i	True	False	True	2	3	1	chr20	-	34295914-34297146;34295123-34297146;34296725-34296726	34295042-34295283;34295862-34295914;34295915-34296725;34296726-34297231	;;;	;;;	(34295915, 34296725)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/25_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RBM39
RBM39	ENSG00000131051	ENSG00000131051:34328021-34328519:target	0.000228892892418;-0.217375530758;0.200431451553	2.98555031583e-10;0.74994716142;0.671997801141	0.033;0.352;0.614	0.039;0.134;0.823	s|1e1.1o1|1e2.5o5|2e0|3e0|i	True	False	True	2	3	1	chr20	-	34327469-34328447;34326939-34328447;34328020-34328021	34326412-34327205;34327315-34327469;34327470-34328020;34328021-34328519	;;;	;;;	(34327470, 34328020)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/25_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RBM39
BAHD1	ENSG00000140320	ENSG00000140320:40750650-40752095:source	0.214964349071;-0.214964349071	0.629757731339;0.629757731339	0.618;0.382	0.907;0.093	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr15	+	40752095-40754111;40752095-40754114	40750650-40752095;40754111-40754493;40754111-40754493	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/31_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#BAHD1
FBXL3	ENSG00000005812	ENSG00000005812:77592735-77592879:source	-0.309957804394;0.000425685673598;0.240145884806	0.91403768861;2.153546693e-05;0.737367208107	0.398;0.025;0.597	0.083;0.043;0.876	t|1e0|2e1.2o2|2e2.1o2|2e2.2o2|3e0	True	True	True	3	3	1	chr13	-	77592857-77600962;77592857-77595792;77592857-77595648	77592735-77592879;77595648-77595996;77595648-77595996;77600962-77601330	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/0_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#FBXL3
FBXL3	ENSG00000005812	ENSG00000005812:77600962-77601330:target	1.04744334119e-05;0.248937079142;-0.259843979717;1.04744334119e-05	3.01263735783e-08;0.813262405545;0.850490170203;3.01263735783e-08	0.025;0.658;0.336;0.025	0.026;0.921;0.068;0.026	s|1e1.1o1|2e1.1o1|2e2.2o3|2e3.2o2	True	True	True	4	4	1	chr13	-	77595996-77601147;77595996-77600962;77592857-77600962;77589715-77600962	77589300-77589716;77592735-77592879;77595648-77595996;77595648-77595996;77600962-77601330	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/0_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#FBXL3
SLC19A1	ENSG00000173638	ENSG00000173638:46951705-46952062:source	-0.617527390236;0.610073191789;4.59659823666e-05	0.999982313398;0.999983250781;2.90875750919e-06	0.959;0.036;0.026	0.357;0.631;0.028	t|1e1.2o3|1e1.3o3|1e2.1o1	True	False	True	3	3	1	chr21	-	46952062-46957685;46952062-46957681;46952062-46954452	46951705-46952062;46954452-46954620;46957681-46957922;46957681-46957922	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/48_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SLC19A1
SLC19A1	ENSG00000173638	ENSG00000173638:46957681-46957922:target	4.5527060268e-05;-0.615486272931;0.608079973464	2.93477050382e-06;0.999974660356;0.999975528391	0.026;0.959;0.036	0.028;0.359;0.629	s|1e0|2e1.1o1|2e2.1o1|3e2.1o1	True	True	True	3	3	1	chr21	-	46956442-46957685;46952062-46957685;46952062-46957681	46951705-46952062;46951705-46952062;46955898-46956442;46957681-46957922	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/48_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SLC19A1
BECN1	ENSG00000126581	ENSG00000126581:40966186-40966611:target	-0.247497009986;9.93506151091e-06;0.244014383958	0.764876277948;9.07471414514e-09;0.757008478079	0.864;0.025;0.133	0.595;0.026;0.399	s|1e1.1o2|1e2.2o2|1e3.1o1|2e0	True	False	True	3	4	0	chr17	-	40966026-40966542;40963815-40966542;40962946-40966542	40962152-40962946;40963673-40964104;40965921-40966026;40966186-40966611	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/24_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#BECN1
HAUS2	ENSG00000137814	ENSG00000137814:42841008-42841163:source	0.203419284339;-0.203419284339	0.659701794737;0.659701794737	0.728;0.272	0.966;0.034	s|1e1.1o1|1e2.1o2	False	False	True	2	3	0	chr15	+	42841163-42850396;42841163-42851537	42841008-42841163;42850396-42850488;42851537-42851606	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/29_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HAUS2
PARP6	ENSG00000137817	ENSG00000137817:72552819-72553029:target	0.241578993539;0.000115657063917;-0.267396894511	0.610537077797;3.29280165008e-05;0.666955238169	0.436;0.026;0.557	0.781;0.033;0.201	s|1e0|2e1.1o2|3e1.2o2|4e1.1o2	True	True	False	3	2	0	chr15	-	72552002-72552879;72551997-72552875;72552002-72552819	72551949-72552002;72551949-72552002;72551949-72552002;72552819-72553029	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/29_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#PARP6
TAZ	ENSG00000102125	ENSG00000102125:153646814-153647962:source	-0.0163209018205;0.231213826041;-0.0354917179937	0.0387105485692;0.679852736401;0.0987323225007	0.357;0.225;0.419	0.233;0.512;0.255	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chrX	+	153647962-153648044;153647962-153648371;153647962-153647963	153646814-153647962;153647963-153648043;153648044-153648291;153648330-153648480	;;;	;;;	(153647963, 153648043)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/11_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#TAZ
PLEC	ENSG00000178209	ENSG00000178209:144989321-144996563:source	0.345413831203;-0.345413831202	0.974624051203;0.974624051203	0.038;0.962	0.377;0.623	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr8	-	144996563-145000952;144996563-144996672	144989321-144996563;144996672-145000052;145000952-145001050	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/50_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#PLEC
TINF2	ENSG00000092330	ENSG00000092330:24709469-24709536:target	0.388950776413;-0.388950776413	0.991659776043;0.991659776043	0.516;0.484	0.896;0.104	s|1e1.2o2|i	False	False	False	1	2	1	chr14	-	24709361-24709469;24709468-24709469	24709270-24709448;24709449-24709468;24709469-24709536	;;	;;	(24709449, 24709468)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/9_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#TINF2
SRR	ENSG00000167720	ENSG00000167720:2226949-2228554:target	-0.375804387325;0.375804387325	0.986078650797;0.986078650797	0.458;0.542	0.091;0.909	t|1e1.3o3|i	False	False	False	1	2	1	chr17	+	2226639-2226949;2226948-2226949	2226430-2226639;2226640-2226948;2226949-2228554	;;	;;	(2226640, 2226948)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/46_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SRR
ZBTB17	ENSG00000116809	ENSG00000116809:16271192-16271334:target	-0.268182812353;0.268182812353	0.861310848433;0.861310848433	0.964;0.036	0.693;0.307	s|1e1.1o2|i	False	False	False	1	2	1	chr1	-	16271095-16271192;16271191-16271192	16270912-16271095;16271096-16271191;16271192-16271334	;;	;;	(16271096, 16271191)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/18_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ZBTB17
APAF1	ENSG00000120868	ENSG00000120868:99093186-99093347:source	-0.296764043973;0.296764043973	0.787614979524;0.787614979524	0.665;0.335	0.325;0.675	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	+	99093347-99097149;99093347-99100263	99093186-99093347;99097149-99097277;99100263-99100388	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/20_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#APAF1
HELLS	ENSG00000119969	ENSG00000119969:96322569-96322633:target	-0.394070990168;0.394070990168	0.988802568121;0.988802568121	0.968;0.032	0.581;0.419	t|1e1.1o1|i	False	False	False	1	2	1	chr10	+	96322484-96322569;96322568-96322569	96322446-96322484;96322485-96322568;96322569-96322633	;;	;;	(96322485, 96322568)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/19_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HELLS
HELLS	ENSG00000119969	ENSG00000119969:96306134-96306255:target	0.246439303961;-0.246439303961	0.754428206406;0.754428206406	0.150;0.850	0.432;0.568	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr10	+	96305664-96306134;96305709-96306134	96305547-96305664;96305679-96305709;96306134-96306255	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/19_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HELLS
HIRIP3	ENSG00000149929	ENSG00000149929:30004961-30005129:source	0.260267058079;2.41380677827e-05;-0.270250559202	0.763667471743;1.44583537795e-07;0.788358119709	0.441;0.025;0.556	0.736;0.026;0.256	t|1e1.1o1|1e2.3o4|1e2.4o4	True	False	True	3	3	0	chr16	-	30005129-30006424;30005129-30005969;30005129-30005227	30004961-30005129;30005227-30006164;30005227-30006164;30006424-30006538	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/37_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HIRIP3
RP11-73M18.2	ENSG00000256500	ENSG00000256500:104151975-104152261:target	-0.270258331948;0.270258331948	0.805619505381;0.805619505381	0.670;0.330	0.377;0.623	t|1e1.1o1|i	False	False	False	1	2	1	chr14	+	104151373-104151975;104151974-104151975	104151323-104151373;104151374-104151974;104151975-104152261	;;	;;	(104151374, 104151974)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/62_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RP11-73M18.2
DSN1	ENSG00000149636	ENSG00000149636:35401797-35402221:target	0.437555381855;-0.318114181172;-1.85276503019e-06;-1.85276503019e-06;-0.00946899702018;-1.85276503019e-06	0.981941285654;0.97266661592;3.35699157608e-08;3.35699157608e-08;0.0191435397571;3.35699157608e-08	0.367;0.336;0.025;0.025;0.285;0.025	0.798;0.025;0.025;0.025;0.188;0.025	s|1e1.1o1|1e2.1o1|1e3.1o3|2e1.1o1|3e1.1o1|3e4.1o1	True	True	True	6	5	0	chr20	-	35399876-35402065;35399596-35402065;35399427-35402065;35399876-35401884;35399876-35401797;35396445-35401797	35396372-35396445;35399276-35399427;35399518-35399596;35399828-35399876;35399828-35399876;35399828-35399876;35401797-35402221	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/37_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#DSN1
DSN1	ENSG00000149636	ENSG00000149636:35399518-35399596:source	-0.29554062337;0.29554062337	0.925045426333;0.925045426333	0.327;0.673	0.032;0.968	t|1e1.1o3|1e2.1o1	False	False	True	2	3	0	chr20	-	35399596-35402065;35399596-35399828	35399518-35399596;35399828-35399876;35401797-35402221	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/37_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#DSN1
CENPO	ENSG00000138092	ENSG00000138092:25039515-25039686:target	-0.258634890065;-4.99619298736e-05;-8.3734245882e-05;0.282068221288	0.807623982472;2.84661864359e-07;2.75826895031e-07;0.88727099333	0.846;0.032;0.032;0.101	0.569;0.029;0.028;0.387	t|1e1.1o2|2e1.1o2|3e1.1o2|i	True	True	False	3	2	1	chr2	+	25038625-25039515;25038625-25039600;25038625-25039628;25039514-25039515	25038366-25039440;25038366-25039440;25038366-25039440;25039441-25039514;25039515-25039686	;;;;	;;;;	(25039441, 25039514)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/30_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#CENPO
TBC1D10C	ENSG00000175463	ENSG00000175463:67173604-67174209:target	-1.2565264833e-05;3.92016202589e-06;-0.203428454816;0.218846703347	5.03600023047e-08;3.46462852372e-10;0.66121215511;0.715158996902	0.030;0.025;0.770;0.197	0.030;0.025;0.536;0.436	t|1e1.1o2|2e1.1o2|3e1.1o2|i	True	True	False	3	2	1	chr11	+	67173488-67173604;67173488-67173612;67173488-67174098;67173603-67173604	67173374-67173559;67173374-67173559;67173374-67173559;67173560-67173603;67173604-67174209	;;;;	;;;;	(67173560, 67173603)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/49_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#TBC1D10C
ENSG00000108296	ENSG00000108296	ENSG00000108296:36965955-36966061:source	0.457049730534;-0.457049730534	0.998367648161;0.998367648161	0.515;0.485	0.961;0.039	t|1e0|2e1.1o1|2e2.2o2	False	True	True	2	3	0	chr17	-	36966018-36966721;36966018-36966529	36965955-36966061;36966529-36966653;36966721-36966848	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/14_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ENSG00000108296
SMC4	ENSG00000113810	ENSG00000113810:160119703-160119711:target	0.000556536416237;-0.434814794792;0.392188201656	3.18834535152e-07;0.999514313412;0.997362627137	0.025;0.890;0.107	0.044;0.466;0.489	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr3	+	160117537-160119703;160118753-160119703;160119702-160119703	160117426-160117537;160118270-160118753;160118754-160119702;160119703-160119711	;;;	;;;	(160118754, 160119702)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/17_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SMC4
GUK1	ENSG00000143774	ENSG00000143774:228327929-228328064:source	0.322150907836;1.15704377857e-05;1.15704377857e-05;9.64352687077e-06;-0.323848445706	0.92291458516;4.52314756883e-08;4.52314756883e-08;4.52344340811e-08;0.922094393675	0.155;0.025;0.025;0.025;0.833	0.477;0.026;0.026;0.026;0.508	s|1e1.2o5|1e2.2o2|1e3.3o8|1e3.4o8|1e3.6o8	False	True	True	5	4	0	chr1	+	228328064-228328825;228328064-228329334;228328064-228333172;228328064-228333193;228328064-228333212	228327929-228328064;228328824-228329208;228329327-228329534;228332598-228333463;228332598-228333463;228332598-228333463	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/35_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#GUK1
C1GALT1	ENSG00000106392	ENSG00000106392:7273889-7274928:target	1.38534734304e-05;0.261671441649;-0.000597045225202;1.38534734304e-05;-0.0968064204109;-0.00886776032287	2.57651358132e-07;0.760298068178;3.18934487168e-06;2.57651358132e-07;0.273094314781;0.0115837493036	0.025;0.544;0.046;0.025;0.219;0.185	0.026;0.848;0.026;0.026;0.044;0.096	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o2|2e5.2o2|3e0	True	True	True	6	6	1	chr7	+	7197057-7273934;7222451-7273934;7223225-7273934;7225108-7273934;7254865-7273934;7254870-7273934	7196933-7197057;7222178-7222451;7223215-7223225;7225098-7225108;7254673-7254870;7254673-7254870;7273889-7274928	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/13_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#C1GALT1
FAM65A	ENSG00000039523	ENSG00000039523:67574203-67574266:target	-0.208114498288;0.208114498288	0.618387592437;0.618387592437	0.974;0.026	0.744;0.256	t|1e1.2o2|2e0|i	False	True	False	1	2	1	chr16	+	67574108-67574203;67574202-67574203	67573956-67574108;67574109-67574202;67574203-67574266	;;	;;	(67574109, 67574202)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/2_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#FAM65A
MPPE1	ENSG00000154889	ENSG00000154889:11882621-11884626:source	-0.27855737346;0.27855737346	0.829112484719;0.829112484719	0.579;0.421	0.281;0.719	t|1e1.2o2|1e2.3o4	False	False	True	2	3	0	chr18	-	11884626-11885675;11884626-11884878	11882621-11884626;11884876-11885120;11885675-11885911	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/38_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#MPPE1
IRF1	ENSG00000125347	ENSG00000125347:131825084-131825337:target	8.95908406386e-07;-0.279409273078;-4.8659591702e-07;0.285772630855	2.00056319523e-12;0.943090842433;2.00143575632e-12;0.960572911256	0.025;0.951;0.025;0.037	0.025;0.679;0.025;0.315	s|1e1.1o2|1e1.2o2|1e2.1o1|i	False	True	True	3	3	1	chr5	-	131823744-131825084;131823717-131825084;131822822-131825084;131825083-131825084	131822646-131822822;131823618-131823744;131823618-131823744;131824725-131825083;131825084-131825337	;;;;	;;;;	(131824725, 131825083)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/23_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#IRF1
IRF1	ENSG00000125347	ENSG00000125347:131823618-131823744:source	2.18477659374e-06;-0.252812066546;0.249037047035	1.55380831599e-11;0.91125284602;0.901701245244	0.025;0.972;0.027	0.025;0.726;0.270	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr5	-	131823744-131825084;131823717-131825084;131823744-131823745	131823618-131823744;131823745-131824362;131825084-131825337;131825084-131825337	;;;	;;;	(131823745, 131824362)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/23_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#IRF1
STAT6	ENSG00000166888	ENSG00000166888:57504893-57505216:target	0.261481293101;-0.242957761145;-7.56190843974e-06;0.00301023443353;-0.00124195551882	0.817534581582;0.743345391665;7.70866923486e-09;0.000326658347534;8.57755730619e-07	0.130;0.784;0.026;0.026;0.054	0.405;0.509;0.025;0.077;0.025	s|1e1.4o4|1e2.1o2|1e3.1o1|1e4.1o1|2e2.1o2	True	True	True	5	5	0	chr12	-	57503893-57504912;57502082-57504912;57501526-57504912;57501097-57504912;57502082-57504893	57501014-57501097;57501388-57501526;57501946-57502082;57501946-57502082;57503724-57504123;57504893-57505216	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/45_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#STAT6
HNRNPA3	ENSG00000170144	ENSG00000170144:178081404-178081499:target	-0.375255229927;0.375255229927	0.991733027507;0.991733027507	0.933;0.067	0.567;0.433	t|1e1.1o1|i	False	False	False	1	2	1	chr2	+	178081320-178081404;178081403-178081404	178081231-178081320;178081321-178081403;178081404-178081499	;;	;;	(178081321, 178081403)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/47_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HNRNPA3
