#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th2_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
NUMA1	ENSG00000137497	ENSG00000137497:71780888-71781139:source	-0.493261116288;0.493688703258;9.4745305169e-07	0.986163173546;0.987731481052;2.25998905127e-06	0.874;0.115;0.028	0.389;0.600;0.028	t|1e0|2e0|3e0|4e1.1o1|4e2.1o1|4e3.1o1	False	True	True	3	4	0	chr11	-	71780957-71791504;71780957-71791366;71780957-71787614	71780888-71781139;71787614-71787803;71791366-71791477;71791504-71791739	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NUMA1
NUMA1	ENSG00000137497	ENSG00000137497:71746948-71747021:source	-3.29906951443e-07;-3.29906951443e-07;-0.418214537532;-3.29906951443e-07;-3.70977892402e-05;0.2526660861;-3.29906951443e-07;-2.39210159589e-05;-3.29906951443e-07;-3.29906951443e-07;-3.29906951443e-07;0.102684024452;-3.29906951443e-07;-3.29906951443e-07	2.43531896852e-11;2.43531896852e-11;0.996798048554;2.43531896852e-11;1.16490283476e-08;0.790593425085;2.43531896852e-11;1.24441643027e-08;2.43531896852e-11;2.43531896852e-11;2.43531896852e-11;0.243047475353;2.43531896852e-11;2.43531896852e-11	0.025;0.025;0.660;0.025;0.028;0.248;0.025;0.028;0.025;0.025;0.025;0.044;0.025;0.025	0.025;0.025;0.252;0.025;0.025;0.524;0.025;0.026;0.025;0.025;0.025;0.201;0.025;0.025	t|1e1.1o1|1e10.1o1|1e11.1o1|1e12.1o1|1e13.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1|1e9.1o1	True	False	True	14	14	0	chr11	-	71747021-71791504;71747021-71752474;71747021-71752005;71747021-71751651;71747021-71750781;71747021-71780888;71747021-71779542;71747021-71779151;71747021-71779125;71747021-71773635;71747021-71761708;71747021-71760465;71747021-71752869;71747021-71752768	71746948-71747021;71750781-71750871;71751651-71751756;71752005-71752183;71752474-71752571;71752768-71752838;71752869-71753188;71760465-71760585;71761708-71761879;71773635-71773732;71776245-71779277;71776245-71779277;71779542-71779663;71780888-71781139;71791504-71791739	;;;;;;;;;;;;;;	;;;;;;;;;;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NUMA1
TRIP12	ENSG00000153827	ENSG00000153827:230744698-230744844:source	-3.67626094188e-06;-0.00769232047267;-0.027526452448;-3.67626094188e-06;0.225984359611;-3.67626094188e-06	1.54710736153e-07;0.0202723135807;0.0748218350344;1.54710736153e-07;0.725142428885;1.54710736153e-07	0.026;0.650;0.296;0.026;0.043;0.026	0.025;0.551;0.135;0.025;0.301;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	False	False	True	6	7	1	chr2	-	230744844-230787864;230744844-230786596;230744844-230786280;230744844-230785987;230744844-230773681;230744844-230765453	230744698-230744844;230765453-230765574;230773681-230773798;230785987-230786074;230786280-230786378;230786596-230786725;230787864-230787955	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/22_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TRIP12
PRKRIR	ENSG00000137492	ENSG00000137492:76072000-76072413:source	-0.2217824864;0.2217824864	0.652827748331;0.652827748331	0.921;0.079	0.626;0.374	t|1e0|2e1.1o1|2e2.1o1	False	True	True	2	3	0	chr11	-	76072107-76076896;76072107-76075382	76072000-76072413;76075382-76075476;76076896-76077016	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PRKRIR
RNF216	ENSG00000011275	ENSG00000011275:5778907-5779735:source	9.87946823411e-06;-0.343389778819;-0.000180937856302;0.375700801982	6.63111682955e-07;0.904755323482;6.09831385284e-06;0.935712774446	0.026;0.451;0.039;0.508	0.027;0.094;0.027;0.890	t|1e2.1o1|2e1.2o2|3e1.2o2|4e0|5e1.2o2	True	True	True	4	3	1	chr7	-	5779735-5779760;5779256-5780604;5779252-5780604;5778983-5780604	5778907-5779735;5779760-5779770;5780604-5781446;5780604-5781446;5780604-5781446	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/0_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RNF216
ZNF644	ENSG00000122482	ENSG00000122482:91403042-91403647:target	0.284392985421;-0.284392985421	0.869538586953;0.869538586953	0.027;0.973	0.312;0.688	s|1e1.1o2|1e2.2o2	False	False	True	2	3	1	chr1	-	91401087-91403042;91383711-91403042	91383609-91383948;91400965-91401087;91403042-91403647	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ZNF644
USP36	ENSG00000055483	ENSG00000055483:76794482-76794633:target	0.224038533193;-0.286640977004;-2.11709883109e-06;0.000155146796196	0.647933983942;0.80822147477;8.00390735669e-08;3.27093040631e-06	0.538;0.450;0.026;0.026	0.831;0.131;0.026;0.037	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	False	True	True	4	4	0	chr17	-	76793984-76794482;76793961-76794482;76792576-76794482;76783740-76794482	76783463-76783740;76792399-76792576;76793868-76793984;76793868-76793984;76794482-76794633	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/2_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#USP36
CD3E	ENSG00000198851	ENSG00000198851:118183333-118184056:target	-3.67048777757e-07;0.284457453362;-0.282405053693	1.89967552261e-13;0.880160159333;0.876735239309	0.025;0.503;0.493	0.025;0.788;0.211	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr11	+	118179156-118183333;118182885-118183333;118183332-118183333	118179016-118179156;118182859-118182885;118182886-118183332;118183333-118184056	;;;	;;;	(118182886, 118183332)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/34_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CD3E
NCOR2	ENSG00000196498	ENSG00000196498:124817676-124817825:target	0.271109693439;-0.271109693439	0.85791190892;0.85791190892	0.678;0.322	0.957;0.043	s|1e1.1o3|1e1.2o3	False	True	False	2	2	0	chr12	-	124817013-124817676;124817010-124817676	124816021-124817013;124816021-124817013;124817676-124817825	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/32_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NCOR2
ZNF586	ENSG00000083828	ENSG00000083828:58290119-58291982:target	-0.226712497843;0.226712497843	0.754546659199;0.754546659199	0.263;0.737	0.029;0.971	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr19	+	58281246-58290119;58288037-58290119	58281023-58281246;58287911-58288037;58290119-58291982	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/4_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ZNF586
LRRN3	ENSG00000173114	ENSG00000173114:110739937-110740018:target	-0.218426636024;0.218426636024	0.717640001645;0.717640001645	0.758;0.242	0.517;0.483	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr7	+	110731560-110739937;110737189-110739937	110731062-110731560;110737083-110737189;110739937-110740018	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/29_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#LRRN3
CAMK1	ENSG00000134072	ENSG00000134072:9804823-9804897:target	0.326876370073;-0.326876370073	0.967835484953;0.967835484953	0.654;0.346	0.973;0.027	s|1e1.1o1|i	False	False	False	1	2	1	chr3	-	9804736-9804823;9804822-9804823	9804598-9804736;9804737-9804822;9804823-9804897	;;	;;	(9804737, 9804822)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/16_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CAMK1
C1orf228	ENSG00000198520	ENSG00000198520:45190705-45190889:target	-0.504561448435;-0.000268392281971;0.536891122558	0.999615906318;1.16594629359e-05;0.99997115156	0.920;0.043;0.043	0.428;0.025;0.566	t|1e2.1o1|2e1.4o6|2e2.1o1	True	True	True	3	3	1	chr1	+	45190511-45190705;45190064-45190808;45190511-45190808	45190045-45190146;45190434-45190511;45190434-45190511;45190705-45190889	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/34_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#C1orf228
C1orf228	ENSG00000198520	ENSG00000198520:45190434-45190511:target	0.201513396565;-0.234970099902;0.000235723527055;0.00185973021671	0.672448369982;0.745150195261;2.28001735838e-07;0.00357652495322	0.039;0.474;0.027;0.469	0.247;0.210;0.041;0.501	t|1e1.4o6|1e2.1o1|2e2.1o1|i	True	True	True	3	3	1	chr1	+	45190064-45190434;45190340-45190434;45190340-45190446;45190433-45190434	45190045-45190146;45190179-45190340;45190179-45190340;45190341-45190433;45190434-45190511	;;;;	;;;;	(45190341, 45190433)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/34_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#C1orf228
POMGNT1	ENSG00000085998	ENSG00000085998:46654914-46655029:source	-1.65526944577e-07;0.307372815166;-0.304459498743	2.08696207782e-09;0.973105035053;0.974380197214	0.025;0.667;0.327	0.025;0.967;0.030	t|1e1.2o3|1e1.3o3|i	True	False	False	2	2	1	chr1	-	46655029-46655156;46655029-46655130;46655029-46655030	46654914-46655029;46655030-46655129;46655130-46655239;46655130-46655239	;;;	;;;	(46655030, 46655129)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/4_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#POMGNT1
TMEM194A	ENSG00000166881	ENSG00000166881:57458429-57458522:source	-0.232642795006;1.14638630807e-05;0.229648985126	0.793110089472;1.96694779502e-07;0.781671352901	0.257;0.026;0.736	0.027;0.027;0.971	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	1	chr12	-	57458522-57464603;57458522-57464457;57458522-57463017	57458429-57458522;57463017-57463089;57464457-57464676;57464457-57464676	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/27_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TMEM194A
MTO1	ENSG00000135297	ENSG00000135297:74176212-74176329:source	-0.0175777318804;-0.0756574210357;0.298615527347	0.0136305381609;0.226011991411;0.947732489042	0.140;0.840;0.028	0.039;0.645;0.320	s|1e1.1o1|1e2.1o1|1e3.1o2	False	False	True	3	4	0	chr6	+	74176329-74181183;74176329-74183088;74176329-74189455	74176212-74176329;74181183-74181518;74183088-74183255;74189455-74189567	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/16_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MTO1
FGD5-AS1	ENSG00000225733	ENSG00000225733:14988594-14989014:target	0.000231865731734;0.280022422657;-0.315341846349;0.00135437855115	2.7149754938e-06;0.952664947097;0.907279285589;0.00239068707912	0.040;0.027;0.603;0.338	0.051;0.300;0.282;0.366	s|1e1.1o1|2e1.1o1|3e1.1o1|i	True	True	False	3	2	1	chr3	-	14987661-14988621;14987661-14988617;14987661-14988594;14988593-14988594	14984291-14987661;14984291-14987661;14984291-14987661;14987662-14988593;14988594-14989014	;;;;	;;;;	(14987662, 14988593)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/35_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#FGD5-AS1
FGD5-AS1	ENSG00000225733	ENSG00000225733:14984291-14987661:source	-0.00493051667404;4.42363654084e-07;0.000162878393923;0.230634394008;-0.222607098909;0.00557569804228	0.00623325945439;6.17374958681e-12;1.93355592481e-07;0.830902053082;0.72524519887;0.00523728514104	0.324;0.025;0.033;0.026;0.485;0.143	0.250;0.025;0.042;0.251;0.233;0.221	t|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3|i	True	False	True	5	4	1	chr3	-	14987661-14989520;14987661-14989246;14987661-14988621;14987661-14988617;14987661-14988594;14987661-14987662	14984291-14987661;14987662-14988593;14988594-14989014;14988594-14989014;14988594-14989014;14989246-14989400;14989520-14989931	;;;;;;	;;;;;;	(14987662, 14988593)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/35_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#FGD5-AS1
RBM25	ENSG00000119707	ENSG00000119707:73569900-73570186:target	0.225330935116;-0.225330935116	0.776332321082;0.776332321082	0.753;0.247	0.974;0.026	t|1e1.1o1|1e2.2o2	False	False	True	2	3	1	chr14	+	73566458-73569900;73567070-73569900	73566375-73566458;73567009-73567070;73569900-73570186	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RBM25
RBM25	ENSG00000119707	ENSG00000119707:73567009-73567070:source	1.08886086465e-05;-0.218604894746;0.216792965278	7.17623818222e-08;0.747665813067;0.745051521945	0.025;0.242;0.752	0.026;0.026;0.971	s|1e0|2e1.1o1|2e2.1o1|i	True	False	True	2	3	1	chr14	+	73567070-73567422;73567070-73569900;73567070-73567071	73567009-73567070;73567071-73567421;73567422-73567887;73569900-73570186	;;;	;;;	(73567071, 73567421)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RBM25
MFF	ENSG00000168958	ENSG00000168958:228216397-228217289:target	0.402171469858;-0.00574871833606;-0.205209888855	0.95190101339;0.00683636133322;0.555591087061	0.111;0.128;0.761	0.516;0.041;0.446	t|1e0|2e1.2o3|2e2.1o1|2e3.4o4	False	True	True	3	4	1	chr2	+	228205096-228217230;228207535-228217230;228212100-228217230	228205008-228205277;228207461-228207535;228211441-228212100;228216397-228217289	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/27_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MFF
ARFGEF1	ENSG00000066777	ENSG00000066777:68112164-68112748:target	0.299467557393;-0.299467557393	0.931620508128;0.931620508128	0.642;0.358	0.939;0.061	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr8	-	68111333-68112631;68087807-68112631	68085747-68087807;68109884-68111333;68112164-68112748	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/2_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ARFGEF1
NCKIPSD	ENSG00000213672	ENSG00000213672:48719781-48719985:target	-0.295507075471;0.295507075471	0.743802566802;0.743802566802	0.777;0.223	0.418;0.582	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr3	-	48719589-48719781;48719568-48719781	48719478-48719589;48719478-48719589;48719781-48719985	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/35_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NCKIPSD
LARP1	ENSG00000155506	ENSG00000155506:154173360-154173560:source	0.21255182009;0.00158020008627;-0.246645509006;-0.000206353621778	0.689453952835;0.000266086892217;0.746079902807;8.26836288486e-06	0.041;0.026;0.920;0.040	0.287;0.075;0.633;0.026	s|1e0|2e1.2o2|3e1.2o2|4e1.2o2|i	True	True	False	3	2	1	chr5	+	154173461-154173660;154173482-154173660;154173560-154173660;154173560-154173561	154173360-154173560;154173561-154173605;154173606-154173755;154173606-154173755;154173606-154173755	;;;;	;;;;	(154173561, 154173605)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/23_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#LARP1
PAXBP1	ENSG00000159086	ENSG00000159086:34127524-34127664:target	0.252172253723;-0.252172253723	0.753160672393;0.753160672393	0.302;0.698	0.591;0.409	s|1e1.2o2|2e1.2o2	True	True	False	2	2	0	chr21	-	34123529-34127541;34123529-34127524	34123430-34124435;34123430-34124435;34127524-34127664	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/23_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PAXBP1
RNMT	ENSG00000101654	ENSG00000101654:13754113-13754146:source	0.252292856029;-0.252292856029	0.712637361066;0.712637361066	0.668;0.332	0.966;0.034	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr18	+	13754146-13759941;13754146-13762038	13754113-13754146;13759941-13760284;13762038-13762074	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/7_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RNMT
