#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th17_e_A E(PSI)	Th17_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RPS27	ENSG00000177954	ENSG00000177954:153963390-153963510:source	-0.657126532127;0.657126532127	0.99994948964;0.99994948964	0.727;0.273	0.087;0.913	s|1e1.1o1|i	False	False	False	1	2	1	chr1	+	153963510-153963591;153963510-153963511	153963390-153963510;153963511-153963590;153963591-153963699	;;	;;	(153963511, 153963590)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/39_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#RPS27
SETD5	ENSG00000168137	ENSG00000168137:9475961-9476169:target	-0.07089019757;-0.000171128233585;-0.000472013940343;0.217221101824	0.209885533875;4.80293786948e-07;0.00452337273624;0.713894764122	0.550;0.033;0.418;0.025	0.345;0.025;0.410;0.239	t|1e1.2o2|1e2.1o1|2e1.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475961;9475865-9475961;9475634-9476018;9475960-9475961	9475529-9475634;9475529-9475634;9475677-9475865;9475866-9475960;9475961-9476169	;;;;	;;;;	(9475866, 9475960)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/36_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SETD5
OTULIN	ENSG00000154124	ENSG00000154124:14678790-14678884:target	-0.235529981398;0.235529981398	0.748381662389;0.748381662389	0.299;0.701	0.034;0.966	t|1e1.1o1|1e2.1o2|2e0	False	True	True	2	3	0	chr5	+	14665086-14678790;14673827-14678790	14664773-14665086;14673751-14674246;14678790-14678884	;;	;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/28_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#OTULIN
BECN1	ENSG00000126581	ENSG00000126581:40970805-40970895:target	-0.445484513194;1.08410392349e-06;0.444489680002	0.997571935572;2.55845691756e-10;0.997663774423	0.957;0.025;0.039	0.522;0.025;0.473	s|1e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	-	40970704-40970811;40970698-40970805;40970804-40970805	40970669-40970704;40970669-40970704;40970705-40970804;40970805-40970895	;;;	;;;	(40970705, 40970804)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/18_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#BECN1
KIAA1429	ENSG00000164944	ENSG00000164944:95522961-95523957:target	-0.254688203959;3.46931982597e-06;0.261002347533	0.769583895894;9.0670427086e-07;0.798487923924	0.949;0.027;0.043	0.664;0.027;0.326	s|1e1.1o1|1e2.1o1|2e0|i	True	False	True	2	3	1	chr8	-	95522880-95523413;95522168-95523413;95522960-95522961	95521916-95522168;95522645-95522880;95522881-95522960;95522961-95523957	;;;	;;;	(95522881, 95522960)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/34_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#KIAA1429
RP11-108K14.8	ENSG00000254536	ENSG00000254536:135215653-135215749:target	-0.216276962627;0.216276962627	0.605053206214;0.605053206214	0.547;0.453	0.244;0.756	t|1e1.1o1|i	False	False	False	1	2	1	chr10	+	135215094-135215653;135215652-135215653	135215033-135215094;135215095-135215652;135215653-135215749	;;	;;	(135215095, 135215652)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/49_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#RP11-108K14.8
REPS1	ENSG00000135597	ENSG00000135597:139251114-139251235:target	0.246508587682;-0.00166376331274;-0.160930813543	0.700244116419;7.17158849573e-05;0.494692099486	0.585;0.066;0.348	0.894;0.030;0.092	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	0	chr6	-	139247618-139251114;139247615-139251114;139242261-139251114	139242174-139242261;139247538-139247618;139247538-139247618;139251114-139251235	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/21_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#REPS1
ATF4	ENSG00000128272	ENSG00000128272:39917359-39917676:target	-0.19233618013;-1.07989154765e-10;3.0576209552e-06;8.03894473169e-10;0.203571680999	0.625133031958;1.90778126988e-18;3.73070083475e-17;1.90777965792e-18;0.683666617653	0.842;0.025;0.025;0.025;0.133	0.646;0.025;0.025;0.025;0.336	t|1e1.1o1|2e1.1o1|3e1.1o1|4e1.1o1|i	True	True	False	4	2	1	chr22	+	39916756-39917359;39916756-39917377;39916756-39917380;39916756-39917437;39917358-39917359	39916183-39916756;39916183-39916756;39916183-39916756;39916183-39916756;39916757-39917358;39917359-39917676	;;;;;	;;;;;	(39916757, 39917358)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/18_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ATF4
ATF4	ENSG00000128272	ENSG00000128272:39916183-39916756:source	-0.212741565895;-8.14105296041e-11;2.42166185428e-06;7.57286033714e-10;0.223256793347	0.716935115679;1.90778033385e-18;5.45051955559e-17;1.90777885126e-18;0.765372453196	0.839;0.025;0.025;0.025;0.137	0.625;0.025;0.025;0.025;0.358	s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|i	False	True	False	4	2	1	chr22	+	39916756-39917359;39916756-39917377;39916756-39917380;39916756-39917437;39916756-39916757	39916183-39916756;39916757-39917358;39917359-39917676;39917359-39917676;39917359-39917676;39917359-39917676	;;;;;	;;;;;	(39916757, 39917358)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/18_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ATF4
STAG3L5P-PVRIG2P-PILRB	ENSG00000272752	ENSG00000272752:99950620-99950746:target	-0.462735225113;0.462735225113	0.989150633494;0.989150633494	0.900;0.100	0.446;0.554	t|1e1.1o1|i	False	False	False	1	2	1	chr7	+	99950537-99950620;99950619-99950620	99950384-99950537;99950538-99950619;99950620-99950746	;;	;;	(99950538, 99950619)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/51_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#STAG3L5P-PVRIG2P-PILRB
LINC00539	ENSG00000224429	ENSG00000224429:21886285-21886504:source	-0.400814103072;0.400814103072	0.939278694327;0.939278694327	0.829;0.171	0.423;0.577	t|1e1.1o1|i	False	False	False	1	2	1	chr13	-	21886504-21886591;21886504-21886505	21886285-21886504;21886505-21886590;21886591-21886694	;;	;;	(21886505, 21886590)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/48_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#LINC00539
CTBP1-AS2	ENSG00000196810	ENSG00000196810:1243898-1244234:source	0.00112028214898;-0.449038818641;0.412652631669	0.000762444682153;0.996989845999;0.943427386006	0.048;0.469;0.485	0.080;0.031;0.904	s|1e1.2o2|2e1.2o2|3e0|i	True	True	False	2	2	1	chr4	+	1244138-1244684;1244161-1244684;1244234-1244235	1243898-1244234;1244235-1244313;1244314-1245610;1244314-1245610	;;;	;;;	(1244235, 1244313)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/43_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#CTBP1-AS2
TINF2	ENSG00000092330	ENSG00000092330:24711096-24711283:source	1.04063086107e-05;-0.274112822461;1.04063086107e-05;0.271165537587	2.65536765549e-08;0.867158516398;2.65536765549e-08;0.86779380228	0.025;0.947;0.025;0.045	0.026;0.669;0.026;0.319	t|1e0|2e1.1o1|2e2.1o1|3e2.1o1|i	True	True	True	3	3	1	chr14	-	24711200-24711583;24711200-24711347;24711127-24711347;24711283-24711284	24711096-24711283;24711284-24711346;24711347-24711548;24711347-24711548;24711583-24711880	;;;;	;;;;	(24711284, 24711346)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/8_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#TINF2
ADAR	ENSG00000160710	ENSG00000160710:154574861-154575102:source	0.0975083844113;0.212555445344;1.47836321495e-06;-0.413159078223;5.67263329072e-05	0.0900581120173;0.691386553875;2.90992137962e-11;0.997781603512;5.32485065719e-09	0.025;0.186;0.025;0.809;0.025	0.146;0.427;0.025;0.406;0.028	t|1e0|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	1	chr1	-	154575102-154600430;154575102-154600331;154575102-154581227;154575102-154580468;154575102-154578480	154574861-154575102;154578480-154578490;154580468-154580682;154581227-154581288;154600331-154600388;154600430-154600475	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/32_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ADAR
PFKP	ENSG00000067057	ENSG00000067057:3147071-3147493:source	0.25741637417;-1.28680310927e-05;-0.255985482717	0.797372426877;2.75671320651e-08;0.796943100774	0.628;0.026;0.365	0.905;0.025;0.090	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr10	+	3147351-3147585;3147493-3147585;3147493-3147494	3147071-3147493;3147494-3147584;3147585-3147693;3147585-3147693	;;;	;;;	(3147494, 3147584)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/4_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#PFKP
PXK	ENSG00000168297	ENSG00000168297:58395817-58395886:source	0.282152173495;-0.00426851306882;-0.223560285917	0.875539802902;0.00297598095198;0.80420285371	0.530;0.219;0.251	0.820;0.155;0.031	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	0	chr3	+	58395886-58398628;58395886-58398631;58395886-58410479	58395817-58395886;58398628-58400254;58398628-58400254;58410479-58411748	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/36_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#PXK
PXK	ENSG00000168297	ENSG00000168297:58410479-58411748:target	-0.00116671116639;-0.222926879096;0.276711738378;0.000851177634221;-0.000327321957826	8.81860674193e-07;0.799002165897;0.911096555043;5.95718784958e-06;2.61686540618e-08	0.055;0.247;0.626;0.034;0.037	0.028;0.028;0.901;0.056;0.025	t|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o4|1e5.1o1	False	False	True	5	6	1	chr3	+	58395345-58410479;58395886-58410479;58398690-58410479;58406295-58410479;58409221-58410479	58395259-58395345;58395817-58395886;58398628-58400254;58406263-58406687;58409188-58409221;58410479-58411748	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/36_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#PXK
ODF2	ENSG00000136811	ENSG00000136811:131223221-131223652:source	0.304048353666;2.58803871239e-06;-0.286184948545;-2.99715946703e-05;2.58803871239e-06	0.920712821488;3.82190703518e-10;0.879385184202;1.30538274808e-09;3.82190703518e-10	0.128;0.025;0.850;0.027;0.025	0.432;0.025;0.558;0.025;0.025	s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|2e3.1o1|3e0	True	True	True	5	4	0	chr9	+	131223289-131231462;131223289-131233587;131223346-131231462;131223346-131233587;131223346-131235192	131223221-131223652;131231462-131231749;131231462-131231749;131233587-131233747;131233587-131233747;131235192-131235321	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/23_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ODF2
SNHG12	ENSG00000197989	ENSG00000197989:28907606-28907741:target	-0.283517732008;-0.000105224489952;0.297999389602	0.785228826429;3.86549312473e-06;0.822692516775	0.755;0.039;0.208	0.433;0.036;0.535	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr1	-	28907158-28907623;28907158-28907606;28907605-28907606	28907072-28907158;28907072-28907158;28907567-28907605;28907606-28907741	;;;	;;;	(28907567, 28907605)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/44_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SNHG12
SNHG12	ENSG00000197989	ENSG00000197989:28907072-28907158:source	-0.000161033366869;-0.419344120773;-0.00018348198456;0.458970273531	3.00484724137e-07;0.989708294991;5.1697478288e-07;0.997325098979	0.032;0.649;0.034;0.294	0.025;0.238;0.027;0.742	t|1e1.1o1|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr1	-	28907158-28908102;28907158-28907623;28907158-28907606;28907158-28907159	28907072-28907158;28907159-28907431;28907606-28907741;28907606-28907741;28908102-28908384	;;;;	;;;;	(28907159, 28907431)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/44_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SNHG12
MPI	ENSG00000178802	ENSG00000178802:75187775-75189296:source	-0.4491835649;-0.00098650073741;0.469865515761	0.986513372226;0.00149451988749;0.99933109542	0.794;0.173;0.037	0.353;0.152;0.495	s|1e0|2e1.1o1|2e2.1o2|3e0|4e0|5e0|i	True	False	True	2	3	1	chr15	+	75188666-75189352;75188666-75189853;75189296-75189297	75187775-75189296;75189297-75189351;75189352-75189560;75189853-75191798	;;;	;;;	(75189297, 75189351)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/40_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#MPI
PEX16	ENSG00000121680	ENSG00000121680:45935674-45935754:source	-0.565571623796;0.565571623796	0.999154349582;0.999154349582	0.945;0.055	0.393;0.607	t|1e1.1o2|i	False	False	False	1	2	1	chr11	-	45935754-45935867;45935754-45935755	45935674-45935754;45935755-45935814;45935815-45936019	;;	;;	(45935755, 45935814)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/17_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#PEX16
DSN1	ENSG00000149636	ENSG00000149636:35401797-35402221:target	0.271712393865;-0.137600271167;1.44642293462e-05;1.44642293462e-05;-0.00763675277077;1.44642293462e-05	0.752560682004;0.391995720892;7.55721643685e-06;7.55721643685e-06;0.00791462235513;7.55721643685e-06	0.630;0.230;0.027;0.027;0.119;0.027	0.953;0.028;0.028;0.028;0.028;0.028	s|1e1.1o1|1e2.1o1|1e3.1o3|2e1.1o1|3e1.1o1|3e4.1o1	True	True	True	6	5	0	chr20	-	35399876-35402065;35399596-35402065;35399427-35402065;35399876-35401884;35399876-35401797;35396445-35401797	35396372-35396445;35399276-35399427;35399518-35399596;35399828-35399876;35399828-35399876;35399828-35399876;35401797-35402221	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/28_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#DSN1
SMC4	ENSG00000113810	ENSG00000113810:160119703-160119711:target	7.4669590191e-06;-0.440300169924;0.44693653009	1.26238383397e-07;0.997560344431;0.998400737025	0.026;0.907;0.078	0.027;0.477;0.513	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr3	+	160117537-160119703;160118753-160119703;160119702-160119703	160117426-160117537;160118270-160118753;160118754-160119702;160119703-160119711	;;;	;;;	(160118754, 160119702)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/15_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SMC4
GUK1	ENSG00000143774	ENSG00000143774:228332598-228333463:target	6.14352896286e-07;3.97401202014e-05;6.14352896286e-07;4.1342461805e-07;-0.286094222781;0.274856823826;6.14352896286e-07;6.14352896286e-07;6.14352896286e-07	4.74663966101e-12;1.5837283266e-09;4.74663966101e-12;4.74662926918e-12;0.902324344516;0.878497847761;4.74663966101e-12;4.74663966101e-12;4.74663966101e-12	0.025;0.025;0.025;0.025;0.690;0.293;0.025;0.025;0.025	0.025;0.027;0.025;0.025;0.404;0.571;0.025;0.025;0.025	t|1e0|2e0|3e2.1o1|4e2.1o1|4e4.1o2|5e0|6e1.1o1|6e2.1o1|6e3.1o2|6e3.2o2|6e4.1o2|6e5.1o1|7e0|8e0	True	True	True	9	6	0	chr1	+	228328064-228333172;228328064-228333193;228329530-228333193;228327860-228333212;228328064-228333212;228328989-228333212;228329208-228333212;228329530-228333212;228332453-228333212	228327663-228327860;228327929-228328064;228327929-228328064;228327929-228328064;228328824-228329208;228328824-228329208;228329327-228329534;228329327-228329534;228332029-228332453;228332598-228333463	;;;;;;;;;	;;;;;;;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/26_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#GUK1
MYEF2	ENSG00000104177	ENSG00000104177:48450190-48450253:target	0.00399320295362;-0.342214604338;0.245915136753	0.00140678997003;0.963771863423;0.79697712688	0.029;0.968;0.027	0.093;0.630;0.277	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr15	-	48450095-48450190;48446090-48450190;48450189-48450190	48444504-48446273;48449333-48450095;48450096-48450189;48450190-48450253	;;;	;;;	(48450096, 48450189)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/12_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#MYEF2
LRRN3	ENSG00000173114	ENSG00000173114:110762471-110765510:target	0.418981614287;-0.000189805392687;-0.415228378015	0.993520672807;7.88490644121e-06;0.992095583351	0.268;0.057;0.674	0.677;0.054;0.268	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr7	+	110731560-110762471;110737189-110762471;110740018-110762471	110731062-110731560;110737083-110737189;110739937-110740018;110762471-110765510	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/38_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#LRRN3
PPP2R3C	ENSG00000092020	ENSG00000092020:35579731-35579856:source	3.66025017564e-05;-0.225085872373;0.209862728043	6.38108486031e-07;0.707633056315;0.65955128069	0.025;0.365;0.631	0.027;0.095;0.895	t|1e1.1o1|2e0|3e1.1o1|3e2.1o1	True	True	True	3	3	0	chr14	-	35579856-35591108;35579835-35591108;35579835-35585816	35579731-35579856;35585816-35585943;35591108-35591307;35591108-35591307	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/7_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#PPP2R3C
TDP1	ENSG00000042088	ENSG00000042088:90429449-90430017:target	-0.00101371448062;-0.381603758412;0.413287057207;6.80937135762e-06;6.80937135762e-06	3.61769697619e-05;0.994678363333;0.993428817431;4.54259277792e-08;4.54259277792e-08	0.063;0.410;0.519;0.025;0.025	0.039;0.038;0.923;0.026;0.026	t|1e0|2e1.1o1|2e2.1o1|2e3.1o2|2e4.1o1|3e1.1o1	True	True	True	5	5	0	chr14	+	90422314-90429452;90422622-90429452;90423144-90429452;90424741-90429452;90422314-90429569	90422246-90422314;90422246-90422314;90422337-90422622;90422867-90423531;90424637-90424741;90429449-90430017	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/2_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#TDP1
FAM65A	ENSG00000039523	ENSG00000039523:67574203-67574266:target	-0.33949365651;0.33949365651	0.956437084709;0.956437084709	0.974;0.026	0.642;0.358	t|1e1.2o2|2e0|i	False	True	False	1	2	1	chr16	+	67574108-67574203;67574202-67574203	67573956-67574108;67574109-67574202;67574203-67574266	;;	;;	(67574109, 67574202)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/2_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#FAM65A
IRF1	ENSG00000125347	ENSG00000125347:131820053-131820331:target	-1.42019982093e-08;-0.212080547296;-7.90940987079e-09;0.223269758841	1.90780158857e-18;0.737076944112;1.90779046499e-18;0.798638795422	0.025;0.930;0.025;0.057	0.025;0.723;0.025;0.274	s|1e1.1o2|2e1.1o2|3e1.2o2|i	True	True	False	3	2	1	chr5	-	131819767-131820087;131819767-131820054;131819765-131820053;131820052-131820053	131817301-131819767;131817301-131819767;131817301-131819767;131819768-131820052;131820053-131820331	;;;;	;;;;	(131819768, 131820052)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/18_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#IRF1
IRF1	ENSG00000125347	ENSG00000125347:131825084-131825337:target	2.98886243412e-09;-0.364947994718;2.98886243412e-09;0.36469846569	1.91723324859e-18;0.999635325828;1.91723324859e-18;0.999648502614	0.025;0.928;0.025;0.069	0.025;0.572;0.025;0.425	s|1e1.1o2|1e1.2o2|1e2.1o1|i	False	True	True	3	3	1	chr5	-	131823744-131825084;131823717-131825084;131822822-131825084;131825083-131825084	131822646-131822822;131823618-131823744;131823618-131823744;131824725-131825083;131825084-131825337	;;;;	;;;;	(131824725, 131825083)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/18_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#IRF1
