#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th1_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RPL14	ENSG00000188846	ENSG00000188846:40498783-40499238:source	-0.339446887571;0.428580104043;-0.00479453925423	0.993064826793;0.999814639982;0.000546314150478	0.357;0.555;0.088	0.026;0.973;0.026	s|1e1.2o4|2e1.2o4|3e1.2o4	True	True	False	3	2	0	chr3	+	40498854-40499381;40498965-40499381;40499238-40499381	40498783-40499238;40499368-40500107;40499368-40500107;40499368-40500107	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/51_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#RPL14
JMJD8	ENSG00000161999	ENSG00000161999:731671-732874:source	-0.159297457802;-0.00135258710489;0.212061054179;-0.000953247368157	0.313643879322;1.38561171239e-05;0.705682761466;9.32197541159e-05	0.182;0.082;0.615;0.121	0.025;0.047;0.854;0.094	t|1e1.2o2|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr16	-	732874-733167;732874-732958;732874-732953;732874-732875	731671-732874;732875-732952;732953-733106;732953-733106;733167-733234	;;;;	;;;;	(732875, 732952)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/39_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#JMJD8
AHSA2	ENSG00000173209	ENSG00000173209:61408473-61408815:source	-0.226329238215;0.226329238215	0.775015482282;0.775015482282	0.275;0.725	0.054;0.946	s|1e1.1o2|1e2.1o1|2e0	True	False	True	2	3	0	chr2	+	61408540-61410682;61408540-61411847	61408473-61408815;61410682-61411157;61411847-61411935	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/45_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#AHSA2
RABGGTB	ENSG00000137955	ENSG00000137955:76255837-76255959:target	3.97600118715e-05;0.331389076702;-0.344677946558	2.95222756359e-06;0.850162653456;0.875785116467	0.026;0.475;0.518	0.029;0.836;0.151	t|1e1.1o1|1e2.2o3|i	False	False	True	2	3	1	chr1	+	76255041-76255837;76255742-76255837;76255836-76255837	76254844-76255041;76255637-76255798;76255799-76255836;76255837-76255959	;;;	;;;	(76255799, 76255836)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/29_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#RABGGTB
PRPF4B	ENSG00000112739	ENSG00000112739:4062338-4062533:source	-0.108161948292;-0.00238604854483;0.222155940663	0.337689963539;0.000712817920105;0.743231724144	0.641;0.164;0.196	0.452;0.113;0.435	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr6	+	4062533-4062791;4062533-4063308;4062533-4062534	4062338-4062533;4062534-4062790;4062791-4062994;4063308-4063790	;;;	;;;	(4062534, 4062790)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/17_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#PRPF4B
LINC00539	ENSG00000224429	ENSG00000224429:21877654-21877959:source	-0.352692285197;0.352692285197	0.873655313288;0.873655313288	0.617;0.383	0.241;0.759	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr13	-	21877959-21904713;21877959-21885181	21877654-21877959;21885181-21885257;21904713-21905209	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/55_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#LINC00539
SAMD9L	ENSG00000177409	ENSG00000177409:92777507-92777682:target	-0.0636888138131;0.226624478842;-0.00915341959619;2.32689021313e-07	0.190375041153;0.704200517206;0.000740667841748;5.81331859922e-11	0.599;0.305;0.093;0.025	0.423;0.571;0.025;0.025	s|1e1.1o1|1e2.1o1|1e3.2o3|1e4.1o1	False	False	True	4	5	0	chr7	-	92776459-92777507;92775353-92777507;92774845-92777507;92765304-92777507	92759368-92765304;92774698-92774893;92774919-92775353;92776196-92776459;92777507-92777682	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/47_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#SAMD9L
SAMD9L	ENSG00000177409	ENSG00000177409:92774698-92774893:source	-4.34883672454e-05;-0.0221079072809;8.6662719905e-05;1.55319834825e-05;-0.0718490235051;-8.85904442411e-07;-5.3224095148e-05;0.269822880575	4.33701458808e-08;0.00782615870151;8.45706421442e-08;2.88759839851e-10;0.217758176895;1.62710576224e-10;4.01121517601e-08;0.815365826185	0.029;0.112;0.030;0.025;0.527;0.025;0.029;0.291	0.026;0.025;0.035;0.026;0.350;0.025;0.025;0.581	t|1e3.2o4|2e1.1o1|2e2.2o2|2e3.1o4|2e3.2o4|2e3.3o4|3e3.2o4|i	True	True	True	7	4	1	chr7	-	92774893-92775222;92774845-92777507;92774845-92776196;92774845-92775238;92774845-92775222;92774845-92775093;92774829-92775222;92774893-92774894	92774698-92774893;92774894-92774918;92774919-92775353;92774919-92775353;92774919-92775353;92774919-92775353;92774919-92775353;92776196-92776459;92777507-92777682	;;;;;;;;	;;;;;;;;	(92774894, 92774918)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/47_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#SAMD9L
RNF149	ENSG00000163162	ENSG00000163162:101890493-101890993:target	-0.535454741412;0.535454741412	0.998356949274;0.998356949274	0.935;0.065	0.412;0.588	s|1e1.1o1|i	False	False	False	1	2	1	chr2	-	101889803-101890493;101890492-101890493	101889589-101889803;101889804-101890492;101890493-101890993	;;	;;	(101889804, 101890492)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/40_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#RNF149
PRKRIR	ENSG00000137492	ENSG00000137492:76072000-76072413:source	0.339080905589;-0.339080905589	0.883332903734;0.883332903734	0.559;0.441	0.919;0.081	t|1e0|2e1.1o1|2e2.1o1	False	True	True	2	3	0	chr11	-	76072107-76076896;76072107-76075382	76072000-76072413;76075382-76075476;76076896-76077016	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/28_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#PRKRIR
RNF216	ENSG00000011275	ENSG00000011275:5778907-5779735:source	4.72504040885e-06;0.283719160137;0.000208736066062;-0.332245683092	7.22178494775e-08;0.811184463351;5.52342809083e-06;0.896833838145	0.025;0.143;0.025;0.847	0.026;0.456;0.039;0.503	t|1e2.1o1|2e1.2o2|3e1.2o2|4e0|5e1.2o2	True	True	True	4	3	1	chr7	-	5779735-5779760;5779256-5780604;5779252-5780604;5778983-5780604	5778907-5779735;5779760-5779770;5780604-5781446;5780604-5781446;5780604-5781446	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/1_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#RNF216
RNF216	ENSG00000011275	ENSG00000011275:5780604-5781446:source	0.218866362;0.000303479674267;-0.278331276546	0.594395456358;1.26859351997e-05;0.72102846404	0.248;0.027;0.742	0.556;0.044;0.402	t|1e1.1o1|2e2.1o1|3e1.1o1	True	True	True	3	3	1	chr7	-	5781446-5792477;5781431-5783338;5781275-5792477	5780604-5781446;5783338-5783348;5792477-5792610;5792477-5792610	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/1_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#RNF216
UPP1	ENSG00000183696	ENSG00000183696:48142894-48143010:source	0.273957224545;-0.273957224545	0.813726568744;0.813726568744	0.051;0.949	0.350;0.650	s|1e0|2e1.1o1|2e2.2o2|3e0	True	False	True	2	3	0	chr7	+	48143008-48143379;48143008-48146470	48142894-48143010;48143379-48143588;48144243-48146679	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/49_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#UPP1
MBD4	ENSG00000129071	ENSG00000129071:129151019-129151449:target	-0.00711785315717;-0.0786096573231;0.206886463996	4.49099026625e-05;0.216962361725;0.699850324433	0.079;0.725;0.197	0.025;0.572;0.416	s|1e0|2e1.1o1|3e0|4e1.1o1|5e0|i	True	True	False	2	2	1	chr3	-	129150421-129151399;129150421-129151346;129151018-129151019	129149787-129150421;129149787-129150421;129150422-129151018;129151019-129151449	;;;	;;;	(129150422, 129151018)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/24_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#MBD4
BRAT1	ENSG00000106009	ENSG00000106009:2586475-2587112:target	0.2291649586;-0.00034626296752;-0.208938852362;3.04591330747e-06	0.733003748746;3.46354660323e-06;0.686612533563;7.2646342454e-09	0.621;0.049;0.326;0.025	0.882;0.034;0.084;0.025	s|1e1.1o2|1e1.2o2|1e2.3o3|2e2.2o3	True	True	True	4	3	1	chr7	-	2584690-2586958;2584687-2586958;2583596-2586958;2583600-2586475	2583224-2583886;2583224-2583886;2584543-2584690;2584543-2584690;2586475-2587112	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/14_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#BRAT1
KLHL36	ENSG00000135686	ENSG00000135686:84693366-84693523:target	-0.00325980088524;0.256474085414;-0.182619367356	0.00144394925644;0.814566246717;0.56375453613	0.112;0.658;0.231	0.049;0.927;0.030	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	1	chr16	+	84691519-84693366;84691550-84693366;84693236-84693366	84691509-84691550;84691509-84691550;84693145-84693236;84693366-84693523	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/27_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#KLHL36
SLX1A	ENSG00000132207	ENSG00000132207:30206061-30206112:source	0.272250048715;-0.000310258952075;-1.33554132748e-05;-0.18145260472	0.786282014312;1.57099560846e-05;1.50317779467e-07;0.545306836066	0.204;0.044;0.026;0.748	0.513;0.025;0.025;0.480	s|1e1.1o1|1e2.3o3|1e3.1o1|i	False	False	True	3	4	1	chr16	+	30206112-30206207;30206112-30208295;30206112-30208591;30206112-30206113	30206061-30206112;30206113-30206206;30206207-30206548;30207633-30208422;30208591-30208724	;;;;	;;;;	(30206113, 30206206)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/26_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#SLX1A
RP11-73M18.2	ENSG00000256500	ENSG00000256500:104151975-104152261:target	-0.251744542025;0.251744542025	0.720666567674;0.720666567674	0.710;0.290	0.408;0.592	t|1e1.1o1|i	False	False	False	1	2	1	chr14	+	104151373-104151975;104151974-104151975	104151323-104151373;104151374-104151974;104151975-104152261	;;	;;	(104151374, 104151974)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/57_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#RP11-73M18.2
DHX16	ENSG00000204560	ENSG00000204560:30630404-30630519:target	0.222466011423;-0.222466011423	0.774225763298;0.774225763298	0.029;0.971	0.247;0.753	s|1e1.1o2|1e2.3o3	False	False	True	2	3	1	chr6	-	30630208-30630404;30628019-30630404	30627809-30628394;30629155-30630208;30630404-30630519	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/54_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#DHX16
LRPPRC	ENSG00000138095	ENSG00000138095:44170826-44171033:target	0.221520898645;-0.221520898645	0.759659152507;0.759659152507	0.026;0.974	0.242;0.758	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr2	-	44169942-44170826;44162017-44170826	44161893-44162017;44169932-44169942;44170826-44171033	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/29_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#LRPPRC
FBXO9	ENSG00000112146	ENSG00000112146:52958264-52958359:target	-0.201513356021;0.201513356021	0.675549812746;0.675549812746	0.890;0.110	0.676;0.324	t|1e1.1o2|2e0|i	False	True	False	1	2	1	chr6	+	52957622-52958264;52958263-52958264	52957532-52958114;52958115-52958263;52958264-52958359	;;	;;	(52958115, 52958263)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/17_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#FBXO9
JADE2	ENSG00000043143	ENSG00000043143:133914184-133918918:target	0.258770200833;-0.0297684538256;-0.00702137702453;-0.00181549380179;-1.6549491306e-06	0.842676040078;0.0820329177002;0.00175031231433;0.00186915872203;9.16291974142e-10	0.089;0.572;0.100;0.235;0.025	0.357;0.423;0.029;0.196;0.025	t|1e1.1o2|1e2.1o2|2e1.1o2|2e2.1o2|2e2.2o2	True	True	True	5	3	0	chr5	+	133909452-133914184;133912586-133914184;133909452-133914187;133912586-133914187;133912728-133914187	133909335-133911427;133909335-133911427;133912458-133912728;133912458-133912728;133912458-133912728;133914184-133918918	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/2_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#JADE2
JADE2	ENSG00000043143	ENSG00000043143:133909335-133911427:source	-0.0801221011376;0.200113021927;-0.00179632800487	0.21740949738;0.662662372111;1.3497087698e-05	0.872;0.060;0.067	0.715;0.267;0.026	s|1e1.1o1|1e2.1o2|1e2.2o2|2e0	True	True	True	3	3	0	chr5	+	133909452-133912458;133909452-133914184;133909452-133914187	133909335-133911427;133912458-133912728;133914184-133918918;133914184-133918918	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/2_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#JADE2
CHID1	ENSG00000177830	ENSG00000177830:899340-899401:target	-0.294227604585;0.294227604585	0.900319690096;0.900319690096	0.958;0.042	0.661;0.339	s|1e0|2e1.1o2|2e2.1o3	True	False	True	2	3	0	chr11	-	893519-899340;884169-899340	884068-884169;893427-893519;899340-899401	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/47_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#CHID1
NT5C3A	ENSG00000122643	ENSG00000122643:33066429-33066645:source	-0.317167180147;0.306468984181;-5.17271163495e-05	0.917088875071;0.867231478867;5.13595284077e-05	0.425;0.508;0.067	0.105;0.830;0.065	t|1e0|2e1.1o1|2e2.1o1|2e3.1o2	False	True	True	3	4	0	chr7	-	33066527-33102180;33066527-33075546;33066527-33069241	33066429-33066645;33068843-33069326;33075546-33075600;33102180-33102409	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/21_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#NT5C3A
NT5C3A	ENSG00000122643	ENSG00000122643:33102180-33102409:target	0.455222130142;-0.455222130142	0.92030466388;0.92030466388	0.265;0.735	0.736;0.264	s|1e1.1o3|1e2.2o2	False	False	True	2	3	0	chr7	-	33075600-33102180;33066527-33102180	33066429-33066645;33075546-33075600;33102180-33102409	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/21_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#NT5C3A
EHBP1L1	ENSG00000173442	ENSG00000173442:65357964-65358063:source	-0.202222418353;0.202222418353	0.682078567802;0.682078567802	0.812;0.188	0.605;0.395	s|1e1.1o3|i	False	False	False	1	2	1	chr11	+	65358063-65359271;65358063-65358064	65357964-65358063;65358064-65358665;65359271-65359344	;;	;;	(65358064, 65358665)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/46_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#EHBP1L1
CAMK1	ENSG00000134072	ENSG00000134072:9804823-9804897:target	-0.286112588158;0.286112588158	0.864125573227;0.864125573227	0.955;0.045	0.657;0.343	s|1e1.1o1|i	False	False	False	1	2	1	chr3	-	9804736-9804823;9804822-9804823	9804598-9804736;9804737-9804822;9804823-9804897	;;	;;	(9804737, 9804822)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/26_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#CAMK1
FAM65A	ENSG00000039523	ENSG00000039523:67580044-67580134:target	-0.266738938372;0.266738938372	0.922050804907;0.922050804907	0.971;0.029	0.706;0.294	t|1e1.2o3|i	False	False	False	1	2	1	chr16	+	67579935-67580044;67580043-67580044	67579852-67579970;67579971-67580043;67580044-67580134	;;	;;	(67579971, 67580043)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/2_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#FAM65A
MACF1	ENSG00000127603	ENSG00000127603:39815150-39815299:target	-0.250704950294;-1.94418216324e-05;0.241485033674	0.78761417954;1.24593662206e-06;0.748303747769	0.369;0.034;0.601	0.096;0.033;0.876	t|1e1.2o2|1e2.1o2|1e2.2o2	True	False	True	3	3	1	chr1	+	39793025-39815150;39812828-39815150;39812882-39815150	39792890-39793025;39812649-39812882;39812649-39812882;39815150-39815299	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/24_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#MACF1
MACF1	ENSG00000127603	ENSG00000127603:39844875-39845116:target	0.273959585136;-0.273959585136	0.883232313673;0.883232313673	0.681;0.319	0.953;0.047	t|1e1.1o2|1e2.1o1	False	False	True	2	3	0	chr1	+	39838268-39844875;39844195-39844875	39838151-39839145;39844133-39844195;39844875-39845116	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/24_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#MACF1
