#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th1_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
LRRC75A-AS1	ENSG00000175061	ENSG00000175061:16342895-16343017:source	-0.000758034751179;-0.482018473114;0.526943783169	3.90091294302e-09;0.999971816593;0.999999636135	0.043;0.803;0.152	0.025;0.333;0.665	s|1e0|2e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	+	16343017-16343425;16343017-16343499;16343017-16343018	16342895-16343017;16343018-16343349;16343425-16343567;16343425-16343567	;;;	;;;	(16343018, 16343349)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/47_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#LRRC75A-AS1
PEX1	ENSG00000127980	ENSG00000127980:92123801-92123943:target	0.224842329538;-0.224842329538	0.703811729177;0.703811729177	0.737;0.263	0.973;0.027	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	92123710-92123801;92123800-92123801	92123607-92123710;92123711-92123800;92123801-92123943	;;	;;	(92123711, 92123800)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/22_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PEX1
SP140	ENSG00000079263	ENSG00000079263:231115696-231115776:source	-0.357272558307;0.000112402710584;0.34390231935	0.91623450366;0.0002407116733;0.883820471887	0.574;0.083;0.342	0.207;0.088;0.704	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	1	chr2	+	231115776-231118031;231115776-231118049;231115776-231120167	231115696-231115776;231118031-231118132;231118031-231118132;231120167-231120247	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/6_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SP140
SSB	ENSG00000138385	ENSG00000138385:170655322-170655718:source	0.219503508698;1.88024700309e-05;1.88024700309e-05;-0.234217556606	0.748126829345;9.40683343549e-08;9.40683343549e-08;0.813740564885	0.713;0.025;0.025;0.280	0.951;0.026;0.026;0.039	s|1e2.1o1|1e3.1o1|2e1.2o2|i	True	False	True	3	4	1	chr2	+	170655486-170657462;170655486-170661984;170655718-170655919;170655718-170655719	170655322-170655718;170655719-170655788;170655789-170656030;170657462-170657536;170661984-170662087	;;;;	;;;;	(170655719, 170655788)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/29_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SSB
DRAM2	ENSG00000156171	ENSG00000156171:111662499-111662581:source	-0.00298573469048;1.96039537212e-06;-9.45842737396e-05;-0.0600681295621;0.204437945221	4.61010226289e-05;1.12852975957e-09;1.90691320346e-08;0.153267300702;0.667935784585	0.069;0.025;0.029;0.253;0.652	0.025;0.025;0.025;0.100;0.890	t|1e1.1o1|1e2.1o5|1e2.2o5|1e2.4o5|1e2.5o5	True	False	True	5	3	1	chr1	-	111662581-111667364;111662581-111663292;111662581-111663267;111662581-111663154;111662581-111663138	111662499-111662581;111663138-111663315;111663138-111663315;111663138-111663315;111663138-111663315;111667364-111667503	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/36_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#DRAM2
ACCS	ENSG00000110455	ENSG00000110455:44098829-44099249:target	0.252759377258;-0.290316054158;0.000127431031453	0.727908527408;0.848940913247;4.90855645423e-05	0.644;0.346;0.027	0.952;0.034;0.034	t|1e1.1o2|2e1.1o2|3e2.1o5	True	True	True	3	3	1	chr11	+	44097142-44098829;44097142-44098873;44098926-44099088	44097076-44097406;44097076-44097406;44098829-44099249	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/14_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#ACCS
PAN2	ENSG00000135473	ENSG00000135473:56717821-56717971:target	0.344410861835;-0.344410861835	0.962875589813;0.962875589813	0.627;0.373	0.968;0.032	s|1e1.1o2|2e1.1o2	True	True	False	2	2	0	chr12	-	56717697-56717833;56717697-56717821	56717591-56717697;56717591-56717697;56717821-56717971	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/26_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PAN2
METTL17	ENSG00000165792	ENSG00000165792:21458389-21458542:source	3.54678758784e-05;-0.287209624195;0.279653738294	2.00414613986e-07;0.908718959043;0.895657556349	0.025;0.966;0.031	0.027;0.684;0.306	s|1e1.1o4|2e1.1o4|i	True	True	False	2	2	1	chr14	+	21458421-21458623;21458542-21458623;21458542-21458543	21458389-21458542;21458543-21458622;21458623-21458891;21458623-21458891	;;;	;;;	(21458543, 21458622)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/41_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#METTL17
RBM39	ENSG00000131051	ENSG00000131051:34328021-34328519:source	-0.282567471042;0.282567471042	0.868916279352;0.868916279352	0.715;0.285	0.430;0.570	t|1e0|1e1.1o1|i	False	False	False	1	2	1	chr20	-	34328519-34328746;34328519-34328520	34328021-34328519;34328520-34328745;34328746-34328809	;;	;;	(34328520, 34328745)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/23_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RBM39
CTNNB1	ENSG00000168036	ENSG00000168036:41280624-41280845:source	0.000277256819548;0.276094362567;-0.22059142977;2.84658660796e-07;2.84658660796e-07;-0.0102324385114	6.93777833088e-09;0.902433606442;0.757869318667;5.20707279804e-14;5.20707279804e-14;0.0052974448322	0.025;0.356;0.397;0.025;0.025;0.234	0.035;0.629;0.170;0.025;0.025;0.162	s|1e0|1e2.1o3|2e1.1o1|2e2.2o3|2e2.3o3|2e3.1o1|i	True	True	True	5	4	1	chr3	+	41280844-41281303;41280845-41281151;41280845-41281310;41280845-41281313;41280845-41299823;41280845-41280846	41280624-41280845;41280846-41281150;41281151-41281227;41281303-41281936;41281303-41281936;41281303-41281936;41299823-41299975	;;;;;;	;;;;;;	(41280846, 41281150)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/42_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CTNNB1
TBC1D31	ENSG00000156787	ENSG00000156787:124113047-124113327:source	-0.227057497216;0.227057497216	0.719782545982;0.719782545982	0.302;0.698	0.046;0.954	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr8	+	124113247-124114487;124113247-124117528	124113047-124113327;124114487-124116441;124117528-124117704	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/36_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TBC1D31
NBEAL2	ENSG00000160796	ENSG00000160796:47037204-47037336:source	-0.350474099464;0.350474099464	0.985776051308;0.985776051308	0.975;0.025	0.633;0.367	s|1e1.1o1|i	False	False	False	1	2	1	chr3	+	47037336-47037422;47037336-47037337	47037204-47037336;47037337-47037421;47037422-47037541	;;	;;	(47037337, 47037421)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/38_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#NBEAL2
SETD5	ENSG00000168137	ENSG00000168137:9475961-9476169:target	0.0381708400604;0.000233511421132;-0.524130764966;0.323619228345	0.101487375373;8.19817052375e-07;0.999303812019;0.933272183423	0.130;0.026;0.785;0.078	0.292;0.035;0.274;0.403	t|1e1.2o2|1e2.1o1|2e1.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475961;9475865-9475961;9475634-9476018;9475960-9475961	9475529-9475634;9475529-9475634;9475677-9475865;9475866-9475960;9475961-9476169	;;;;	;;;;	(9475866, 9475960)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/42_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SETD5
OTULIN	ENSG00000154124	ENSG00000154124:14678790-14678884:target	-0.269658978845;0.269658978845	0.896420456911;0.896420456911	0.304;0.696	0.032;0.968	t|1e1.1o1|1e2.1o2|2e0	False	True	True	2	3	0	chr5	+	14665086-14678790;14673827-14678790	14664773-14665086;14673751-14674246;14678790-14678884	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/35_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#OTULIN
UNC45A	ENSG00000140553	ENSG00000140553:91478515-91478605:source	0.274979182684;-0.274979182684	0.788809911207;0.788809911207	0.038;0.962	0.348;0.652	s|1e1.2o2|2e1.2o2	True	True	False	2	2	0	chr15	+	91478560-91478774;91478605-91478774	91478515-91478605;91478654-91478935;91478654-91478935	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/30_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#UNC45A
BECN1	ENSG00000126581	ENSG00000126581:40975723-40975897:source	3.71489927221e-07;0.204818914824;-0.206882104323	2.87222016604e-14;0.690108083973;0.698276832238	0.025;0.549;0.449	0.025;0.768;0.229	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0	chr17	-	40975897-40977193;40975897-40976173;40975897-40976151	40975723-40975897;40976151-40976396;40976151-40976396;40977193-40977249	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/21_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#BECN1
BECN1	ENSG00000126581	ENSG00000126581:40970805-40970895:target	-0.344230406698;-1.33558108753e-07;0.341126137373	0.990255422626;3.70496727654e-10;0.99026672379	0.970;0.025;0.028	0.634;0.025;0.361	s|1e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	-	40970704-40970811;40970698-40970805;40970804-40970805	40970669-40970704;40970669-40970704;40970705-40970804;40970805-40970895	;;;	;;;	(40970705, 40970804)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/21_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#BECN1
JMJD8	ENSG00000161999	ENSG00000161999:733322-733441:target	-0.348688946478;0.348688946478	0.956641904196;0.956641904196	0.973;0.027	0.632;0.368	s|1e0|2e0|3e1.1o1|i	True	False	False	1	2	1	chr16	-	733234-733322;733321-733322	733167-733234;733235-733321;733322-733441	;;	;;	(733235, 733321)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/38_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#JMJD8
RPS15A	ENSG00000134419	ENSG00000134419:18799866-18800459:source	0.260627572461;-0.257505864418;1.08358472013e-08	0.864349943221;0.858234657552;2.12956729009e-18	0.449;0.546;0.025	0.709;0.289;0.025	t|1e0|2e0|3e1.1o1|3e2.1o2|3e2.2o2	True	True	True	3	3	0	chr16	-	18800440-18801632;18800440-18801566;18800440-18801219	18799866-18800459;18801219-18801582;18801219-18801582;18801632-18801705	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/25_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RPS15A
RABGGTB	ENSG00000137955	ENSG00000137955:76255637-76255798:target	-2.72110856372e-05;-0.267046487073;0.287747856919	4.70617666177e-07;0.747602360161;0.795040509341	0.028;0.706;0.273	0.027;0.393;0.596	t|1e1.1o3|1e2.1o1|i	False	False	True	2	3	1	chr1	+	76253289-76255637;76255041-76255637;76255636-76255637	76253181-76254468;76254844-76255041;76255042-76255636;76255637-76255798	;;;	;;;	(76255042, 76255636)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/29_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RABGGTB
CPSF3L	ENSG00000127054	ENSG00000127054:1250784-1250818:source	-0.224509517441;0.224509517441	0.695647753293;0.695647753293	0.915;0.085	0.655;0.345	t|1e1.1o1|2e0|i	False	True	False	1	2	1	chr1	-	1250818-1250900;1250818-1250819	1250784-1250818;1250819-1250899;1250900-1250932	;;	;;	(1250819, 1250899)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/22_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CPSF3L
IL11RA	ENSG00000137070	ENSG00000137070:34655081-34655314:source	-0.50256135782;6.3028663925e-05;6.3028663925e-05;0.487070203838	0.998202124782;4.2401021698e-06;4.2401021698e-06;0.995763473803	0.560;0.025;0.025;0.433	0.070;0.028;0.028;0.909	s|1e1.2o2|1e2.1o1|1e3.1o1|i	False	False	True	3	4	1	chr9	+	34655314-34655602;34655314-34656736;34655314-34657032;34655314-34655315	34655081-34655314;34655315-34655408;34655409-34655934;34656736-34656947;34657032-34657146	;;;;	;;;;	(34655315, 34655408)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/28_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#IL11RA
STAG3L5P-PVRIG2P-PILRB	ENSG00000272752	ENSG00000272752:99949786-99949834:target	1.17884216856e-05;-0.231337186271;0.224524994851	6.28444071466e-09;0.778390390505;0.753065656205	0.025;0.326;0.670	0.026;0.081;0.912	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	+	99943591-99949786;99949033-99949786;99949785-99949786	99943488-99943591;99948875-99949033;99949034-99949785;99949786-99949834	;;;	;;;	(99949034, 99949785)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/61_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#STAG3L5P-PVRIG2P-PILRB
CXXC1	ENSG00000154832	ENSG00000154832:47811695-47811815:target	0.21380674404;-0.21380674404	0.761412635001;0.761412635001	0.766;0.234	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr18	-	47811617-47811695;47811694-47811695	47811499-47811617;47811618-47811694;47811695-47811815	;;	;;	(47811618, 47811694)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/35_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CXXC1
SHCBP1	ENSG00000171241	ENSG00000171241:46655169-46655538:target	-0.123521627562;0.203796207348;-0.0026510129987	0.245176907497;0.706539002386;2.79965857354e-05	0.180;0.751;0.068	0.028;0.968;0.028	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr16	-	46654812-46655169;46652284-46655169;46651661-46655169	46651546-46651661;46652117-46652284;46654378-46654812;46655169-46655538	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/44_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SHCBP1
CRBN	ENSG00000113851	ENSG00000113851:3195108-3195172:target	-0.325107291221;3.35798565864e-05;0.318914822638	0.951842935544;4.78827555361e-07;0.950190309505	0.965;0.026;0.032	0.645;0.027;0.344	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr3	-	3194271-3195108;3192729-3195108;3195107-3195108	3190676-3192729;3194140-3194271;3194272-3195107;3195108-3195172	;;;	;;;	(3194272, 3195107)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/16_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CRBN
BRAT1	ENSG00000106009	ENSG00000106009:2580613-2580686:target	-0.000213831037422;-0.253150238638;0.29983401327	3.38865524693e-06;0.686752318722;0.79450254536	0.036;0.802;0.166	0.028;0.483;0.505	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	-	2580528-2580613;2579522-2580613;2580612-2580613	2579420-2579522;2580464-2580528;2580529-2580612;2580613-2580686	;;;	;;;	(2580529, 2580612)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/12_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#BRAT1
TRMU	ENSG00000100416	ENSG00000100416:46742319-46742441:source	0.386484559402;-0.135975248606;-0.0393618703082	0.923636882994;0.420628418011;0.0977466769433	0.409;0.371;0.220	0.806;0.127;0.068	s|1e0|1e1.1o4|1e1.3o4|1e1.4o4	False	True	False	3	2	0	chr22	+	46742441-46746188;46742441-46746243;46742441-46746247	46742319-46742441;46746188-46746360;46746188-46746360;46746188-46746360	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/10_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TRMU
TRMU	ENSG00000100416	ENSG00000100416:46748161-46748227:target	-0.237458186494;0.237458186494	0.69599216494;0.69599216494	0.974;0.026	0.717;0.283	t|1e1.1o1|i	False	False	False	1	2	1	chr22	+	46748071-46748161;46748160-46748161	46747547-46748071;46748072-46748160;46748161-46748227	;;	;;	(46748072, 46748160)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/10_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TRMU
HELLS	ENSG00000119969	ENSG00000119969:96322569-96322633:target	-0.472023395851;0.472023395851	0.999074208164;0.999074208164	0.971;0.029	0.511;0.489	t|1e1.1o1|i	False	False	False	1	2	1	chr10	+	96322484-96322569;96322568-96322569	96322446-96322484;96322485-96322568;96322569-96322633	;;	;;	(96322485, 96322568)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/19_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#HELLS
TOR1B	ENSG00000136816	ENSG00000136816:132566352-132566617:source	-0.35197607596;-7.3359958303e-06;0.354762256294	0.916273138493;2.8681986837e-07;0.923824428741	0.861;0.027;0.129	0.501;0.026;0.491	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr9	+	132566617-132569467;132566617-132572506;132566617-132566618	132566352-132566617;132566618-132566636;132569467-132569642;132571621-132573560	;;;	;;;	(132566618, 132566636)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/28_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TOR1B
SNHG12	ENSG00000197989	ENSG00000197989:28907072-28907158:target	-0.333369612106;0.333369612106	0.915945587378;0.915945587378	0.704;0.296	0.366;0.634	s|1e1.1o1|i	False	False	False	1	2	1	chr1	-	28906493-28907072;28907071-28907072	28906424-28906493;28907025-28907071;28907072-28907158	;;	;;	(28907025, 28907071)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/53_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SNHG12
SNHG12	ENSG00000197989	ENSG00000197989:28907072-28907158:source	-3.74753962053e-07;-0.245958322709;-0.00170257415969;0.293853833853	3.61361019428e-13;0.787468068876;5.95072227279e-05;0.892730901031	0.025;0.559;0.108;0.331	0.025;0.297;0.073;0.628	t|1e1.1o1|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr1	-	28907158-28908102;28907158-28907623;28907158-28907606;28907158-28907159	28907072-28907158;28907159-28907431;28907606-28907741;28907606-28907741;28908102-28908384	;;;;	;;;;	(28907159, 28907431)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/53_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SNHG12
HIRIP3	ENSG00000149929	ENSG00000149929:30004961-30005129:source	0.516959755386;6.02402574306e-05;-0.525309876012	0.998381355274;1.82660290167e-06;0.998815457478	0.261;0.025;0.736	0.765;0.028;0.223	t|1e1.1o1|1e2.3o4|1e2.4o4	True	False	True	3	3	0	chr16	-	30005129-30006424;30005129-30005969;30005129-30005227	30004961-30005129;30005227-30006164;30005227-30006164;30006424-30006538	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/34_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#HIRIP3
CD3E	ENSG00000198851	ENSG00000198851:118182859-118182885:source	-0.587812598557;-0.000365080001688;0.593200358858	0.999890363646;9.21977220765e-05;0.999883552975	0.676;0.063;0.260	0.103;0.059;0.838	s|1e1.1o1|1e2.1o2|i	False	False	True	2	3	1	chr11	+	118182885-118183333;118182885-118185163;118182885-118182886	118182859-118182885;118182886-118183332;118183333-118184056;118185163-118185209	;;;	;;;	(118182886, 118183332)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/54_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CD3E
DNAJC21	ENSG00000168724	ENSG00000168724:34950275-34950447:source	0.238935189321;-0.24394034525;8.39303248855e-05	0.818015904536;0.820002598643;8.12126366297e-08	0.038;0.946;0.027	0.276;0.700;0.030	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr5	+	34950447-34950549;34950447-34954031;34950447-34950448	34950275-34950447;34950448-34950548;34950549-34952848;34953631-34954296	;;;	;;;	(34950448, 34950548)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/43_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#DNAJC21
